,ASIN,Nom du produit,Marque,COGS,COGS LM (%),COGS SPLY (%),Unités,Unités LM (%),Unités SPLY (%),Retours,Retours LM (%),Retours SPLY (%),Source (Fabrication ou Approvisionnement),is_in_vendor_central,Item no.,EAN,Item,Extras,Size,Description Item,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Visible,Title Content,Variations,Brand store URL,Images,Videos,Code,Catalogue,Ads Impressions CM,Ads Clicks CM,Ads CTR CM,Ads Units 14d CM,Ads Costs CM,Ads RoAS CM,Ads CVR CM,Sell-out CM,Sell-out PM,Total sell-out CM,Total sell-out PM,Units CM,Units PM,SRP,Margin,Replacements CM,Replacements PM,Stock,Stock value,Total stock,Total stock value,Reviews,Avg. stars,Stars,Coverage,Rank 1,Rank 2,Buy Box,Buy Box PM,Days not Buy Box,Views CM,Views PM,CVR CM,CVR PM,is_in_amvisor,Net PPM,Net PPM SPLY,extract_date,annee,mois
828,B075RGXBTD,"Hama Album Photo Fine Art (Format 36 x 32 cm, 50 Pages Blanches, à Spirale) Noir",Hama,14.52,-33.33,11.01,2.0,-33.33,0.0,,,,1_fab,True,00001962,4007249019622,"Hama Album à spirale ""Fine Art""",Noir,36 x 32 cm50 pages blanches,REGULAR,Imaging & Optics,Albums & Accessories,Photo Storage & Presentation,Albums,Yes,"Hama Album Photo ""Fine Art"" (format 36 x 32 cm, 50 pages blanches, à spirale) Noir",B000VRANHM B000VRANHW B000VRANI6 B000VRCKRI B000VRCKS2 B000VRCKT6 B000VRE3T6 B000VRFBM4 B000Z1UORI B001UBBJC6 B001UBBJD0 B001UBD140 B001UBD14U B001UBD17C B001UBEV3U B001UBEV4O B001UBGSZE B001UBIN7K B009HSQ3ES B009HSQ3OS B009HSQ3YS B009HSQ45G B009HSQ4JM B009TLAOA2 B009TLAOW0 B009TLAPLK B009TLAQ3M B009X8SBUQ B009X8SCV4 B009X8SDUO B009X8SEOO B009X8SFSY B009X8SIV8 B00F2BNE82 B00SL6I214 B00SL6I2WI B017JY4RG2 B017JY4RYO B017JY4U5K B017JY4WEY B017JY56TY B017JY580G B017JY5APO B017JY5E7S B017JY5EF0 B0186CU9A4 B0186D2GQS B01BBTCVKA B01BBTCVOQ B01N4C15H5 B01NCK7ZL3 B075RGTRF5 B075RGXBTD B075RH8PTF B075RHN1M4 B075RJLTJW B07622NTQ1 B07CQ99GFZ B07CQCWLFL B07F5RFZNL B07GL8PS46 B07GLF5SMF B07NH1D45D B07NH2ZXQ6 B07SXLSXQZ B07ZPFD8PJ B08LP7G1DT,,1.0,,NP,STO,,,,,,,,14.52,21.78,14.52,21.78,2.0,3.0,13.49,49.3,0.0,0.0,5.0,36.3,5.0,36.3,7107.0,4.5,31264.0,5.0,2912.0,4.0,Amazon,100.0,,62.0,85.0,3.23,3.53,True,64.0,65.83684806089909,2024-07,2024,7
829,B075RH8PTF,"Hama Album Photo Fine Art (Format 24 x 17 cm, 50 Pages Blanches, à Spirale) Noir",Hama,,-100.0,-100.0,,-100.0,-100.0,,,,1_fab,True,00001960,4007249019608,"Hama Album à spirale ""Fine Art""",Noir,24 x 17 cm50 pages blanches,REGULAR,Imaging & Optics,Albums & Accessories,Photo Storage & Presentation,Albums,Yes,"Hama Album Photo ""Fine Art"" (format 24 x 17 cm, 50 pages blanches, à spirale) Noir",B000VRANHM B000VRANHW B000VRANI6 B000VRCKRI B000VRCKS2 B000VRCKT6 B000VRE3T6 B000VRFBM4 B000Z1UORI B001UBBJC6 B001UBBJD0 B001UBD140 B001UBD14U B001UBD17C B001UBEV3U B001UBEV4O B001UBGSZE B001UBIN7K B009HSQ3ES B009HSQ3OS B009HSQ3YS B009HSQ45G B009HSQ4JM B009TLAOA2 B009TLAOW0 B009TLAPLK B009TLAQ3M B009X8SBUQ B009X8SCV4 B009X8SDUO B009X8SEOO B009X8SFSY B009X8SIV8 B00F2BNE82 B00SL6I214 B00SL6I2WI B017JY4RG2 B017JY4RYO B017JY4U5K B017JY4WEY B017JY56TY B017JY580G B017JY5APO B017JY5E7S B017JY5EF0 B0186CU9A4 B0186D2GQS B01BBTCVKA B01BBTCVOQ B01N4C15H5 B01NCK7ZL3 B075RGTRF5 B075RGXBTD B075RH8PTF B075RHN1M4 B075RJLTJW B07622NTQ1 B07CQ99GFZ B07CQCWLFL B07F5RFZNL B07GL8PS46 B07GLF5SMF B07NH1D45D B07NH2ZXQ6 B07SXLSXQZ B07ZPFD8PJ B08LP7G1DT,,8.0,,PR,STO,,,,,,,,0.0,28.98,0.0,28.98,0.0,9.0,5.99,69.7,0.0,0.0,15.0,48.3,15.0,48.3,7107.0,4.5,31264.0,,2946.0,3.0,Amazon,100.0,,0.0,32.0,0.0,28.13,True,0.0,0.0,2024-07,2024,7
830,B075RHN1M4,"Hama Album Photo Fine Art (Format 28 x 24 cm, 50 Pages Blanches, à Spirale) Bordeaux",Hama,,-100.0,-100.0,,-100.0,-100.0,,,-100.0,1_fab,True,00001965,4007249019653,"Hama Album à spirale ""Fine Art""",Bordeaux,28 x 24 cm50 pages blanches,REGULAR,Imaging & Optics,Albums & Accessories,Photo Storage & Presentation,Albums,Yes,"Hama Album Photo ""Fine Art"" (format 28 x 24 cm, 50 pages blanches, à spirale) Bordeaux",B000VRANHM B000VRANHW B000VRANI6 B000VRCKRI B000VRCKS2 B000VRCKT6 B000VRE3T6 B000VRFBM4 B000Z1UORI B001UBBJC6 B001UBBJD0 B001UBD140 B001UBD14U B001UBD17C B001UBEV3U B001UBEV4O B001UBGSZE B001UBIN7K B009HSQ3ES B009HSQ3OS B009HSQ3YS B009HSQ45G B009HSQ4JM B009TLAOA2 B009TLAOW0 B009TLAPLK B009TLAQ3M B009X8SBUQ B009X8SCV4 B009X8SDUO B009X8SEOO B009X8SFSY B009X8SIV8 B00F2BNE82 B00SL6I214 B00SL6I2WI B017JY4RG2 B017JY4RYO B017JY4U5K B017JY4WEY B017JY56TY B017JY580G B017JY5APO B017JY5E7S B017JY5EF0 B0186CU9A4 B0186D2GQS B01BBTCVKA B01BBTCVOQ B01N4C15H5 B01NCK7ZL3 B075RGTRF5 B075RGXBTD B075RH8PTF B075RHN1M4 B075RJLTJW B07622NTQ1 B07CQ99GFZ B07CQCWLFL B07F5RFZNL B07GL8PS46 B07GLF5SMF B07NH1D45D B07NH2ZXQ6 B07SXLSXQZ B07ZPFD8PJ B08LP7G1DT,,8.0,,PR,STO,,,,,,,,0.0,9.92,0.0,14.88,0.0,2.0,8.99,57.9,0.0,0.0,34.0,164.14,34.0,164.14,7107.0,4.5,31264.0,25.0,2912.0,4.0,Amazon,100.0,,0.0,21.0,0.0,14.29,True,0.0,0.0,2024-07,2024,7
831,B075RJLTJW,"Hama Album Photo ""Fine Art"" (format 24 x 17 cm, 50 pages blanches, à spirale) Bordeaux",Hama,2.65,-50.0,-50.0,1.0,-50.0,-50.0,,,,1_fab,True,00001964,4007249019646,"Hama Album à spirale ""Fine Art""",Bordeaux,24 x 17 cm50 pages blanches,REGULAR,Imaging & Optics,Albums & Accessories,Photo Storage & Presentation,Albums,Yes,"Hama Album Photo ""Fine Art"" (format 24 x 17 cm, 50 pages blanches, à spirale) Bordeaux",B000VRANHM B000VRANHW B000VRANI6 B000VRCKRI B000VRCKS2 B000VRCKT6 B000VRE3T6 B000VRFBM4 B000Z1UORI B001UBBJC6 B001UBBJD0 B001UBD140 B001UBD14U B001UBD17C B001UBEV3U B001UBEV4O B001UBGSZE B001UBIN7K B009HSQ3ES B009HSQ3OS B009HSQ3YS B009HSQ45G B009HSQ4JM B009TLAOA2 B009TLAOW0 B009TLAPLK B009TLAQ3M B009X8SBUQ B009X8SCV4 B009X8SDUO B009X8SEOO B009X8SFSY B009X8SIV8 B00F2BNE82 B00SL6I214 B00SL6I2WI B017JY4RG2 B017JY4RYO B017JY4U5K B017JY4WEY B017JY56TY B017JY580G B017JY5APO B017JY5E7S B017JY5EF0 B0186CU9A4 B0186D2GQS B01BBTCVKA B01BBTCVOQ B01N4C15H5 B01NCK7ZL3 B075RGTRF5 B075RGXBTD B075RH8PTF B075RHN1M4 B075RJLTJW B07622NTQ1 B07CQ99GFZ B07CQCWLFL B07F5RFZNL B07GL8PS46 B07GLF5SMF B07NH1D45D B07NH2ZXQ6 B07SXLSXQZ B07ZPFD8PJ B08LP7G1DT,,8.0,,NP,STO,,,,,,,,2.65,5.3,2.65,5.3,1.0,2.0,5.99,70.3,0.0,0.0,5.0,13.25,5.0,13.25,7107.0,4.5,31264.0,,2912.0,4.0,Amazon,100.0,,6.0,5.0,16.67,40.0,True,76.58,75.78426521523998,2024-07,2024,7
832,B075V1NGDZ,"Hama Trépied Delta Duo 170', 3D",Hama,53.75,,,1.0,,,1.0,,,1_fab,True,00004098,4007249040985,"Hama Trépied ""Delta Duo 170""",Noir,3D,REGULAR,Imaging & Optics,Holders & Attachments,Camera,Holders & Mounting,Yes,"Hama Trépied Delta Duo 170', 3D",,,8.0,,PR,STO,908.0,3.0,0.3304,0.0,1.32,,,53.75,0.0,53.75,0.0,1.0,0.0,94.49,20.2,0.0,0.0,1.0,53.75,2.0,107.5,,4.5,4.0,,361635.0,897.0,Amazon,100.0,,7.0,0.0,14.29,0.0,True,59.11,37.15039909496575,2024-07,2024,7
833,B0761ZG67P,"Hama Multiprise 6 Prises 16A avec Interrupteur (Rallonge multiprises 5m, Bloc 6 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",UNKNOWN,11.0,0.0,-83.33,1.0,0.0,-83.33,,,,1_fab,True,00137266,4047443359766,Hama Multiprise6 prisesavec interrupteur,Noir,5m,REGULAR,Home & Outdoor,Energy,Home,Power Cables,Yes,"Hama 137266 Intérieur 6sortie(s) CA Noir multiprise - Multiprises (Noir, Noir)",,,8.0,,PR,STO,,,,,,,,0.0,0.0,11.0,11.0,0.0,0.0,18.99,47.2,0.0,0.0,0.0,0.0,18.0,198.0,20.0,4.5,178.0,,212373.0,1967.0,Amazon,100.0,,2.0,11.0,50.0,9.09,True,48.62,32.393896995136245,2024-07,2024,7
834,B07622NTQ1,"Hama Album Photo Fine Art (Format 28 x 24 cm, 50 Pages Blanches, à Spirale) Noir",Hama,14.88,50.0,-38.89,3.0,50.0,-40.0,,,,1_fab,True,00001961,4007249019615,"Hama Album à spirale ""Fine Art""",Noir,28 x 24 cm50 pages blanches,REGULAR,Imaging & Optics,Albums & Accessories,Photo Storage & Presentation,Albums,Yes,"Hama Album Photo ""Fine Art"" (format 28 x 24 cm, 50 pages blanches, à spirale) Noir",B000VRANHM B000VRANHW B000VRANI6 B000VRCKRI B000VRCKS2 B000VRCKT6 B000VRE3T6 B000VRFBM4 B000Z1UORI B001UBBJC6 B001UBBJD0 B001UBD140 B001UBD14U B001UBD17C B001UBEV3U B001UBEV4O B001UBGSZE B001UBIN7K B009HSQ3ES B009HSQ3OS B009HSQ3YS B009HSQ45G B009HSQ4JM B009TLAOA2 B009TLAOW0 B009TLAPLK B009TLAQ3M B009X8SBUQ B009X8SCV4 B009X8SDUO B009X8SEOO B009X8SFSY B009X8SIV8 B00F2BNE82 B00SL6I214 B00SL6I2WI B017JY4RG2 B017JY4RYO B017JY4U5K B017JY4WEY B017JY56TY B017JY580G B017JY5APO B017JY5E7S B017JY5EF0 B0186CU9A4 B0186D2GQS B01BBTCVKA B01BBTCVOQ B01N4C15H5 B01NCK7ZL3 B075RGTRF5 B075RGXBTD B075RH8PTF B075RHN1M4 B075RJLTJW B07622NTQ1 B07CQ99GFZ B07CQCWLFL B07F5RFZNL B07GL8PS46 B07GLF5SMF B07NH1D45D B07NH2ZXQ6 B07SXLSXQZ B07ZPFD8PJ B08LP7G1DT,,8.0,,NP,STO,,,,,,,,9.92,9.92,14.88,9.92,2.0,2.0,8.99,40.7,0.0,0.0,10.0,49.6,10.0,49.6,7107.0,4.5,31264.0,10.0,2946.0,3.0,Amazon,100.0,,28.0,39.0,10.71,5.13,True,61.44,65.74638844301765,2024-07,2024,7
835,B07623M7YQ,"Hama Multiprise 4 Prises 16A avec Interrupteur individuel (Rallonge multiprises 1.4m, Bloc 4 prises Type F Schuko, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage )Noir",Hama,70.17,-2.0,-5.76,6.0,0.0,0.0,,,,1_fab,True,00137257,4047443357816,Hama Multiprise,Noir,4+14 prises,NOT ACTIVE,Home & Outdoor,Energy,Home,Power Cables,Yes,"Hama Multiprise 4 Prises 16A avec Interrupteur individuel (Rallonge multiprises 1.4m, Bloc 4 prises Type F Schuko, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage )Noir",,,15.0,1.0,PR,PUA,1506.0,12.0,0.7968,0.0,1.3,,,37.23,49.64,70.17,71.6,3.0,4.0,24.49,50.3,0.0,0.0,43.0,533.63,84.0,983.81,228.0,4.7,1261.0,18.7,76739.0,889.0,Amazon,100.0,,120.0,97.0,5.0,6.19,True,54.0,55.29953917050691,2024-07,2024,7
836,B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,300.44,-62.23,-83.77,29.0,-62.34,-83.8,1.0,-93.75,-87.5,1_fab,True,00137254,4047443357793,Hama Multiprise,Noir,10 prises3 m,REGULAR,Home & Outdoor,Energy,Home,Power Cables,Yes,"Hama Multiprise 10 Prises 16A avec Interrupteur (Rallonge multiprises 3m, Bloc 10 prises Type F Schuko, 3500W max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage ) Noir",,,9.0,,PR,STO,,,,,,,,0.0,0.0,248.64,795.42,0.0,0.0,19.99,48.7,0.0,0.0,0.0,0.0,0.0,0.0,72.0,4.6,505.0,,15620.0,301.0,Amazon,94.1,,316.0,558.0,7.59,13.8,True,61.17,57.64772405993781,2024-07,2024,7
837,B076Z59MZL,"Hama Filtre de polarisation (polarisant circulaire, verre supérieure, diamètre du filetage de 67 mm, Epaisseur de la monture de 4,5 mm, filetage avant, NMC16 (nano multi-coated 16 couches)) Noir",Hama,18.29,,,1.0,,,,,,1_fab,True,00077106,4007249771063,Hama Filtre de polarisation,,67mm lrgmulti-coated : 16 couches,REGULAR,Imaging & Optics,Camera Equipment,Camera,Filters,Yes,"Hama Filtre de polarisation (polarisant circulaire, verre supérieure, diamètre du filetage de 67 mm, Epaisseur de la monture de 4,5 mm, filetage avant, NMC16 (nano multi-coated 16 couches)) Noir",B076Z3Q5LJ B076Z43F1K B076Z4G6KV B076Z4HN59 B076Z4HNSW B076Z59MZL B076Z5DRZP B076Z5FGS1 B077MFC7W5 B077MMX9MT B077MRBKCZ B077MRBLYN,,2.0,,PR,STO,,,,,,,,18.29,0.0,18.29,0.0,1.0,0.0,31.99,31.0,0.0,0.0,0.0,0.0,1.0,18.29,6.0,4.3,14.0,,541.0,403.0,Amazon,100.0,,4.0,0.0,25.0,0.0,True,64.84,39.33511283669012,2024-07,2024,7
