Category 1,Category 2,Cat. 1,Cat. 2,top_3_asin
Computing & Tablet,Tablet Energy,Computing & Tablet,Tablet Accessories & Energy,"[nan, nan, nan]"
Computing & Tablet,Tablet Energy,IT & Office,Energy,"[nan, nan, nan]"
Consumer Electronics,Antennas,Consumer Electronics,Antennas,"[""Hama Antenne intérieure (antenne radio pour l'amplification du signal actif jusqu'à 30 dB, puissance de l'amplificateur réglable, hauteur de 31 cm, DAB/DAB+, en long) Noir"", ""Hama Antenne intérieure (Antenne Réception Radio Numérique (Dab/Dab+) et Analogique FM, Amplification du Signal Actif jusqu'à 30 DB, Cäble 1.5m, Fiche F mâle, Alim Secteur) Noir"", ""Hama Antenne intérieur (antenne radio pour l'amplification du signal actif jusqu'à 30 dB, fiche coaxiale, puissance de l'amplificateur réglable, hauteur de 12,3 cm, AM/FM, en corne) Noir""]"
Consumer Electronics,Antennas,Sound & Vision,Cables & Adapters,"[""Hama Antenne intérieure (antenne radio pour l'amplification du signal actif jusqu'à 30 dB, puissance de l'amplificateur réglable, hauteur de 31 cm, DAB/DAB+, en long) Noir"", ""Hama Antenne intérieur (antenne radio pour l'amplification du signal actif jusqu'à 30 dB, fiche coaxiale, puissance de l'amplificateur réglable, hauteur de 12,3 cm, AM/FM, en corne) Noir"", ""Hama Antenne intérieure (Antenne Réception Radio Numérique (Dab/Dab+) et Analogique FM, Amplification du Signal Actif jusqu'à 30 DB, Cäble 1.5m, Fiche F mâle, Alim Secteur) Noir""]"
Consumer Electronics,Cable Organizer,Consumer Electronics,Cable Organizer,"[""Hama Boîte de Rangement Câbles 'Mini' (Cache câbles, pour Bureau, Maison, Rangement Chargeurs, Multiprises, Disques durs, 23.5x11.5x12.cm) Blanc"", ""Hama Boîte de Rangement Câbles 'Maxi' (Cache câbles, pour Bureau, Maison, Rangement Chargeurs, Multiprises, Disques durs, 40.0x15.5x13.8cm) Blanc"", 'Hama Boîtier pour câbles Maxi (Boite pour câbles, 40 x 15,5 x 13,8 cm, avec Pieds en Caoutchouc) Noir']"
Consumer Electronics,Cable Organizer,Sound & Vision,Cables & Adapters,"[""Hama Chemin de câbles (Bande en Aluminium pour Montage Mural TV ou au Sol, Cache-câble Rectangle, 110 x 3,3 x 1,7 cm, entrée de câble jusqu'à 5 câbles, matériel de Montage Compris) Gris"", ""Hama Chemin de câbles (bande en aluminium pour montage mural TV ou au sol, cache-câble demi-rond, 110 x 3,3 x 1,8 cm, entrée de câble jusqu'à 5 câbles, matériel de montage compris) Gris"", 'Hama Chemin de câble (en PVC, Semi-Circulaire, 100 x 7 x 2,1 cm) Blanc']"
Consumer Electronics,Consumer Electronics | Thomson,Consumer Electronics,Consumer Electronics | Thomson,"['THOMSON Microphone Dynamique M150 (fiche Jack 3,52 mm, Longueur de câble 3 m, Party) Noir', 'Thomson Antenne intérieure ANT1538 (pour réception Radio/télévision numérique, HDTV/3D, DVB-T/T2, avec Amplification du Signal, Performance 45) Noir/Bleu', ""Thomson Télécommande de Rechange ROC1128LG (Télécommande de Remplacement pour Les téléviseurs LG, prête à l'emploi, adaptative, Mode Simple, Touches Lumineuses, Infrarouge) Noir""]"
Consumer Electronics,Consumer Electronics | Thomson,Sound & Vision,Audio Devices,"['THOMSON Microphone Dynamique M135 (Microphone Karaoké Filaire, Motif cardioïde, fiche Jack 3,52 mm, Longueur de câble 3 m, idéal Karaoké, Chant, Live, Conférence, Mariage) Noir', 'THOMSON Microphone Dynamique M150 (fiche Jack 3,52 mm, Longueur de câble 3 m, Party) Noir', 'Thomson 00131772 Microphone dynamique M135D (motif cardioïde, fiche jack 3,52 mm, longueur de câble 3 m, Karaoké, 2 microphones), Noir']"
Consumer Electronics,Consumer Electronics | Thomson,Sound & Vision,Cables & Adapters,"['Thomson Antenne Intérieure ANT1418BK (pour Radio/TV, réception numérique DVB-T/-T2, réception Dab/Dab+, Convient au récepteur/syntoniseur VHF, avec Prise 12V pour Voiture, Performance 35) Noir', 'Thomson Antenne Intérieure ""ANT1639"" (Design UHD ""Sculpture"", pour réception numérique DVB-T/DVB-T2 et HDTV, actif, 2 m, Performance 55) Noir/Gris', 'Thomson Antenne intérieure ANT1538 (pour réception Radio/télévision numérique, HDTV/3D, DVB-T/T2, avec Amplification du Signal, Performance 45) Noir/Bleu']"
Consumer Electronics,Consumer Electronics | Thomson,Sound & Vision,Holders & Mounting,"['Thomson Support Mural TV WAB846 (VESA 200x200, inclinable et orientable, avec 2 Bras, pour Une Diagonale d\'écran de 25 à 117 cm (de 10"" à 46"")) Noir', 'Thomson Support Mural TV WAB156 (VESA jusqu\'à 400x400, Inclinable, pour Une Diagonale d´écran de 58 à 142 cm (de 23"" à 56"")) Noir', 'THOMSON Support Mural TV WAB075 (VESA jusqu\'à 600x400, Fixe, pour Une Diagonale d´écran comprise Entre 94 et 191 cm (de 37"" à 75"")) Noir']"
Consumer Electronics,Consumer Electronics | Thomson,Sound & Vision,Remotes,"['Thomson Télécommande Universelle 2 en 1 ""ROC 2411"" (Télécommande avec Fonction d\'apprentissage, Convient pour Deux appareils, pour Plus de 1 000 Marques) Noir', 'Thomson Télécommande Universelle 2 en 1 Zapper ROC Z107 (Télécommande, Zapper, STB, TV, IR sans Fil, Boutons) Noir', nan]"
Consumer Electronics,Diverse,Consumer Electronics,Diversee,"['Hama - 46020H - Micro monophonique, finition noire métal, jack de 3,5mm et adaptateur 3,5/6,35 mm, interrupteur marche/arrêt sur le micro, 600 Ohms, dynamique et unidirectionnel - Cordon 3.00m', ""Hama Support mural pour Google Home mini (pour enceinte sans/avec fil, support d'enceinte, pour un alignement et une présentation optimaux de l'enceinte, montage mural) Blanc"", 'Hama Microphone Dynamique DM 60"" (avec caractéristique cardioïde, boîtier en métal, Longueur de câble 3m) Noir']"
Consumer Electronics,Diverse,Sound & Vision,Audio Devices,"['Hama - 46020H - Micro monophonique, finition noire métal, jack de 3,5mm et adaptateur 3,5/6,35 mm, interrupteur marche/arrêt sur le micro, 600 Ohms, dynamique et unidirectionnel - Cordon 3.00m', 'Hama - 46040H - Micro monophonique, finition argent, jack de 3,5mm et adaptateur 3,5/6,35 mm, prise XLR, interrupteur marche/arrêt sur le micro, 600 Ohms, dynamique et unidirectionnel - Cordon 3.00m', nan]"
Consumer Electronics,Diverse,Sound & Vision,Cables & Adapters,"['Cor. alim. Euro pr Sonos PLAY:1/PLAY:5/One, coudé aux extrém., 3 m, nr', 'Hama Cordon d’alimentation Euro pour Sonos PLAY:3/PLAY:5, droit, 5m, noir', nan]"
Consumer Electronics,Diverse,Sound & Vision,Holders & Mounting,"[""Hama Support mural pour Google Home mini (pour enceinte sans/avec fil, support d'enceinte, pour un alignement et une présentation optimaux de l'enceinte, montage mural) Blanc"", ""Hama Supports d'enceintes (pour haut-parleur, hauteur réglable jusqu'à 123 cm, capacité de charge de 5 kg, guide-câble dissimulé, lot de 2) Noir"", 'Hama Support mural (pour enceintes Bose SoundTouch 10/Bose SoundTouch 20, pivotantes, système Easy-Fix, support pour haut-parleur) Noir']"
Consumer Electronics,Diverse,Sound & Vision,Protection & Care,[nan]
Consumer Electronics,Flashlights,Consumer Electronics,Flashlights,"['Hama Lampe de Poche LED Ultra Pro, 1 000 lumens', 'Hama Lampes LED de sécurité à pince (à 2 LED, ampoule rouge, fonctionnement sur piles, voyant fixe et clignotant, idéal pour les joggeurs, les écoliers, les cyclistes, ensemble 2 pièces) Rouge/Noir', nan]"
Consumer Electronics,Flashlights,Home & Outdoor,Outdoor Essentials,"['Hama Lampes LED de sécurité à pince (à 2 LED, ampoule rouge, fonctionnement sur piles, voyant fixe et clignotant, idéal pour les joggeurs, les écoliers, les cyclistes, ensemble 2 pièces) Rouge/Noir', 'Hama Lampe de poche LED ""2en1"" (avec anneau à clés et ouvre-bouteille, Idéale pour le voyage) Couleur aléatoire parmi Bleu/ Rouge/ Vert/ Orange/ Gris/ Noir', nan]"
Consumer Electronics,Mobile Entertainment & Car,Consumer Electronics,Mobile Entertainment & Car,"[""Hama Kit d'alimentation, 25mm²"", 'Hama Câble de Liaison AluLine (fiche Jack 3,5 mm mâle, stéréo - 2 RCA mâles, Gaine en Tissu, 2 m) Argent', 'Hama Répartiteur triple pour prise allume-cigare (12 V, avec USB, avec écran LED) Noir']"
Consumer Electronics,Mobile Entertainment & Car,Mobile Communication,Cables & Adapters,"['Hama Antenne filaire de pare-brise électronique (pour la réception VHF, AM et FM) Noir', 'Hama Interrupteur pour véhicules (Interrupteur de voiture, rond, 10 A, 12 V, interrupteur à bascule) Noir', 'Hama Câble de liaison (RCA, 2 fiches mâles - 2 fiches mâles, avec lignee remote intégrée, 5 m) Bleu']"
Consumer Electronics,Mobile Entertainment & Car,Mobile Communication,Energy,"['Hama Répartiteur de puissance 1/5 ""Techline"" (Powersplitter, 1 entrée, 5 sorties) Bleu/Or/Transparent', ""Hama Alimentation secteur (Transformateur de tension d'alimentation CA/CC (230V à 12V / 1000mAh, Adaptateur de charge pour allume-cigare, 1A) Noir"", ""Hama Fiche universelle pour prises d' allume-cigares (fiche de sécurité 16 A prise allume-cigare, câbles jusqu'à 2 x 2,5 mm², 6V - 24V, avec serre-câble) Rouge/Noir""]"
Consumer Electronics,Mobile Entertainment & Car,Mobile Communication,Holders & Attachments,"[nan, nan, 'Hama Support universel (pour véhicule, support, pour vitre/grille de ventilation) Noir']"
Consumer Electronics,Power/Electronics,Consumer Electronics,Power/Electronics,"['Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir', 'Hama Multiprise avec Interrupteur 1.4m (6 Prises typeE, Norme NF, interrupteurs général + indiv. éclairés, Protection Surtensions, Montage Mural, Sécurité Enfants, 3680W/16A) Noir', 'Hama Multiprise Etanche 2 Prises 16A avec Interrupteur (Multiprise Extérieur Rallonge 2m, Bloc 2 Prises étanches IP44 avec Couvercle, Type F Schuko, 3680W, Idéal Jardin Garage Atelier Chantier) Noir']"
Consumer Electronics,Power/Electronics,Home & Outdoor,Energy,"['Hama Multiprise 6 Prises 16A avec Interrupteur (Rallonge multiprises 3m, Bloc 6 Prises Type F Schuko, 3680W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage, sécurité Enfants) Noir', 'Hama Prise Secteur Multiple, Chargeur Multiprises 4en1: 1 Sortie AC, 1 USB-C PD et 2 Ports USB-A, Prise Murale Electrique Compatible avec iPhone/iPad, Idéal pour Chambre Bureau Domicile 16A/4000W', 'Hama Multiprise 4 Prises 16A avec Interrupteur individuel (Rallonge multiprises 1.4m, Bloc 4 prises Type F Schuko, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage )Noir']"
Consumer Electronics,Power/Electronics,Home & Outdoor,Household Essentials,[nan]
Consumer Electronics,Power/Electronics,Home & Outdoor,Housing Technology,"['Hama Veilleuse nocturne ""Basic"" (LED avec capteur crépusculaire, lampe d\'orientation économique pour prise de courant, seulement 0,8 W) Rouge', nan, nan]"
Consumer Electronics,Power/Electronics,Home & Outdoor,Travel Essentials,"['Hama Adaptateur secteur (prise de voyage pour : Amérique, apon, Canada, Brésil, Thaïlande, ... adapté aux apparails avec fiche Euro) Blanc', 'Hama Fiche de Voyage (pour la Chine/l´Australie, … Type F) Noir', nan]"
Consumer Electronics,Power/Electronics,Mobile Communication,Cables & Adapters,"[nan, 'Hama Rallonge allume-cigares ( pour voiture, pour allume-cigare, câble de 6 m, adapté aux 12-24 V, pour voiture/camion/véhicule de loisirs/caravanes, fusible de 8 A maximum) Noir']"
Consumer Electronics,Power/Electronics,Mobile Communication,Energy,"[nan, nan, 'Hama 2 Accus (LR03, 700 mAh, rechargeables, 2 piles NiMH, 1,2 V, adapté aux téléphones sans fil) Vert/Blanc']"
Consumer Electronics,Remote Controls,Consumer Electronics,Remote Controls,"['Hama Télécommande universelle ""Smart TV"" 4 en 1 (Contrôle 4 Appareils Préprogrammés, TV/DVD/STB/VCR, Télécommande de Remplacement pour Télécommande MultiFonction IR) Noir', 'Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir', 'Hama Support pour télécommande ""Agent"" (porte-télécommande, rotatif, 5 compartiments pour télécommandes, téléphones, lunettes, stylos, organisateur pour bureau, rangement) Noir']"
Consumer Electronics,Remote Controls,Sound & Vision,Remotes,"['Hama Support Télécommande TV Commander (porte-télécommande TV Chaine Hifi DVD Blue-Ray, 3 grands compartiments, Boite de Rangement organiseur lunettes, smartphones, contrôleurs) Noir', 'Hama Télécommande Universelle 2 en 1 ""Big Zapper', 'Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir']"
Consumer Electronics,Smart Home,Consumer Electronics,Smart Home,"['Hama ""Smart Hub"" passerelle WiFi connectée (Matter, Zigbee, Thread, compatible commande vocale Alexa, Google Assitant et Apple Siri), blanche', 'Hama Prise Connectée Etanche Matter (IP44, Prise Wifi Alexa Google, App Control, Aucun Hub requis, Prise Exterieure Etanche connectée Programmable) Noir', 'Hama Tête Thermostatique Connectée et Intelligente WiFi (pour Kit de Chauffage Connecté 00176592 Compatible Alexa Google Home, Robinet Intelligent pour Radiateur à Eau Chaude) Blanc']"
Consumer Electronics,Smart Home,Home & Outdoor,Housing Technology,"[nan, 'Hama Station Météo sans Fil Connectée WiFi + Capteur (Comptabile Alexa/Siri/Google Assist., Smart Home App, Thermomètre Hygromètre Baromètre, Reveil, Ecran Retro Eclairé) Noir']"
Consumer Electronics,Smart Home,Home & Outdoor,Smart Home,"['Hama Tête Thermostatique Connectée et Intelligente WiFi (pour Kit de Chauffage Connecté 00176592 Compatible Alexa Google Home, Robinet Intelligent pour Radiateur à Eau Chaude) Blanc', 'Hama Prise connectée wifi ""Mini"" (Prise intelligente 16A, 3680W, Compteur de consommation en temps réel, compatible Alexa, Google Home, Commande vocale, automatisations faciles) Blanc', ""Hama Contact de Porte/fenêtre WiFi (WLAN, sans concentrateur, Contact magnétique, Notification d'alarme sur téléphone Mobile, Compatible IFTTT/Alexa/Google Home, 2,4 GHz, sur Batterie, A +) Blanc""]"
Consumer Electronics,Storage,Consumer Electronics,Storage,"['Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir', 'Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet', 'Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent']"
Consumer Electronics,Storage,IT & Office,Media Storage & Organization,"['Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent', 'Hama Rack (pour CD, pour 20 boîtiers CD) Gris', 'Hama Feuillets pour CD (avec 60 fiches pour étiquetage, archivage, 10 étuis pour 6 CD/DVD/Blu-Ray, adaptés aux dossiers A4, Format A4, pour Le Rangement) Transparent']"
Consumer Electronics,Storage,Sound & Vision,Bags & Covers,"['Hama Etui pour Lecteur et CD (pour Lecteur CD, pour Discman, 3 CD, avec Sortie de câble et Boucle de Ceinture) Noir/Bleu']"
Consumer Electronics,Storage,Sound & Vision,Media Storage & Organization,"['Hama Pochette ""Up To Fashion"" (pour 48 disques, CD/DVD/Blu-ray/livres audio, étui de rangement, gain de place pour la voiture, la maison, avec motif du diable) Rouge', 'Hama Rack de bureau ""Nexus"" (pour 20 boîtiers de CD, support de CD pour le bureau ou les enfants, support de CD de haute qualité) Argent', 'Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet']"
Consumer Electronics,Storage,Sound & Vision,Protection & Care,"['Hama Blu-Ray de Nettoyage (pour tête de Lecture, pour éliminer la poussière dans Les lecteurs de Blu-Ray, Blu-Ray de Nettoyage) Blanc/Bleu/Rouge', 'Hama Kit de Nettoyage pour disques Vinyles (Nettoyage et Entretien de Disque Vinyle, Solution Spray pour Vinyl et Brosse de Nettoyage) Noir', 'Chiffon de nettoyage universel, 20 x 20 cm, jaune']"
Consumer Electronics,Storage,Sound & Vision,Turntable  Accessories,"['Hama Mallette (LP 50, Aspect alu, en Aluminium, pour Stocker 50 disques, verrouillable, Boîte de Rangement pour Vinyle, boîtier pour Disque) Noire', 'Hama Cadre pour Vinyles (pour Pochette de 33 Tours, Aluminium, 31,5 x 31,5 cm) Noir', 'Hama Brosse en fibre carbone pour vos vinyles (nettoyage antistatique des vinyles, brosse pour disques vinyles), noir / argent']"
Consumer Electronics,Wall Brackets,Consumer Electronics,Wall Brackets,"['Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir', 'Hama Plateau Universel Hama Rond (32 cm, Taille L, Poids supporté 80 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir', 'Hama Support Plafond (pour Diagonale d\'écran de 81 à 165cm (32"" à 65""), pour Un Maximum de 50 kg, VESA jusqu\'à 400 x 400) Noir']"
Consumer Electronics,Wall Brackets,Sound & Vision,Holders & Mounting,"['Hama Support Mural TV, Noir, 84 Pouces', 'Hama Support Mural TV (pour Une Une Diagonale d’écran de 81 à 165 cm (32"" à 65""), 2 Bras, ultralong, VESA jusq\'à 400x400) Noir', 'Hama Support Mural Full Motion pour TV écran Entre 81 cm et 165 cm (32"" à 65""), pivotable à 180 degrés, VESA 400 x 400, jusqu\'à 35 kg de Charge supportée, Noir']"
Consumer Electronics,Wearables,Consumer Electronics,Wearables,"[""Hama Montre connectée Fit Watch 4900 étanche avec Protection IP68 pour la résistance à l'eau (6 Jours d'autonomie, podomètre, Tracker de fréquence Cardiaque et Mesure des dépenses de Calories) Bleu"", ""Hama Montre connectée Fit Watch 5910 étanche avec Protection IP68 et GPS intégré (6 Jours d'autonomie, podomètre Marche, Mesure de la fréquence Cardiaque et des dépenses de Calories) Rose"", 'Hama Montre Connectée Fit Watch 4910 (Montre Sport, Etanche IP68, Montre Fitness 15 Sports Fréq. Cardiaque Oxymètre Podomètre Compatible Google Fit Apple Health Strava) Gris']"
Consumer Electronics,Wearables,Mobile Communication,Personal Care & Health,"['Hama Montre Connectée Femme Fit Watch 4910 (Montre Sport, Etanche IP68, Ecran Tactile 1,09"", Montre Fitness 15 Sports Fréq. Cardiaque Oxymètre Podomètre Compatible Google Fit Apple Health Strava) Rose', ""Hama Montre connectée Fit Watch 5910 pour Femme étanche avec Protection IP68 et GPS intégré (6 Jours d'autonomie, podomètre Marche, Mesure de la fréquence Cardiaque et des dépenses de Calories) Noir"", ""Hama Montre connectée Fit Watch 5910 étanche avec Protection IP68 et GPS intégré (6 Jours d'autonomie, podomètre Marche, Mesure de la fréquence Cardiaque et des dépenses de Calories) Rose""]"
Distribution Brand,EzeeTabs,Distribution Brand,EzeeTabs,"[nan, nan, nan]"
Distribution Brand,EzeeTabs,Home & Outdoor,Protection & Care,"[nan, nan, nan]"
Distribution Brand,Rapoo,Distribution Brand,Rapoo,"['Rapoo Clavier et Souris sans Fil X 1800s"" (Pack Kit Clavier Souris sans Fil 2.4GHz, Dongle Nano USB, Autonomie 12mois, Souris Optique 1000DPI, Clavier AZERTY FR, Pavé Numérique, pour PC, Laptop) Noir', 'Rapoo Souris optique sans fil Multi mode 2,4GHz/BT 3.0/BT 4.0 ""M300"" (bluetooth, souris d\'ordinateur, design, avec boutons et molette de défilement) Gris foncé', 'Rapoo Clavier multimédia USB Filaire ""N2400"" (filaire, clavier d\'ordinateur AZERTY, design, idéal pour les maladroits) Noir']"
Distribution Brand,Rapoo,IT & Office,IT Essentials,"['Rapoo Clavier multimédia USB Filaire ""N2400"" (filaire, clavier d\'ordinateur AZERTY, design, idéal pour les maladroits) Noir', 'Rapoo Souris laser sans fil Multi-Mode ""MT750s"" (bluetooth, souris d\'ordinateur, design, avec boutons et molette de défilement) Noir', 'Rapoo Clavier Souris sans Fil Multi-Mode Rechargeable Blade 9700M (Pack Kit Clavier et Souris, Clavier Rechargeable 99 Touches AZERTY, Souris 5 Boutons autonomie 12 Mois, Idéal PC Laptop) Blanc']"
Gaming,Console Gaming,Gaming,Console Gaming,"[""Hama Lot de Protections de joysticks 8 en 1' pour Nintendo Switch, muticol."", nan, nan]"
Gaming,Console Gaming,IT & Office,Cables & Adapters,"[nan, 'Hama Convertisseur de souris/clavier (SpeedShot Ultimate, compatible avec Xbox One X, PlayStation 4 / SLIM / PRO, Xbox One, PlayStation 3, Xbox 360) Noir/Bleu']"
Gaming,Console Gaming,IT & Office,Energy,"[nan, nan, 'Hama Câble de charge pour manette ""Basic"" (pour PS4, 1,50 m, câble extra-long, connexion microUSB) Noir']"
Gaming,Console Gaming,IT & Office,Gaming Essentials,"['Lot de Protections de joysticks 8 en 1"" pour Nintendo Switch, Noires', ""Hama Lot de Protections de joysticks 8 en 1' pour Nintendo Switch, muticol."", 'Hama Volant XXL pour Nintendo Switch (diamètre 15,50 cm, connecteur bluetooth, affichage du joueur par LED, 2 pièces) Noir']"
Gaming,Console Gaming,IT & Office,Headsets & Speakers,[nan]
Gaming,PC-Gaming,Gaming,PC-Gaming,"['uRage Enceinte PC Gamer LED RVB/RGB Blast-R 200"" (Haut Parleur Ordinateur PC, 5W, Système Dynamique d’Enceinte Gaming Lumineux, Alimentation USB, Jack 3.52mm)', 'uRage Souris Gaming RGB Reaper 250"" (Gaming Mouse Lumière LED, Ultra légère, droitier, 6 Boutons programmables, 6 200 dpi, capteur Optique, Logiciel, câble détachable 2m) Noir', ""uRage Microphone à Condensateur de streaming USB avec bras (Micro Cardioïde d'Enregistrement Studio Conversation YouTube Voix-off, Ordinateur Bureau ou PC Portable, câble 2.5m, 20Hz-16kHz, 2200Ω) Noir""]"
Gaming,PC-Gaming,IT & Office,Bags & Covers,[nan]
Gaming,PC-Gaming,IT & Office,Gaming Essentials,"['uRage Microphone Gaming pour PC Stream 410 HD (Mircophone à Condensateur, Micro Streaming Plug&Play/USB-C/Bouton Mute/Filtre Anti-Pop/Rétroéclairage LED) Noir', ""uRage Microphone à Condensateur de streaming USB avec bras (Micro Cardioïde d'Enregistrement Studio Conversation YouTube Voix-off, Ordinateur Bureau ou PC Portable, câble 2.5m, 20Hz-16kHz, 2200Ω) Noir"", nan]"
Home & Office,Bulbs/Lamps,Home & Office,Bulbs/Lamps,"[nan, nan]"
Home & Office,Bulbs/Lamps,Home & Outdoor,Housing Technology,"[nan, nan]"
Home & Office,"Clocks, Alarms, Weather Stations",Home & Office,"Clocks, Alarms, Weather Stations","['Hama Station météo sans fil interieur exterieur Meteotime (centre de prévision météorologique, Horloge radio pilotée DCF, Sonde sans fil, Thermomètre, Hygromètre, Alarme, Reveil, rétro éclairage) noir', 'Hama Horloge Murale Numérique Jumbo (Radio-pilotée DCF, Très Grand Format d’Affichage, Affichage XL Heure-Date-température int.-humidité, à Suspendre ou Poser) Noir', 'Hama Horloge Murale PP-245 (Radio-pilotée DCF, Pendule sans tic tac, numérique, à LED, sans Fil, avec Piles, Format 24h, Calendrier, Jour, thermomètre 0°C à -50°C, Pause Murale ou Bureau) Noir']"
Home & Office,"Clocks, Alarms, Weather Stations",Home & Outdoor,Housing Technology,"['Hama Elegance Horloge Murale à Quartz Cercle Gris, Argent - Horloges murales (AA Mignon, Gris, Argent, Plastique, Verre, 45 mm, 495 g)', 'Hama - WETTERSTATION - Weather Station', 'Hama Horloge à pile blanche']"
Home & Office,Diverse,Home & Office,Diversee,"['Xavax - 111945 - Adaptateur pour valve de radiateur avec filetage M28 x 1,5mm', 'Dispositif de Fixation à Pince pour multiprise', 'Hama Bras Support écran PC \'00118493\' (Bras pivotant et Extensible pour Ecran Moniteur PC 33-89 cm /13""-35"", Hauteur réglable, Inclinable, Système Easy Fix) Noir']"
Home & Office,Diverse,Home & Outdoor,Household Essentials,"['Xavax - 111945 - Adaptateur pour valve de radiateur avec filetage M28 x 1,5mm']"
Home & Office,Diverse,Home & Outdoor,Safety & Security,[nan]
Home & Office,Diverse,IT & Office,Holders & Attachments,"['Hama Support ""X"" à roulettes (pour Les Tours PC Les Plus Populaires, jusqu\'à 25,5 cm de Large) Noir', 'Hama Support écran PC \'00118489\' (Bras Support d\'Ecran Moniteur PC 33-81 cm /13""-32"", Hauteur réglable, Pivotant, Inclinable, Système Easy Fix) Noir', 'Dispositif de Fixation à Pince pour multiprise']"
Home & Office,Domestic Appliance,Home & Office,Domestic Appliance,"['Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc', 'Xavax Socle universel (60 x 60 cm, augmentation de 40 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc', 'Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc']"
Home & Office,Domestic Appliance,Home & Outdoor,Holders & Attachments,"['Xavax Support mural pour micro-ondes (porte micro-onde, 27 x 47 x 5 cm) Blanc', 'Xavax Support mural pour micro-ondes (porte micro-onde, 27 x 47 x 5 cm) Argent', nan]"
Home & Office,Domestic Appliance,Home & Outdoor,Household Essentials,"['Xavax Tuyau d\'Arrivée d\'Eau Froide 2.5m (Tuyau Universel pour Lave Vaisselle, Lave-Linge, Connexion 3/4""(1,91 cm) Droit/Coudé Angle 90°) Gris', 'Xavax Réducteur de diamètre (pour hottes aspirantes de 150 mm sur 125 mm) Blanc', 'Xavax Filtre combiné universel pour friteuses (2 filtres à graisse et à charbon actif pour friteuses, filtre combiné universel, coupe individuelle, 33 x 29,6 cm) Noir/Blanc/Gris']"
Home & Office,Domestic Appliance,Home & Outdoor,Housing Technology,[nan]
Home & Office,Domestic Appliance,Home & Outdoor,Protection & Care,"['Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc', 'Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc', 'Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc']"
Home & Office,Housewares,Home & Office,Housewares,"['Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent', 'Xavax Mousseur à lait ""Milchicopter"" (Batteur à lait en acier, moteur très puissant à 14 000 tours/minute, spirale spéciale, nettoyage facile, mousseur à lait, balai Matcha) Noir', ""Xavax Égouttoir Porte Bouteilles (Support d'égouttage jusqu'à 6 Bouteilles, Pots, biberons Verres Tasses ou Mugs, Egouttoir Compact et Design, idéal sodastream, air-up, Avent, Philips) Noir""]"
