Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Intervalle des rapports=[Mois],Champ de vision.=[01/12/2024 - 31/12/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"PPM nette","PPM nette – Période précédente (bps)","PPM nette – Même période l'année dernière (bps)"
B0002W68Z2,"Hama - 11947 - Câble audio stéréo, 2 RCA mâles - 2 RCA mâles, 1,50m, Noir",Hama,"93,06 %",9305,9305
B07H149QV2,"Hama Album photo 'Susi Pastell' (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Couleurs pastel Aléatoires",Hama,"89,47 %",-27,3093
B0000AHIH7,"Hama Cadre pour portrait, acrylique, format vertical, 9cm x 13cm",Hama,"89,36 %",1616,8935
B07PD6WYDC,"Hama Mini-Album Photo à Pochettes Brushstroke (Album Photo Traditionnel 13 x 16,5 cm, 24 Pages pour 24 Photos Format 10 x 15 cm, Protection idéale, Artistique, élégant) Bleu/Jaune/Orange/Blanc",Hama,"88,80 %",3786,3220
B0000AHIED,"Hama Cadre Photo Clip-Fixe (sans Bordure, 20 x 20 cm, Reflex) Blanc",Hama,"86,55 %",2580,3154
B07N6HRNMP,"Hama Album photo ""Summerly"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Motifs Aléatoires",Hama,"86,44 %",349,3611
B00006J9WK,"Hama - 30455 - Câble 2 RCA M / 1 Jack 3,52mm M. 2m. Noir",Hama,"85,65 %",8565,8565
B0000AHIF7,"Hama Cadre portrait (taille de cadre 10x15 cm, taille de photos 10x15 cm, acrylique, format vertical, en plastique, 1 photo par cadre, élégant, simple, classique) Gris",Hama,"84,81 %",182,2798
B001JTV1HW,"Hama Boîtier standard (pour DVD, convient également aux CD et aux Blu-ray, avec film pour l'insertion de la jaquette, lot de 5) Transparent",Hama,"84,46 %",606,3302
B0000AHIKN,"Hama Cadre photo ""Clip-Fixe"" (sans bordure, 10,5 x 15 cm, Reflex) Blanc",Hama,"84,10 %",1393,8409
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"84,03 %",-645,3825
B0017UGOX4,"Hama Passe-Partout (Premium, Dimensions : Extérieur : 30 cm x 40 cm/Intérieur : 20 cm x 27 cm) Blanc Arctique",Hama,"83,05 %",-88,212
B0000AISOV,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 30 cm, Reflex) Blanc",Hama,"82,93 %",-266,2931
B0000AIST8,"Porte-tableaux Clip-Fix 24x30cm antireflet",Hama,"82,91 %",8290,8290
B005GCMZLY,"Hama Album photo ""Singo"" (couverture souple, 36 pages pour 36 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"82,47 %",8246,3036
B00006J4HS,"Hama Présentoir de Distributeur de pastilles adhésives (10 distributeurs, 500 coins photos, diamètre de 10 mm, PP anti statique) Transparent",Hama,"82,27 %",-9,172
B000OS1ETO,"Câble d'antenne, Coax mâle - Coax Femelle, 75dB, Blanc, 3,00m",Hama,"81,60 %",207,1047
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"81,54 %",297,1024
B0000AHIEM,"Hama Passe-partout, blanc arctique, 24 x 30 cm",Hama,"81,25 %",339,8124
B01LZXLX9Z,"Pêle-mêle de cadres photo pr portrt, 2 en 10 x 15 cm, 1 en 10 x 10 cm",Hama,"80,47 %",8047,1446
B00005UPE1,"Hama Câble réseau RJ45 Droit Ethernet Cat 5e STP (câble de raccordement de 10 m, 1000 Mbit/s, plaqué Or, blindé) Gris",Hama,"79,62 %",2155,7961
B00006JAOZ,"Hama Fusibles en Verre (fusible de voiture, 40A, 10 x 38mm, plaqué or, 2 pièces) Or/Transparent",Hama,"79,38 %",1103,1129
B00292AZN4,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 40 cm, Reflex) Blanc",Hama,"79,34 %",624,177
