Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Intervalle des rapports=[Mois],Champ de vision.=[01/11/2024 - 30/11/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"PPM nette","PPM nette – Période précédente (bps)","PPM nette – Même période l'année dernière (bps)"
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"90,48 %",9047,4752
B07H149QV2,"Hama Album photo 'Susi Pastell' (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Couleurs pastel Aléatoires",Hama,"89,74 %",172,1976
B0000AISOV,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 30 cm, Reflex) Blanc",Hama,"85,60 %",580,3251
B01KJER734,"Hama 24 Albums photos ""Skies"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"85,24 %",403,5237
B0017UGOX4,"Hama Passe-Partout (Premium, Dimensions : Extérieur : 30 cm x 40 cm/Intérieur : 20 cm x 27 cm) Blanc Arctique",Hama,"83,94 %",8393,1684
B0000AHIF7,"Hama Cadre portrait (taille de cadre 10x15 cm, taille de photos 10x15 cm, acrylique, format vertical, en plastique, 1 photo par cadre, élégant, simple, classique) Gris",Hama,"82,99 %",544,103
B07N6HRNMP,"Hama Album photo ""Summerly"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Motifs Aléatoires",Hama,"82,95 %",-84,3384
B00006J4HS,"Hama Présentoir de Distributeur de pastilles adhésives (10 distributeurs, 500 coins photos, diamètre de 10 mm, PP anti statique) Transparent",Hama,"82,36 %",8235,-93
B0000AISDG,"Hama Passe-partout (premium, dimensions : Extérieur : 40 cm x 50 cm / Intérieur : 28 cm x 35 cm) Blanc Arctique",Hama,"80,02 %",77,2708
B08BNYFVFS,"Hama Ring Light LED avec Trépied extensible et Support Smartphone (Anneau Lumineux Selfie 26.5cm, télécommande Bluetooth, 10 niveaux d'intensité, Idéal TikTok/Youtube/Live Stream/Maquillage) Noir",Hama,"79,92 %",531,2163
B000JFVCK8,"Hama Adaptateur secteur (prise de voyage pour : Amérique, apon, Canada, Brésil, Thaïlande, ... adapté aux apparails avec fiche Euro) Blanc",Hama,"79,87 %",7987,578
B000OS1ETO,"Câble d'antenne, Coax mâle - Coax Femelle, 75dB, Blanc, 3,00m",Hama,"79,53 %",132,435
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"78,57 %",18,1012
B001JTV1HW,"Hama Boîtier standard (pour DVD, convient également aux CD et aux Blu-ray, avec film pour l'insertion de la jaquette, lot de 5) Transparent",Hama,"78,40 %",2457,2815
B0000AIRSL,"Hama Cadre photo Clip-Fixe (sans bordure, 50 x 60 cm, Reflex) Blanc",Hama,"78,37 %",7836,7836
B0000AHIEM,"Hama Passe-partout, blanc arctique, 24 x 30 cm",Hama,"77,85 %",7785,1015
B0000AHIFI,"Hama Passe-partout Premium, blanc neige, 20 x 30 cm",Hama,"77,32 %",897,1297
B001CSPFUO,"Hama Support pour véhicule ""Mini Swivelling Socket"" (pour navis et smartphones, à combiner avec des supports de grille à 4 trous, collé ou monté, pivotant à 360°, pivotant à 45°) Noir",Hama,"77,06 %",7706,7706
B00006J9WN,"Hama Boîtier Multipack (pour 4 CD/DVD/Blu-Ray, Multipack, 4 in 1, étui de Protection pour CD) Noir/Transparent",Hama,"75,64 %",-40,7564
B000Z1UORI,"Hama Album Photo Fine Art (Format 24 x 17 cm, 50 Pages Noires, à Spirale) Noir",Hama,"74,87 %",355,385
B003O5MK7E,"Hama Passe-partout Premium, noir, 40 x 50 cm pour photo de 30 x 40 cm",Hama,"74,54 %",1604,1775
B0000AIS8M,"Hama Cadre photo en plastique ""Décor Sevilla"" (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Or Mat",Hama,"74,49 %",7449,4505
B0000AISA5,"Hama Cadre en plastique Madrid (taille de cadre de 20 cm x 30 cm, taille de la photo de 13 cm x 18 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Bleu",Hama,"74,17 %",7417,2263
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"73,67 %",-10,1249
B009X8SEOO,"Hama ""Fine Art"" Spiral Album, 24 x 17 cm, 50 Photos, kiwi",Hama,"73,50 %",7350,7350
B0000AISF4,"Cadre tableau sans bordure Clip-Fix 30x40 antireflet",Hama,"73,39 %",674,1912
B01K47I1TK,"Hama Album Jumbo ""Skies"" (album grand format, 30 x 30 cm, 60 pages, pour 240 photos au format 10 x 15 cm) Gris",Hama,"73,37 %",7336,312
B001JTTAQ6,"Hama Boîtier ""Slim"" double (pour DVD, convient également aux CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 5) Transparent",Hama,"73,32 %",7332,-296
B001UBBJC6,"Hama Album Photo Fine Art (Format 24 x 17 cm, 50 Pages Noires, à Spirale) Gris",Hama,"73,24 %",7323,1429
B0000AHIH7,"Hama Cadre pour portrait, acrylique, format vertical, 9cm x 13cm",Hama,"73,19 %",-50,7319
B00292AZN4,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 40 cm, Reflex) Blanc",Hama,"73,10 %",27,1257
B000V8QPQ4,"hama hama Câble d'antenne, prise coaxiale 75 db - prise coaxiale 10,0 m",Hama,"72,65 %",574,102
B0000AISCX,"Hama Cadre Photo Clip-Fixe (sans Bordure, 30 X 45 Cm, Anti-Reflex) Blanc",Hama,"72,65 %",-260,-395
B01K47G2W8,"Hama Album Jumbo ""Skies"" (album grand format, 30 x 30 cm, 60 pages, pour 240 photos au format 10 x 15 cm) Beige",Hama,"72,33 %",0,402
B01K47GUKC,"Hama Album photo vierge ""La Fleur"" (album photo traditionnel 30 cm x 30 cm, 100 pages noires, de 400 photos au format 10 cm x 15 cm, motif de feuilles) Blanc",Hama,"72,26 %",107,118
B0CNGY9DBG,"Xavax Mousseur à lait (Batteur à lait, fouet inox très puissant 14 000 tr/min, Emulsionneur à lait à piles, Fouet Électrique Idéal Café Latte Cappuccino Macchiato Matcha Sauces Blancs d'oeufs) Noir",Xavax,"72,19 %",7218,7218
B00BYCGMEG,"Hama Album photo vierge ""Livorno"" (album photo traditionnel format 22 cm x 22 cm, pour 200 photos 10 cm x 15 cm, 100 pages, emplacement CD) Bleu/Blanc/Jaune",Hama,"72,16 %",632,1560
B0016M22HA,"Thomson Coussinets de rechange ""EARA110"" (rechange en mousse, 6 pièces, ø 19 mm) Noir",Thomson,"71,97 %",7196,7196
B07TWSY81M,"Hama Album photo livre Scrapbooking Enfants et Adultes (pour 30 photos 15x15 cm, Dim. 18x18 cm, 30 pages blanches, Parfait pour un cadeau unique et toutes les occasions) Multicolore",Hama,"71,81 %",0,-101
B0036NQG7O,"hama Réveil radiopiloté à projecteur intégré ""RCR 110"" (sans fil, avec thermomètre, calendrier, radio-réveil à projection, réglage automatique de l'heure, projecteur pivotant à 180 degrés) Blanc/Gris",Hama,"71,75 %",-221,1435
B000VRANHW,"Hama Album Photo ""Fine Art"" (format 28 x 24 cm, 50 pages noires, à spirale) Noir 00090145",Hama,"71,66 %",-44,140
B005DJKFIU,"Hama Album Photo Singo (Album Auto-adhésif, 28 x 31 cm, 20 Pages, pour 60 Photos au Format 10 x 15 cm) Rose",Hama,"71,20 %",-11,968
B0032D8WCA,"Hama Album Photo Catania (Taille de l'album 29 x 32 cm pour 300 Photos au Format 10 x 15 cm, 60 Pages, Papier stratifié, thématique Mariage/Vacances, Personnalisable) Gris",Hama,"71,14 %",-287,373
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"71,12 %",2210,2419
B0002W5WDQ,"Hama Boîtier ""Slim"" double (pour DVD, convient également aux CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 10) Noir/Transparent",Hama,"71,03 %",103,-149
B005DJKEY0,"Hama Album Photo Singo (Album Auto-adhésif, 28 x 31 cm, 20 Pages, pour 60 Photos au Format 10 x 15 cm) Orange",Hama,"70,94 %",432,7094
B005DJKF5I,"Hama Album Photo Singo (Album Auto-adhésif, 28 x 31 cm, 20 Pages, pour 60 Photos au Format 10 x 15 cm) Vert",Hama,"70,94 %",55,-133
B003QQBDUG,"Hama Goulotte Passe-Câbles Aluminium Anodisé (Cache-Câble Mural ou au Sol, Moulure Décorative en Demi-Rond, Rangement de Câbles Design, Protection de Câble, 1.8x3.3x110cm, pour 5 câbles) Blanc",Hama,"70,84 %",7083,7083
B06XB7TTCD,"Album photo ""Ayleen"", pour 200 photos au format 10 x 15 cm",Hama,"70,56 %",0,75
B009X8SFSY,"Hama ""Fine Art"" Spiral Album, 24 x 17 cm, 50 Photos, azure",Hama,"70,46 %",7045,-91
B001UBBJD0,"Hama Album Photo Fine Art (Format 28 x 24 cm, 50 Pages Noires, à Spirale) Lilas",Hama,"70,43 %",7043,267
B0000AHICD,"Hama Boîtier ""Slim"" double (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 10) Transparent",Hama,"70,37 %",-287,2325
B0000AHIKN,"Hama Cadre photo ""Clip-Fixe"" (sans bordure, 10,5 x 15 cm, Reflex) Blanc",Hama,"70,16 %",2309,2379
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"70,13 %",-127,3599
B000EOVQI2,"Hama Boîtier CD Slim, Lot de 10, Transparent",Hama,"70,11 %",44,-185
B00006J9VM,"Hama Boîtier Multipack (pour 6 CD/DVD/Blu-Ray, Multipack, 6 in 1, étui de Protection pour CD) Noir/Transparent",Hama,"70,04 %",52,2099
B005DJKFUS,"Hama Album Photo Singo (Album Grand Format, 30 x 30 cm, 100 Pages, pour 400 Photos au Format 10 x 15 cm) Aqua",Hama,"70,04 %",-212,-141
B07CQCWLFL,"Hama “Fine Art"" Spiral Album, 24 x 17 cm, 50 Photos, flamingo",Hama,"69,97 %",6996,1611
B01IW9057S,"Hama Album photo traditionnel ""Rustico"" (album mémo, album de 22,5 x 22,5 cm, 100 pages blanches, 200 photos au format 10x15, idéal pour le scrapbooking, insertion des photos) Love Key",Hama,"69,94 %",504,178
B005DJXYY2,"Hama Album Photo ""Singo"" (album minimax, 13 x 16,5 cm, 100 pages, pour 100 photos au format 10 x 15 cm) Aqua",Hama,"69,79 %",-286,6978
B005DJXZSC,"Hama Album Photo Singo (Album minimax, 13 x 16,5 cm, 100 Pages, pour 100 Photos au Format 10 x 15 cm) Rose",Hama,"69,76 %",510,1683
