Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Intervalle des rapports=[Mois],Champ de vision.=[01/09/2024 - 30/09/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"PPM nette","PPM nette – Période précédente (bps)","PPM nette – Même période l'année dernière (bps)"
B06XCCZLZ8,"Hama Câble de charge et transfert de données ""Métal"" (USB-A mâle vers Lightning, USB 2.0, nickel, câble anti-torsion, longueur de câble de 1,5 m) Anthracite",Hama,"100,00 %",10000,10000
B07H149QV2,"Hama Album photo 'Susi Pastell' (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Couleurs pastel Aléatoires",Hama,"86,93 %",-19,314
B0000AHIH1,"Hama Boîtier ""Slim"" (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 5) Noir/Transparent",Hama,"86,84 %",8683,8683
B0000AHIF7,"Hama Cadre portrait (taille de cadre 10x15 cm, taille de photos 10x15 cm, acrylique, format vertical, en plastique, 1 photo par cadre, élégant, simple, classique) Gris",Hama,"85,00 %",601,1865
B0000AISOV,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 30 cm, Reflex) Blanc",Hama,"84,62 %",208,2929
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"84,02 %",3577,8402
B000OS1ETO,"Câble d'antenne, Coax mâle - Coax Femelle, 75dB, Blanc, 3,00m",Hama,"82,69 %",-539,-146
B074JD5KRM,"Hama Cadre en plastique ""Madrid"" (taille de cadre de 21 cm x 29,7 cm, taille de la photo de 15 cm x 20 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Argent",Hama,"82,56 %",2104,2108
B0017UGOX4,"Hama Passe-Partout (Premium, Dimensions : Extérieur : 30 cm x 40 cm/Intérieur : 20 cm x 27 cm) Blanc Arctique",Hama,"82,44 %",676,53
B0000AHIE0,"Hama Cadre portrait (taille de cadre 13x18 cm, taille de photos 13x18 cm, acrylique, format horizontal, en plastique, 1 photo par cadre, élégant, simple, classique) Transparent",Hama,"81,39 %",2154,2154
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"81,25 %",706,98
B0000AISDG,"Hama Passe-partout (premium, dimensions : Extérieur : 40 cm x 50 cm / Intérieur : 28 cm x 35 cm) Blanc Arctique",Hama,"80,01 %",0,2702
B000JFVCK8,"Hama Adaptateur secteur (prise de voyage pour : Amérique, apon, Canada, Brésil, Thaïlande, ... adapté aux apparails avec fiche Euro) Blanc",Hama,"79,87 %",7987,176
B07B9NPHCZ,"Hama Album photo minimax ""Designline"" (album de 13 x 16,5 cm, insertion par le haut de 100 photos format 10 x 15 cm, 100 pages (1 photo/page), pas d'inscription) Feathers",Hama,"79,64 %",955,69
B0000AISA5,"Hama Cadre en plastique Madrid (taille de cadre de 20 cm x 30 cm, taille de la photo de 13 cm x 18 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Bleu",Hama,"79,31 %",2340,2224
B0000AIST8,"Porte-tableaux Clip-Fix 24x30cm antireflet",Hama,"79,21 %",7921,7921
B000KJOLUQ,"Hama Cadre photo Clip-Fixe (sans bordure, 60 x 80 cm, Reflex) Blanc",Hama,"78,80 %",7880,2132
B001UBD140,"Hama Album Photo Fine Art (Format 24 x 17 cm, 50 Pages Noires, à Spirale) Lilas",Hama,"78,44 %",997,524
B0000AISE1,"Hama Cadre photo ""Clip-Fixe"" (sans bordure, 29,7 x 42 cm, Anti-Reflex) Blanc",Hama,"78,34 %",440,303
B005GCMZD2,"Hama Album photo à pochettes ""Singo"" (couverture souple, pour 24 photos au format 18x13 cm, résistant, protège la photo) Couleur aléatoire parmi Orange, Vert, Bleu et rose",Hama,"77,40 %",3042,2806
B0000AIRRQ,"Hama Cadre photo ""Clip-Fixe"" (sans bordure, 50 x 70 cm, Reflex) Blanc",Hama,"77,33 %",0,7733
B000V8QPQ4,"hama hama Câble d'antenne, prise coaxiale 75 db - prise coaxiale 10,0 m",Hama,"77,20 %",245,-15
B00006J4HS,"Hama Présentoir de Distributeur de pastilles adhésives (10 distributeurs, 500 coins photos, diamètre de 10 mm, PP anti statique) Transparent",Hama,"76,59 %",-224,-420
B00006J9WN,"Hama Boîtier Multipack (pour 4 CD/DVD/Blu-Ray, Multipack, 4 in 1, étui de Protection pour CD) Noir/Transparent",Hama,"76,54 %",308,7653
B0000AIRVB,"Hama Cadre photo ""Clip-Fixe"" (sans bordure, 40 x 50 cm, Anti-Reflex) Blanc",Hama,"76,51 %",7,7650
B075RH8PTF,"Hama Album Photo Fine Art (Format 24 x 17 cm, 50 Pages Blanches, à Spirale) Noir",Hama,"75,94 %",-188,-7
B00005UPE1,"Hama Câble réseau RJ45 Droit Ethernet Cat 5e STP (câble de raccordement de 10 m, 1000 Mbit/s, plaqué Or, blindé) Gris",Hama,"75,82 %",7581,7581
B0000AHICV,"Hama Boîtier CD/DVD Slim (lot de 10 boitiers standards vierges pour CD/DVD et disques Blu-ray, ultra plat) Noir/Transparent",Hama,"75,42 %",251,2955
B0000AHIEM,"Hama Passe-partout, blanc arctique, 24 x 30 cm",Hama,"74,90 %",19,1968
B0792TCS2C,"Hama Pochette Up to Fashion (pour 24 disques, CD/DVD/Blu-Ray/Livres Audio, étui de Rangement, Gain de Place pour la Voiture, la Maison) Bleu",Hama,"74,13 %",2316,2191
