Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/02/2024 - 29/02/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"3 436,93 €","341,65 %",,"2 704,00 €","333,33 %",,52,"333,33 %",,2,,
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"2 965,12 €","10,55 %","-2,21 %","1 781,92 €","6,83 %","4,94 %",172,"6,83 %","-5,49 %",2,"0,00 %","-33,33 %"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"2 788,02 €","234,93 %","77,96 %","1 438,65 €","275,00 %","201,28 %",345,"275,00 %","171,65 %",6,"200,00 %","-25,00 %"
B0026MT4CK,"Xavax Tuyau d'Arrivée d'Eau Froide 2.5m (Tuyau Universel pour Lave Vaisselle, Lave-Linge, Connexion 3/4""(1,91 cm) Droit/Coudé Angle 90°) Gris",xavax,"2 607,25 €","-35,31 %","-40,88 %","1 262,71 €","-43,32 %","-45,95 %",222,"-43,37 %","-50,56 %",9,"50,00 %","-35,71 %"
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"2 383,68 €","35,79 %",,"1 741,92 €","35,78 %",,573,"35,78 %",,4,"100,00 %",
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"2 147,85 €","80,60 %","21 400,00 %","2 169,35 €","83,76 %","23 352,43 %",215,"83,76 %","21 400,00 %",1,"-80,00 %","-83,33 %"
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"1 984,53 €","4,87 %",,"1 809,19 €","4,87 %",,797,"4,87 %",,8,"60,00 %",
B08GSRV3PB,"Hama Tête Thermostatique Connectée et Intelligente WiFi (pour Kit de Chauffage Connecté 00176592 Compatible Alexa Google Home, Robinet Intelligent pour Radiateur à Eau Chaude) Blanc",Hama,"1 772,91 €","23,08 %","1 318,55 %","2 331,00 €","70,73 %","2 490,00 %",70,"70,73 %","2 233,33 %",,,
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"1 759,52 €","-37,92 %","14,17 %","1 040,76 €","-43,54 %","20,16 %",118,"-43,54 %","9,26 %",3,"-25,00 %","-50,00 %"
B08GRRDVN9,"Hama Destructeur de Documents Mini S6 (Broyeur Documents 6 Feuilles 80g, Destructeur Papier, Déchiqueteur sécurité P1, 72 DB, M/A Auto, Fonction Retour, s'adapte sur des Corbeilles à Papier) Noir",Hama,"1 623,96 €","20,00 %",,"1 201,98 €","20,00 %",,78,"20,00 %",,,,
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"1 547,52 €","215,06 %","3 000,00 %","1 104,84 €","223,48 %","3 223,83 %",372,"223,48 %","3 000,00 %",4,"300,00 %",
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"1 351,93 €","-50,38 %","-34,30 %","852,12 €","-55,98 %","-37,32 %",81,"-55,98 %","-42,14 %",4,"300,00 %","-20,00 %"
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"1 332,24 €","-1,27 %","-37,75 %","844,20 €","18,87 %","-10,13 %",126,"18,87 %","-17,11 %",1,,"-75,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 324,40 €","-24,66 %","78,56 %","872,85 €","-24,66 %","87,21 %",55,"-24,66 %","77,42 %",3,"50,00 %",
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"1 294,71 €","-5,96 %","127,33 %","582,50 €","18,48 %","269,84 %",250,"18,48 %","233,33 %",2,"100,00 %","-33,33 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"1 271,92 €","-52,07 %","-62,52 %","590,40 €","-56,63 %","-67,64 %",120,"-56,68 %","-70,52 %",3,"50,00 %","-40,00 %"
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"1 254,51 €","14,75 %","147,78 %","865,80 €","17,65 %","151,51 %",60,"17,65 %","130,77 %",2,"100,00 %","100,00 %"
B0015K9MTY,"Xavax Filtre à fibres longues pour hottes aspirantes (2 filtres universels pour extraction par extraction, sur mesure, 57 x 47 cm) Blanc",xavax,"1 219,88 €","-10,97 %","201,36 %","444,75 €","-40,47 %","219,92 %",125,"-40,48 %","197,62 %",1,"-66,67 %",
B00006J4GV,"Hama Multiprise 3 Prises 16A avec Interrupteur (Rallonge multiprises 3m, Bloc 3 Prises Type F Schuko, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Blanc",Hama,"1 160,36 €","770,88 %","2,14 %","976,86 €","1 146,15 %","26,07 %",162,"1 146,15 %","8,72 %",,,"-100,00 %"
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"1 108,95 €","17,78 %","-30,59 %","760,57 €","18,75 %","-33,20 %",19,"18,75 %","-38,71 %",2,,"-50,00 %"
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"1 108,66 €","50,91 %","245,20 %","521,85 €","40,00 %","307,98 %",105,"40,00 %","275,00 %",,,
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 057,69 €","-19,01 %",,"1 140,00 €","-16,67 %",,5,"-16,67 %",,,,
B0069MD6SQ,"Thomson Casque sans fil TV ""WHP3311BK"" (Over-Ear, avec station de recharge système, PLL, circum-auriculaire, portée 100 m, 863 MHz, sans fil) Bleu",Thomson,"1 035,95 €","172,60 %",,"899,36 €","175,00 %",,22,"175,00 %",,3,"50,00 %","50,00 %"
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"989,45 €","-20,58 %","1 660,59 %","576,84 €","-32,05 %","1 110,58 %",55,"-32,10 %","1 000,00 %",3,,
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"968,45 €","-10,57 %","-48,20 %","452,64 €","-10,39 %","-54,33 %",69,"-10,39 %","-57,67 %",,"-100,00 %","-100,00 %"
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"944,24 €","-42,50 %","-18,52 %","511,53 €","-42,70 %","-32,14 %",51,"-42,70 %","-33,77 %",1,"0,00 %","-80,00 %"
B0000AI3G4,"Hama Cadre en plastique Madrid (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"854,39 €","92,37 %",,"425,92 €","91,30 %",,44,"91,30 %",,11,"266,67 %",
B07CKR6PKL,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron",Hama,"832,52 €","-47,29 %","215,58 %","396,18 €","-63,31 %","191,65 %",62,"-63,31 %","169,57 %",,"-100,00 %","-100,00 %"
B07MPQTNXF,"Xavax Sangle d’arrimage de sécurité avec cliquet pour sèche-linge, Blanc/Gris",xavax,"816,20 €","7,45 %","75,00 %","468,30 €","-5,42 %","90,25 %",70,"-5,41 %","75,00 %",2,"100,00 %","100,00 %"
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"797,57 €","31,14 %","136,10 %","662,08 €","45,45 %","173,23 %",32,"45,45 %","146,15 %",2,,"0,00 %"
B00UV84E4O,"Hama Album photo vierge ""Anzio"" (album photo traditionnel format 22,8 cm x 22,3 cm, pour 200 photos 10 cm x 15 cm, 100 pages, instax, minimax, idéal pour un mariage) Beige/Noir",Hama,"792,88 €","28,30 %",,"433,84 €","28,30 %",,68,"28,30 %",,1,,
B07ZJSSVG8,"Xavax Support Organiseur Pour Aspirateurs sans fil (Station Accueil au sol, avec Porte-Accessoires pour DYSON DC30 DC31 DC34 DC35 DC58 DC59 DC62 DC74, V11, XIAOMI V10, 29.5x22x128cm) Argent/Noir",xavax,"758,24 €","16,86 %","19,37 %","590,89 €","15,73 %","-29,22 %",14,"16,67 %","-26,32 %",1,,
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"757,26 €","45,77 %",,"592,23 €","46,15 %",,57,"46,15 %",,1,"0,00 %",
B0026MT4CA,"Xavax Rallonge de tuyau d'arrivée d'eau froide (pour tuyau de lavage et lave-vaisselle, tuyau d'arrivée d'eau froide, 2,5 m, 1 pièce) Gris/Blanc",xavax,"737,27 €","154,99 %","8,24 %","463,17 €","234,20 %","27,13 %",77,"234,78 %","16,67 %",1,"0,00 %","-75,00 %"
B07TYWBSZN,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, animaux, élégant) Marron/Beige/Vert/Orange/Jaune",Hama,"734,58 €","114,82 %","769,63 %","425,46 €","121,05 %","815,95 %",42,"121,05 %","740,00 %",1,,"0,00 %"
B00006JCUB,"Hama Multiprise 3 Prises 16A avec Interrupteur (Rallonge multiprises 1.4m, Bloc 3 Prises Type F Schuko, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Blanc",Hama,"718,96 €","343,42 %","4 699,47 %","511,85 €","400,00 %","7 516,82 %",145,"400,00 %","7 150,00 %",,,
B07RHGG3S7,"Hama Horloge murale radio-pilotée ""Extra"" (avec indicateur de date et température) Blanc et Argenté",Hama,"707,60 €","-23,06 %",,"597,60 €","-20,00 %",,20,"-20,00 %",,,,"-100,00 %"
