Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/06/2024 - 30/06/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B08GSRV3PB,"Hama Tête Thermostatique Connectée et Intelligente WiFi (pour Kit de Chauffage Connecté 00176592 Compatible Alexa Google Home, Robinet Intelligent pour Radiateur à Eau Chaude) Blanc",Hama,"5 839,67 €",,,364,,,"5 839,67 €",,,"12 116,77 €",,,364,,,15,"275,00 %",
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"5 073,84 €","45,00 %","111,32 %",87,"45,00 %","128,95 %","4 607,28 €","23,44 %","91,89 %","5 544,22 €","23,44 %","107,89 %",79,"23,44 %","107,89 %",11,"0,00 %","175,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"5 062,20 €","86,41 %","39,25 %",664,"191,23 %","38,91 %","5 105,66 €","99,42 %","36,94 %","2 575,81 €","187,75 %","14,36 %",674,"220,95 %","37,83 %",7,"-12,50 %","-12,50 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"4 768,56 €","0,90 %","210,86 %",358,"0,85 %","302,25 %","4 848,48 €","4,36 %","219,70 %","2 609,88 €","4,30 %","313,64 %",364,"4,30 %","313,64 %",4,"-55,56 %","-50,00 %"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"3 448,96 €","21,91 %","13,76 %",126,"38,46 %","21,15 %","3 300,74 €","11,74 %","12,14 %","2 479,29 €","27,37 %","20,50 %",121,"27,37 %","19,80 %",10,"-83,05 %","-41,18 %"
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"2 979,42 €","8,44 %","30,51 %",762,"12,39 %","45,70 %","2 967,69 €","8,23 %","43,89 %","1 768,47 €","12,28 %","62,07 %",759,"12,28 %","61,49 %",7,"40,00 %","-22,22 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"2 455,49 €","-5,78 %","-40,11 %",139,"-12,58 %","-51,40 %","2 405,51 €","-8,11 %","-41,76 %","1 506,93 €","-13,58 %","-50,15 %",136,"-15,00 %","-52,78 %",11,"-45,00 %","0,00 %"
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 449,02 €","-9,26 %","-46,22 %",98,"-9,26 %","-46,74 %","2 523,99 €","-8,18 %","-2,06 %","1 809,19 €","-8,19 %","4,57 %",101,"-8,18 %","0,00 %",4,"-50,00 %","300,00 %"
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"2 374,99 €","55,85 %","94,78 %",166,"86,52 %","140,58 %","2 246,11 €","45,03 %","91,42 %","1 574,71 €","74,44 %","138,30 %",157,"74,44 %","137,88 %",1,"-88,89 %","-66,67 %"
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"1 925,11 €","215,24 %","94 268,14 %",407,"253,91 %","40 600,00 %","1 915,65 €","223,04 %","93 804,41 %","819,24 €","243,73 %","35 989,87 %",405,"264,86 %","40 400,00 %",1,"-83,33 %",
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"1 795,99 €","416,64 %","-59,67 %",141,"605,00 %","-50,70 %","1 752,67 €","404,18 %","-54,56 %","1 469,51 €","592,28 %","-41,26 %",139,"595,00 %","-44,40 %",,"-100,00 %","-100,00 %"
B01K47CMCM,"Hama Album photo vierge ""La Fleur"" (album photo traditionnel 22,5 cm x 22,5 cm, 100 pages, pour l'insertion de 200 photos au format 10 cm x 15 cm, motif de feuilles, pochette CD) Blanc",Hama,"1 767,50 €","-4,35 %","3 274,38 %",250,"5,49 %","6 150,00 %","1 719,06 €","-9,22 %","2 518,52 %","1 495,13 €","0,55 %","4 724,56 %",243,"0,41 %","4 760,00 %",1,"-83,33 %",
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"1 745,80 €","16,05 %","-62,36 %",175,"15,13 %","-59,11 %","1 793,30 €","27,47 %","-59,26 %","1 031,00 €","19,79 %","-61,53 %",180,"26,76 %","-55,22 %",5,"0,00 %","-61,54 %"
B00006JDEX,"Hama Plateau Universel Hama Rond (32 cm, Taille L, Poids supporté 80 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 598,86 €","6,22 %","67,44 %",87,"-3,33 %","58,18 %","1 611,39 €","9,47 %","81,86 %","800,80 €","-1,49 %","34,70 %",88,"0,00 %","72,55 %",1,"-93,75 %","-66,67 %"
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"1 578,35 €","-0,17 %","107,31 %",1 088,"-14,67 %","77,20 %","1 532,59 €","-1,36 %","100,64 %","981,22 €","-11,01 %","83,01 %",1 115,"-11,01 %","81,01 %",14,"-53,33 %","133,33 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 562,85 €","-4,71 %","57,89 %",64,"-3,03 %","52,38 %","1 563,69 €","-3,16 %","84,22 %","987,68 €","-4,53 %","72,88 %",64,"-1,54 %","77,78 %",5,"400,00 %",
B006L9T90G,"Ventilateur USB avec LEDs de couleur",Hama,"1 560,46 €","543,94 %","157,95 %",187,"544,83 %","156,16 %","1 468,94 €","506,17 %","139,55 %","1 019,04 €","506,90 %","153,90 %",176,"506,90 %","137,84 %",4,"33,33 %",
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"1 483,22 €","12,26 %","5,09 %",102,"30,77 %","-0,97 %","1 461,90 €","10,70 %","27,03 %","821,68 €","24,52 %","12,32 %",101,"29,49 %","21,69 %",2,"-33,33 %",
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"1 350,33 €","-40,40 %","-56,42 %",73,"-46,32 %","-60,75 %","1 416,97 €","-36,53 %","-54,52 %","795,42 €","-42,70 %","-57,73 %",77,"-42,54 %","-58,82 %",16,"166,67 %","433,33 %"
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"1 265,40 €","33,80 %","9,41 %",95,"33,80 %","11,76 %","1 212,12 €","22,97 %","7,27 %","909,09 €","26,92 %","0,09 %",91,"22,97 %","9,64 %",,"-100,00 %","-100,00 %"
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"1 256,12 €","-16,69 %","-5,54 %",87,"-15,53 %","-17,14 %","1 227,80 €","-20,07 %","4,35 %","888,13 €","-19,18 %","-8,14 %",85,"-19,05 %","-8,60 %",4,"33,33 %",
B01DF1YLXM,"Hama Ventilateur de table USB (Mini Ventilateur de bureau 10 cm (4""), Bouton ON/OFF, inclinable, idéal aussi pour Chambre, Voiture, Camping) Noir",Hama,"1 214,21 €","351,56 %","-59,62 %",129,"344,83 %","-53,09 %","1 211,21 €","345,69 %","-48,97 %","824,83 €","340,78 %","-35,08 %",129,"344,83 %","-40,28 %",,"-100,00 %","-100,00 %"
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"1 166,00 €","12,68 %","-22,47 %",50,"13,64 %","-18,03 %","1 189,32 €","23,03 %","-16,94 %","637,50 €","24,39 %","-12,07 %",51,"24,39 %","-12,07 %",,,"-100,00 %"
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"1 164,16 €","-40,53 %","182,70 %",126,"-41,12 %","270,59 %","1 163,32 €","-40,29 %","165,89 %","631,28 €","-40,37 %","243,98 %",127,"-40,38 %","252,78 %",,"-100,00 %",
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"1 160,51 €","-3,47 %","369,10 %",54,"-3,57 %","390,91 %","1 160,49 €","-3,47 %","330,00 %","779,22 €","-3,57 %","350,00 %",54,"-3,57 %","350,00 %",,"-100,00 %","-100,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"1 129,31 €","-8,89 %","284,71 %",126,"18,87 %","472,73 %","1 171,96 €","-1,38 %","281,10 %","836,32 €","32,74 %","513,99 %",131,"32,32 %","469,57 %",1,,
B00UV84E4O,"Hama Album photo vierge ""Anzio"" (album photo traditionnel format 22,8 cm x 22,3 cm, pour 200 photos 10 cm x 15 cm, 100 pages, instax, minimax, idéal pour un mariage) Beige/Noir",Hama,"1 055,00 €","-6,84 %","117,90 %",84,"-8,70 %","115,38 %","1 062,47 €","-9,21 %","130,55 %","535,92 €","-12,50 %","126,86 %",84,"-12,50 %","127,03 %",2,"-75,00 %","100,00 %"
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"1 036,32 €","65,54 %","3 790,09 %",78,"65,96 %","3 800,00 %","1 009,68 €","68,45 %","2 426,73 %","790,44 €","69,15 %","2 634 700,00 %",76,"68,89 %","2 433,33 %",1,,
B000EORX5W,"Hama 00033833 Pochette, Noir (pour 120 CD/DVD/Blu-ray, classeur de rangement, gain de place pour le bureau, le salon et la maison, étuis de transport)",Hama,"1 030,52 €","-52,40 %","-31,50 %",67,"-50,37 %","-29,47 %","984,85 €","-55,15 %","-31,81 %","570,06 €","-53,34 %","-25,00 %",64,"-53,28 %","-29,67 %",1,"-83,33 %",
