Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/03/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"12 205,71 €","-9,46 %","37,40 %",490,"-9,43 %","55,56 %","12 329,31 €","-7,35 %","44,75 %","10 142,55 €","-7,30 %","63,37 %",495,"-7,30 %","63,37 %",64,"-31,91 %","45,45 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"4 490,72 €","12,19 %","144,83 %",321,"11,07 %","202,83 %","4 496,36 €","15,85 %","147,49 %","2 323,08 €","16,13 %","208,57 %",324,"16,13 %","208,57 %",12,"-20,00 %","20,00 %"
B00006JAQ7,"Hama 007103 - Ruban photo transparent, Blanc, 1000 pièces (2 paquets de 500 pièces)",Hama,"4 448,80 €","88,04 %","655,04 %",1 340,"98,52 %","1 007,44 %","4 359,16 €","90,94 %","682,47 %","3 787,44 €","105,46 %","851,83 %",1 313,"102,94 %","1 041,74 %",11,"1 000,00 %",
B00005YVIU,"Hama Distributeurs Coins photo (1000 coins, autocollants, distributeur pratique, sans acide, sans solvant, adapté albums, permet un archivage fiable, scrapbooking) Transparent",Hama,"3 572,32 €","106,66 %","4 390,66 %",1 076,"110,98 %","8 176,92 %","3 466,08 €","109,36 %","4 594,68 %","3 035,01 €","114,29 %","7 188,69 %",1 044,"113,93 %","8 600,00 %",9,,
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"3 310,80 €","511,98 %","66,58 %",25,"525,00 %","66,67 %","3 310,80 €","511,98 %","66,58 %","2 360,25 €","525,00 %","72,97 %",25,"525,00 %","66,67 %",,"-100,00 %",
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"2 782,96 €","89,17 %","12,21 %",112,"93,10 %","8,74 %","2 757,97 €","83,93 %","18,08 %","1 317,57 €","88,14 %","-14,41 %",111,"88,14 %","14,43 %",2,"-66,67 %","-66,67 %"
B07BGLLS26,"Chiffons pour écrans, 100 pièces, dans un distributeur",Hama,"2 210,94 €","145,02 %",,336,"166,67 %",,"2 154,80 €","152,39 %",,"1 323,61 €","169,40 %",,326,"169,42 %",,,"-100,00 %",
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"2 025,94 €","8,24 %","271,94 %",406,"8,85 %","471,83 %","2 090,81 €","15,67 %","255,28 %","1 317,11 €","-0,18 %","344,59 %",419,"16,71 %","458,67 %",11,"83,33 %","22,22 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 994,34 €","-8,97 %","19,71 %",10,"-9,09 %","25,00 %","1 994,34 €","-8,97 %","36,81 %","2 018,98 €","-8,62 %","28,84 %",10,"-9,09 %","42,86 %",,"-100,00 %",
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"1 968,03 €","11,30 %","-19,26 %",197,"11,30 %","-19,26 %","1 948,05 €","8,94 %","-17,02 %","1 577,55 €","8,94 %","-31,03 %",195,"8,94 %","-17,02 %",7,,"-41,67 %"
