Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/01/2025 - 31/01/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"2 492,73 €","50,66 %","41,81 %","1 163,26 €","48,48 %","0,41 %",98,"48,48 %","34,25 %",3,"-50,00 %","50,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"2 207,20 €","287,04 %","468,09 %","1 620,60 €","284,21 %","442,55 %",146,"284,21 %","421,43 %",8,"300,00 %","300,00 %"
B00005QFAY,"Hama Étuis à négatifs, Papier Cristal, 7 Bandes de 6 négatifs, 24x36cm, 100 pièces",Hama,"1 501,56 €","89,21 %",,"958,31 €","90,63 %",,61,"90,63 %",,2,,
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"1 217,33 €","-55,58 %","29,29 %","760,57 €","-56,82 %","18,75 %",19,"-56,82 %","18,75 %",3,"50,00 %",
B0BNLNC6KX,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Argenté",Hama,"1 037,15 €","73,58 %","362,66 %","1 020,00 €","66,67 %","400,00 %",5,"66,67 %","400,00 %",1,"0,00 %",
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"1 019,52 €","-28,95 %",,"719,28 €","-30,77 %",,72,"-30,77 %",,1,,
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"806,80 €","270,62 %","32,66 %","579,20 €","255,56 %","27,25 %",32,"255,56 %","45,45 %",1,,
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"796,68 €","-55,36 %","-39,00 %","796,00 €","-56,26 %","-41,81 %",4,"-55,56 %","-33,33 %",1,,
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"784,58 €","-31,63 %","0,82 %","468,00 €","-30,77 %","-25,00 %",9,"-30,77 %","-25,00 %",,,
B071VWLNZB,"Hama 00137234 Alimentation pour PC",Hama,"771,48 €","81,98 %","159,94 %","466,20 €","87,50 %","184,79 %",45,"87,50 %","181,25 %",,"-100,00 %","-100,00 %"
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"764,19 €","45,84 %","60,06 %","363,48 €","36,84 %","62,50 %",52,"36,84 %","62,50 %",,,
B09RC7QDPM,"Hama Album photo ""Skies II"" (Album Elégant et Intemporel, Idéal mariage, anniversaire, baptême, 22,5 x 22 cm, 100 pages avec pochettes pour 200 photos 10x15 cm, Zone Mémo et pochette carte SD) Gris",Hama,"741,17 €","71,06 %","-18,46 %","589,30 €","97,62 %","-20,19 %",83,"97,62 %","-20,19 %",,,"-100,00 %"
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"653,10 €","22,57 %","25,72 %","498,72 €","50,00 %","23,08 %",48,"50,00 %","23,08 %",1,,"0,00 %"
B003LTLSFS,"Hama Chemin de câbles (Bande en Aluminium pour Montage Mural TV ou au Sol, Cache-câble Rectangle, 110 x 3,3 x 1,7 cm, entrée de câble jusqu'à 5 câbles, matériel de Montage Compris) Gris",Hama,"652,04 €","131,65 %","480,00 %","415,44 €","157,14 %","500,00 %",36,"157,14 %","500,00 %",1,,
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"614,50 €",,"-43,79 %","432,90 €",,"-41,18 %",30,,"-41,18 %",,,"-100,00 %"
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"586,08 €",,,"673,40 €",,,74,,,,,
B07BZVN4MB,"Hama Radio numérique ""DR350"", FM/DAB/DAB+ (pour réception FM / DAB / DAB +,radio de cuisine sous comptoir, écran couleur, fonction d'alarme, fonctionnement sur secteur) Blanc",Hama,"528,79 €","-34,32 %",,"294,00 €","-41,67 %",,7,"-41,67 %",,,"-100,00 %",
B000N8UX88,"Hama Trépied Appareil Photo Star 20""",Hama,"527,05 €","183,96 %","280,87 %","332,16 €","200,00 %","405,26 %",96,"200,00 %","405,26 %",,,
B000K985GC,"Hama Boîtier Standard (pour DVD, Convient également aux CD et aux Blu-Ray, avec Film pour l'insertion de la Jaquette, Lot de 30) Noir",Hama,"519,84 €","257,16 %","103,72 %","336,48 €","242,86 %","100,00 %",24,"242,86 %","100,00 %",,,
B008JCRAGI,"Xavax Boîte de condensation pour sèche-linges à évacuation, Blanc, 28.5 x 23.5 x 23 cm",xavax,"499,80 €","66,67 %","-25,93 %","399,00 €","66,67 %","-25,93 %",20,"66,67 %","-25,93 %",,"-100,00 %",
B000VRFBM4,"Hama Album Photo ""Fine Art"" (format 36 x 32 cm, 50 pages noires, à spirale) Noir",Hama,"450,62 €","-9,32 %","9,68 %","201,00 €","-16,67 %","-16,67 %",25,"-16,67 %","-16,67 %",,,
B00005UPC8,"Hama Boîtier standard double (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Transparent",Hama,"449,55 €","-27,42 %","80,29 %","301,94 €","-27,40 %","149,87 %",45,"-27,42 %","150,00 %",,,
B01IW9057S,"Hama Album photo traditionnel ""Rustico"" (album mémo, album de 22,5 x 22,5 cm, 100 pages blanches, 200 photos au format 10x15, idéal pour le scrapbooking, insertion des photos) Love Key",Hama,"437,04 €","98,76 %","57,68 %","177,92 €","100,00 %","58,63 %",32,"100,00 %","52,38 %",,,
B093WSK4SC,"Hama Radio Internet Dab/Dab+ 'DR200BT' (Radio numérique FM/Dab/Dab+ Portable, Haut Parleur Bluetooth Rechargeable USB-C, Ecran Couleur, Entrée AUX, Minuteur, 30 Présélections, 8h d'écoute) Noir",Hama,"436,26 €","-36,81 %",,"345,00 €","-37,50 %",,10,"-37,50 %",,3,"0,00 %",
B0009V8VAQ,"Hama Etui pour Lecteur et CD (pour Lecteur CD, pour Discman, 3 CD, avec Sortie de câble et Boucle de Ceinture) Noir/Bleu",Hama,"429,68 €","-53,53 %","7,71 %","229,95 €","-61,86 %","2,27 %",45,"-61,86 %","2,27 %",2,"100,00 %",
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"397,50 €","-63,11 %","-25,00 %","283,23 €","-62,50 %","-25,00 %",3,"-62,50 %","-25,00 %",1,"0,00 %",
B00005YVI3,"Hama Étuis à négatifs, polypropylène, 7 bandes de 6 négatifs, 24x36cm, 100 pièces",Hama,"373,98 €","164,56 %",,"232,96 €","166,67 %",,8,"166,67 %",,,,
B0CT8VTKKN,"Hama Support TV Mural Orientable Garantie 10 Ans (Support TV Pivotant Inclinable Extensible, 50kg Max, pour écrans 94 à 229 cm (37"" à 90"") VESA 200x200 à 600x400, Chevilles Fischer fournies) Noir",Hama,"373,27 €","200,61 %",,"281,16 €","200,00 %",,3,"200,00 %",,,,
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"373,12 €","-44,00 %","-31,42 %","200,00 €","-48,39 %","-27,27 %",16,"-48,39 %","-27,27 %",,,
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"359,80 €","-87,49 %","0,04 %","172,08 €","-87,63 %","-11,11 %",24,"-87,63 %","-11,11 %",4,"100,00 %",
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"352,73 €","-1,91 %","42,16 %","144,61 €","-26,43 %","30,38 %",31,"-26,19 %","29,17 %",1,,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"335,79 €","144,92 %","-79,55 %","150,45 €","200,00 %","-83,15 %",15,"200,00 %","-83,15 %",,,"-100,00 %"
B0C6CK8KFG,"Hama Câble Enceinte HiFi (Cable pour enceinte, 10m, Câble Audio pour Enceinte, Câble HP de Haut Parleur en Cuivre pour Hifi et Hifi embarquée, 2 x 0.75 mm²) Transparent",Hama,"315,03 €","-37,77 %",,"175,98 €","-44,74 %",,42,"-44,74 %",,,,
B079PN72PJ,"Hama Souris Optique sans Fil Riano (Souris Gauche sans Fil, avec récepteur Nano USB, Vertical, 800-1600 dpi, Interrupteur de Marche/arrêt, 3 Boutons, 2,4 GHz) Noir",Hama,"314,25 €","53,92 %","-43,92 %","201,60 €","53,85 %","-45,95 %",20,"53,85 %","-45,95 %",,,"-100,00 %"
B07CKR6PKL,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron",Hama,"312,67 €","87,81 %","-80,20 %","134,19 €","90,91 %","-87,57 %",21,"90,91 %","-87,57 %",,,"-100,00 %"
B0CP86Q49Q,"Hama Antenne intérieure (Antenne Réception Radio Numérique (Dab/Dab+) et Analogique FM, Amplification du Signal Actif jusqu'à 30 DB, Cäble 1.5m, Fiche F mâle, Alim Secteur) Noir",Hama,"308,20 €","66,67 %",,"243,50 €","66,67 %",,10,"66,67 %",,,,
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"304,23 €","498,76 %","-82,67 %","325,28 €","529,41 %","-74,64 %",107,"529,41 %","-74,64 %",1,"-93,75 %","-50,00 %"
