Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/03/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"3 310,80 €","511,98 %","256,96 %","2 360,25 €","525,00 %","257,14 %",25,"525,00 %","257,14 %",,"-100,00 %",
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"2 034,43 €","81,71 %","50,87 %","973,34 €","86,36 %","9,52 %",82,"86,36 %","46,43 %",2,"-60,00 %","-66,67 %"
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"1 853,28 €","13,04 %",,"2 129,40 €","13,04 %",,234,"13,04 %",,6,,
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"1 452,09 €","-18,77 %","309,74 %","945,75 €","-27,68 %","420,50 %",291,"-18,03 %","532,61 %",11,,"22,22 %"
B00005YVIU,"Hama Distributeurs Coins photo (1000 coins, autocollants, distributeur pratique, sans acide, sans solvant, adapté albums, permet un archivage fiable, scrapbooking) Transparent",Hama,"1 228,40 €","760,47 %",,"1 073,00 €","760,47 %",,370,"760,47 %",,2,,
B00006JAQ7,"Hama 007103 - Ruban photo transparent, Blanc, 1000 pièces (2 paquets de 500 pièces)",Hama,"1 035,84 €","128,35 %","20 330,77 %","905,13 €","129,47 %","31 111,38 %",312,"129,41 %","31 100,00 %",,,
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"1 029,19 €","43,92 %",,"707,07 €","48,48 %",,49,"48,48 %",,4,,"0,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"897,68 €","59,07 %","-28,73 %","626,22 €","60,66 %","-20,97 %",98,"60,66 %","-20,97 %",,,"-100,00 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"769,23 €","-1,28 %","-58,60 %","622,93 €","-1,28 %","-66,81 %",77,"-1,28 %","-58,60 %",5,,"-54,55 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"641,20 €","-35,12 %","2 048,79 %","388,50 €","-35,19 %","1 650,00 %",35,"-35,19 %","1 650,00 %",1,"-85,71 %","-80,00 %"
B07BGLLS26,"Chiffons pour écrans, 100 pièces, dans un distributeur",Hama,"625,92 €","811,22 %",,"381,64 €","623,08 %",,94,"623,08 %",,,,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"602,43 €","96,06 %","-55,72 %","300,90 €","130,77 %","-67,39 %",30,"130,77 %","-67,39 %",,,"-100,00 %"
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"576,73 €","65,40 %","69,48 %","360,36 €","113,89 %","150,82 %",77,"113,89 %","148,39 %",7,,
B07CKR6PKL,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron",Hama,"567,92 €","44,35 %","62,04 %","396,18 €","58,97 %","121,43 %",62,"58,97 %","121,43 %",,,
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"548,21 €","22,97 %","6,60 %","287,50 €","27,78 %","21,05 %",23,"27,78 %","21,05 %",1,,"-50,00 %"
B0000AISCX,"Hama Cadre Photo Clip-Fixe (sans Bordure, 30 X 45 Cm, Anti-Reflex) Blanc",Hama,"540,80 €","854,80 %",,"289,90 €","1 525,00 %",,65,"1 525,00 %",,6,"200,00 %","500,00 %"
B00005QFAY,"Hama Étuis à négatifs, Papier Cristal, 7 Bandes de 6 négatifs, 24x36cm, 100 pièces",Hama,"538,05 €","1 005,05 %",,"329,91 €","950,00 %",,21,"950,00 %",,,"-100,00 %",
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"529,38 €","-56,73 %","-52,17 %","272,46 €","-58,24 %","-40,63 %",38,"-58,24 %","-40,63 %",1,"0,00 %",
B06XBXLK8B,"Hama Album photo ""Lazise"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) 4 Motifs cœur aléatoires",Hama,"471,20 €","352,38 %","458,82 %","334,40 €","352,38 %","458,54 %",380,"352,38 %","458,82 %",,"-100,00 %","-100,00 %"
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"470,08 €","194,72 %","-65,63 %","263,29 €","222,86 %","-62,71 %",113,"222,86 %","-62,71 %",4,,"-55,56 %"
B0043W42ZU,"Xavax Mousseur à lait ""Milchicopter"" (Batteur à lait en acier, moteur très puissant à 14 000 tours/minute, spirale spéciale, nettoyage facile, mousseur à lait, balai Matcha) Noir",xavax,"453,10 €","89,82 %","21,39 %","214,20 €","96,88 %","13,63 %",63,"96,88 %","26,00 %",1,,"0,00 %"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"449,19 €","18,95 %","-81,21 %","260,00 €","25,00 %","-85,71 %",5,"25,00 %","-85,71 %",,,"-100,00 %"
