Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/04/2024 - 30/04/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00006JDEX,"Hama Plateau Universel Hama Rond (32 cm, Taille L, Poids supporté 80 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 532,34 €","-32,16 %","-6,14 %",85,"-46,54 %","-15,00 %","1 606,24 €","-27,71 %","2,49 %","984,22 €","-48,45 %","-9,35 %",89,"-43,31 %","-7,29 %",1,"-92,31 %","-50,00 %"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"1 507,94 €","-47,95 %","-50,57 %",21,"-50,00 %","-51,16 %","2 069,99 €","-24,35 %","-30,10 %","1 508,00 €","-27,50 %","-39,48 %",29,"-27,50 %","-30,95 %",3,"0,00 %","200,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"1 422,73 €","-10,35 %","85,30 %",132,"-15,38 %","131,58 %","1 487,61 €","-2,44 %","94,26 %","886,20 €","-6,23 %","153,19 %",139,"-7,33 %","143,86 %",,"-100,00 %",
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 354,40 €","-45,39 %","-31,22 %",56,"-45,63 %","-33,33 %","1 522,37 €","-34,82 %","-18,83 %","959,81 €","-37,65 %","-22,78 %",63,"-35,05 %","-21,25 %",9,"50,00 %",
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"1 291,15 €","-58,40 %","6,35 %",82,"-58,38 %","10,81 %","1 430,54 €","-54,13 %","11,69 %","746,32 €","-57,12 %","18,81 %",90,"-54,77 %","15,38 %",3,"-83,33 %","-25,00 %"
B00006IVA9,"Hama CD de nettoyage (pour tête de lecture laser, pour éliminer la poussière dans les lecteurs de CD, CD de nettoyage au laser) Blanc/Bleu/Rouge",Hama,"1 208,79 €","35,36 %","57,16 %",121,"51,25 %","32,97 %","1 208,79 €","34,81 %","65,94 %","638,58 €","51,28 %","112,66 %",121,"51,25 %","40,70 %",1,"-90,91 %",
B00UV84E4O,"Hama Album photo vierge ""Anzio"" (album photo traditionnel format 22,8 cm x 22,3 cm, pour 200 photos 10 cm x 15 cm, 100 pages, instax, minimax, idéal pour un mariage) Beige/Noir",Hama,"1 190,75 €","-39,57 %","149,08 %",105,"-37,87 %","156,10 %","1 214,07 €","-36,12 %","160,31 %","682,70 €","-34,36 %","268,31 %",107,"-34,36 %","167,50 %",1,"-75,00 %","-66,67 %"
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"1 180,48 €","-11,19 %","165,18 %",952,"-11,19 %","165,18 %","1 185,44 €","-9,30 %","173,93 %","841,28 €","-9,30 %","178,94 %",956,"-9,30 %","173,93 %",20,,
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"1 172,07 €","152,32 %","-0,05 %",207,"370,45 %","-11,91 %","1 104,90 €","138,05 %","4,94 %","618,47 €","360,86 %","-2,85 %",201,"356,82 %","-4,74 %",6,,
B01MS2OU9J,"Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir",Hama,"1 167,66 €","85,71 %",,234,"85,71 %",,"1 142,71 €","90,83 %",,"815,24 €","90,83 %",,229,"90,83 %",,1,,
