Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/10/2024 - 31/10/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"6 442,81 €","77,46 %","28,54 %",211,"77,31 %","23,39 %","6 473,39 €","82,92 %","32,94 %","4 343,88 €","82,76 %","30,68 %",212,"82,76 %","27,71 %",26,"44,44 %","36,84 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"4 251,68 €","20,73 %","231,94 %",317,"21,92 %","286,59 %","4 344,92 €","26,74 %","223,44 %","2 323,08 €","28,06 %","272,41 %",324,"28,06 %","272,41 %",11,"266,67 %","450,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"4 170,51 €","3,31 %","-14,09 %",558,"21,30 %","5,48 %","4 275,37 €","4,74 %","-10,51 %","2 146,00 €","25,09 %","-15,76 %",572,"25,16 %","10,00 %",7,"16,67 %","-68,18 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"3 693,86 €","-0,80 %","25,34 %",224,"-1,75 %","23,08 %","3 857,55 €","-3,32 %","50,87 %","2 460,73 €","-4,50 %","47,36 %",234,"-4,10 %","48,10 %",1,"-66,67 %","0,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"3 324,00 €","20,85 %","-35,56 %",219,"19,67 %","-38,66 %","3 280,71 €","19,93 %","-34,52 %","2 392,90 €","18,44 %","-37,67 %",216,"18,68 %","-37,75 %",10,"11,11 %","-62,96 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"3 113,96 €","-12,25 %","-31,03 %",185,"-13,15 %","-31,73 %","3 247,24 €","-5,38 %","-24,16 %","1 999,48 €","-6,31 %","-24,84 %",193,"-6,31 %","-24,90 %",8,"33,33 %","33,33 %"
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"2 656,50 €","-8,94 %","504,08 %",846,"-7,94 %","540,91 %","2 775,03 €","-2,69 %","549,46 %","2 698,51 €","-0,70 %","604,41 %",888,"-0,56 %","588,37 %",27,"80,00 %","800,00 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"2 038,40 €","5,15 %","-5,10 %",245,"5,15 %","13,95 %","2 113,28 €","9,96 %","-1,61 %","2 054,86 €","9,96 %","-5,28 %",254,"9,96 %","18,14 %",6,"-40,00 %","-40,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 966,56 €","-2,20 %","197,31 %",10,"0,00 %","233,33 %","2 165,73 €","19,54 %","395,28 %","2 217,60 €","23,85 %","386,32 %",11,"22,22 %","450,00 %",4,"100,00 %",
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"1 868,88 €","-0,96 %","84,94 %",330,"-18,72 %","184,48 %","1 534,55 €","-22,30 %","51,63 %","839,58 €","-35,04 %","135,64 %",277,"-34,98 %","136,75 %",3,"50,00 %","200,00 %"
