Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/05/2024 - 31/05/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"3 732,48 €","1,89 %",,"4 491,52 €","3,23 %",,64,"3,23 %",,11,"120,00 %",
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"2 742,06 €","58,26 %","106,43 %","1 575,08 €","61,34 %","172,74 %",676,"61,34 %","145,82 %",5,"66,67 %","25,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"1 943,79 €","103,61 %","-12,70 %","681,90 €","97,82 %","-45,31 %",160,"97,53 %","-41,61 %",3,,"-50,00 %"
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"1 552,48 €","30,96 %","196,68 %","1 101,76 €","30,96 %","200,04 %",1 252,"30,96 %","196,68 %",30,"50,00 %","200,00 %"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"1 457,50 €","175,00 %",,"1 038,51 €","175,00 %",,11,"175,00 %",,,,
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 438,56 €","-4,31 %","41,82 %","774,36 €","-3,57 %","83,48 %",108,"-3,57 %","83,05 %",3,"0,00 %","50,00 %"
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"1 202,25 €","459,26 %","167,29 %","808,08 €","460,00 %","180,00 %",56,"460,00 %","180,00 %",1,"0,00 %","0,00 %"
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"1 189,76 €","-38,10 %","28 500,00 %","849,42 €","-38,10 %","30 345,16 %",286,"-38,10 %","28 500,00 %",4,"300,00 %",
B0026MT4CK,"Xavax Tuyau d'Arrivée d'Eau Froide 2.5m (Tuyau Universel pour Lave Vaisselle, Lave-Linge, Connexion 3/4""(1,91 cm) Droit/Coudé Angle 90°) Gris",xavax,"1 118,70 €","-29,44 %","-71,13 %","476,55 €","-27,12 %","-78,56 %",84,"-26,96 %","-79,26 %",10,"100,00 %","-47,37 %"
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"1 060,60 €","99,71 %","13,25 %","654,90 €","109,23 %","34,55 %",107,"114,00 %","37,18 %",1,"0,00 %","-66,67 %"
B00006J4DM,"Hama Adaptateur d'antenne (DIN mâle - ISO Femelle) Argent",Hama,"1 004,40 €","275,25 %","48 421,74 %","668,45 €","176,31 %","28 224,15 %",379,"250,93 %","37 800,00 %",4,,
B01MS2OU9J,"Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir",Hama,"868,26 €","-12,12 %","1 833,33 %","619,44 €","-12,12 %","2 004,79 %",174,"-12,12 %","1 833,33 %",3,"200,00 %",
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"861,20 €","-53,67 %",,"572,00 €","-57,69 %",,11,"-57,69 %",,,"-100,00 %",
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"849,28 €","1,95 %",,"854,00 €","-6,36 %",,4,"0,00 %",,1,"0,00 %",
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"799,34 €","-24,33 %","145,74 %","434,52 €","-32,67 %","192,43 %",68,"-32,67 %","183,33 %",,,
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"793,66 €","-15,66 %",,"507,84 €","-12,28 %",,32,"-17,95 %",,1,"-85,71 %","-75,00 %"
B07T4DM8JJ,"Hama Album photos enfant mémo ""Forest"" (livre photo 100 pages à pochettes, 200 photos 10x15 cm, album souvenirs 22,5 x 22 cm, Emplacement CD, Album Motif Renards) Marron/Beige/Vert/Orange/Blanc",Hama,"787,76 €","316,03 %","264,32 %","527,06 €","367,33 %","324,50 %",86,"377,78 %","352,63 %",1,,"0,00 %"
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"786,84 €","107,89 %","92,68 %","547,47 €","107,89 %","92,79 %",237,"107,89 %","92,68 %",5,"66,67 %",
B07MPQTNXF,"Xavax Sangle d’arrimage de sécurité avec cliquet pour sèche-linge, Blanc/Gris",xavax,"755,99 €","-16,69 %","6,50 %","495,21 €","-5,10 %","21,35 %",74,"-5,13 %","21,31 %",3,,"50,00 %"
B0000AHICV,"Hama Boîtier CD/DVD Slim (lot de 10 boitiers standards vierges pour CD/DVD et disques Blu-ray, ultra plat) Noir/Transparent",Hama,"744,91 €","918,75 %","107,12 %","546,05 €","918,75 %","262,20 %",163,"918,75 %","262,22 %",,,"-100,00 %"
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"711,36 €","38,66 %","281,30 %","544,36 €","40,91 %","295,21 %",62,"40,91 %","287,50 %",1,,
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"697,02 €","13,57 %",,"346,50 €","12,64 %",,41,"10,81 %",,2,"-33,33 %",
B0015IOV8S,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 40 cm avec bordure de 13 mm x 17 mm, pour une photo de 28 x 28 cm) Noir",Hama,"686,90 €","61,70 %",,"474,24 €","60,00 %",,48,"60,00 %",,1,,
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"657,16 €","0,89 %","-8,42 %","242,40 €","-30,43 %","-43,93 %",80,"-30,43 %","-44,44 %",1,"-80,00 %","-50,00 %"
B0026MT4CA,"Xavax Rallonge de tuyau d'arrivée d'eau froide (pour tuyau de lavage et lave-vaisselle, tuyau d'arrivée d'eau froide, 2,5 m, 1 pièce) Gris/Blanc",xavax,"652,35 €","-28,39 %","-13,53 %","415,90 €","-27,35 %","5,20 %",70,"-27,84 %","1,45 %",3,"200,00 %","-50,00 %"
B0043W42ZU,"Xavax Mousseur à lait ""Milchicopter"" (Batteur à lait en acier, moteur très puissant à 14 000 tours/minute, spirale spéciale, nettoyage facile, mousseur à lait, balai Matcha) Noir",xavax,"646,21 €","-21,67 %","-94,34 %","486,89 €","-1,41 %","-91,99 %",129,"-1,53 %","-91,55 %",1,,"-91,67 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"639,36 €","-42,34 %",,"645,76 €","-42,23 %",,64,"-42,34 %",,,"-100,00 %",
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"615,30 €","-21,63 %","173,08 %","450,78 €","-13,97 %","207,24 %",43,"-14,00 %","207,14 %",1,"0,00 %","0,00 %"
B06X9NRXV9,"Hama Album photo vierge ""Lazise"" (album photo traditionnel 29 cm x 32 cm, 50 pages blanches, pour 250 photos 10 cm x 15 cm, format maximum 28 cm x 31 cm) Doré/Blanc",Hama,"596,88 €","-18,82 %",,"335,16 €","-30,77 %",,36,"-30,77 %",,2,"0,00 %",
B0000AISCX,"Hama Cadre Photo Clip-Fixe (sans Bordure, 30 X 45 Cm, Anti-Reflex) Blanc",Hama,"582,40 €",,"1 308,81 %","312,20 €",,"1 650,00 %",70,,"1 650,00 %",11,,
B078T54CLX,"Hama Souris Optique à 3 Boutons MC-200, Filaire, Noire",Hama,"581,71 €","58,47 %","-80,56 %","444,50 €","89,55 %","-73,48 %",127,"89,55 %","-75,58 %",1,"-88,89 %","0,00 %"
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"575,36 €","69,46 %",,"232,94 €","68,90 %",,108,"74,19 %",,1,"0,00 %",
B07PSPRGMT,"THOMSON Casque TV HQ HED4508 (câble Extra Long de 8 m, Casque stéréo pour TV, réglage du Volume séparé, Embout Filaire, Prise 3,5 mm avec Adaptateur de 6,35 mm) Noir",Thomson,"565,75 €","35,67 %",,"567,53 €","35,71 %",,19,"35,71 %",,,,
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"553,70 €","-85,54 %","91,10 %","291,90 €","-85,54 %","170,25 %",70,"-85,54 %","169,23 %",18,"-30,77 %","350,00 %"
B0000AI2JY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 50 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 40 cm) Noir",Hama,"549,60 €","-3,23 %",,"324,90 €","-3,23 %",,30,"-3,23 %",,2,"-80,00 %",
B08VW3DC4C,"Hama Album photo mémo ""Ayleen II"" (Album photo, 22x22.5 cm, 200 pochettes pour photos 10x15 cm, Zone Mémo, pochette carte SD, idéal photos souvenirs de vacances, anniversaire, bébé) Multicolore",Hama,"544,28 €","297,14 %",,"336,89 €","391,67 %",,59,"391,67 %",,,,
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"538,03 €","31,20 %",,"393,11 €","26,67 %",,19,"26,67 %",,2,,"100,00 %"
B09RC7QDPM,"Hama Album photo ""Skies II"" (Album Elégant et Intemporel, Idéal mariage, anniversaire, baptême, 22,5 x 22 cm, 100 pages avec pochettes pour 200 photos 10x15 cm, Zone Mémo et pochette carte SD) Gris",Hama,"531,92 €","164,61 %",,"418,90 €","156,52 %",,59,"156,52 %",,,,
B0002W5WE0,"Hama Boîtier Slim Double (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"519,48 €","64,27 %","70,24 %","429,01 €","94,12 %","134,56 %",39,"95,00 %","116,67 %",,,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"503,22 €","-39,40 %",,"300,90 €","-47,37 %",,30,"-47,37 %",,3,"200,00 %",
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"498,66 €","33,54 %","94,17 %","302,32 €","34,86 %","168,13 %",65,"35,42 %","150,00 %",1,,
B07TYWBSZN,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, animaux, élégant) Marron/Beige/Vert/Orange/Jaune",Hama,"484,08 €","9,98 %",,"240,17 €","-10,70 %",,28,"-9,68 %",,2,"100,00 %",
B07RHGG3S7,"Hama Horloge murale radio-pilotée ""Extra"" (avec indicateur de date et température) Blanc et Argenté",Hama,"456,16 €","-61,92 %",,"358,56 €","-62,50 %",,12,"-62,50 %",,2,"100,00 %",
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"448,67 €","31,10 %",,"197,50 €","11,11 %",,50,"11,11 %",,6,"500,00 %",
