Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/02/2025 - 28/02/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"13 481,72 €","-4,59 %","32,26 %",541,"-4,59 %","55,91 %","13 307,28 €","-7,29 %","30,54 %","10 941,66 €","-7,13 %","53,89 %",534,"-7,29 %","53,89 %",94,"88,00 %","327,27 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"4 002,77 €","-20,13 %","237,04 %",289,"-19,27 %","307,04 %","3 881,25 €","-25,06 %","239,10 %","2 000,43 €","-24,80 %","304,35 %",279,"-24,80 %","304,35 %",15,"114,29 %","200,00 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"3 048,78 €","-9,41 %","-41,00 %",183,"-9,41 %","-39,00 %","3 082,10 €","-8,87 %","-40,32 %","1 916,60 €","-8,87 %","-38,49 %",185,"-8,87 %","-38,54 %",4,"100,00 %","-89,19 %"
B00006JAQ7,"Hama 007103 - Ruban photo transparent, Blanc, 1000 pièces (2 paquets de 500 pièces)",Hama,"2 365,92 €","206,59 %","2 998,38 %",675,"347,02 %","2 834,78 %","2 282,96 €","198,11 %","2 650,55 %","1 843,40 €","324,97 %","2 024,96 %",647,"331,33 %","2 488,00 %",1,,"0,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"2 190,87 €","37,50 %","2,54 %",11,"37,50 %","10,00 %","2 190,87 €","37,50 %","13,62 %","2 209,52 €","37,61 %","7,38 %",11,"37,50 %","22,22 %",2,"100,00 %",
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"1 871,72 €","496,05 %","61,00 %",373,"617,31 %","113,14 %","1 807,52 €","505,78 %","56,04 %","1 319,43 €","646,12 %","87,66 %",359,"618,00 %","101,69 %",6,"500,00 %",
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"1 768,23 €","156,52 %","-26,25 %",177,"160,29 %","-26,25 %","1 788,21 €","188,71 %","-25,73 %","1 448,11 €","193,44 %","-40,45 %",179,"193,44 %","-25,73 %",,"-100,00 %","-100,00 %"
B00005YVIU,"Hama Distributeurs Coins photo (1000 coins, autocollants, distributeur pratique, sans acide, sans solvant, adapté albums, permet un archivage fiable, scrapbooking) Transparent",Hama,"1 728,57 €","378,88 %","1 942,99 %",510,"684,62 %","3 823,08 %","1 655,53 €","330,93 %","1 856,66 %","1 416,30 €","597,86 %","3 039,66 %",488,"607,25 %","3 653,85 %",,"-100,00 %",
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"1 660,81 €","-54,81 %","-66,27 %",91,"-62,55 %","-72,92 %","1 626,81 €","-56,54 %","-67,39 %","980,35 €","-64,11 %","-72,58 %",89,"-64,11 %","-73,90 %",17,"-22,73 %","6,25 %"
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"1 647,36 €","184,93 %",,208,"184,93 %",,"1 639,44 €","179,73 %",,"1 883,70 €","179,73 %",,207,"179,73 %",,,,
