Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/09/2024 - 30/09/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"4 036,70 €","23,81 %","11,09 %",460,"52,32 %","19,48 %","4 081,73 €","35,81 %","9,62 %","1 715,53 €","64,55 %","-11,20 %",457,"64,98 %","15,99 %",6,"-25,00 %","-70,00 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"3 723,52 €","33,26 %","8,45 %",228,"32,56 %","15,15 %","3 990,08 €","70,20 %","43,15 %","2 576,65 €","68,50 %","54,96 %",244,"68,28 %","53,46 %",3,"50,00 %",
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"3 630,64 €","7,03 %","-20,70 %",119,"7,21 %","-24,20 %","3 538,90 €","4,35 %","-23,67 %","2 376,84 €","4,50 %","-24,41 %",116,"4,50 %","-27,04 %",18,"63,64 %","-14,29 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"3 548,58 €","88,14 %","-30,16 %",213,"88,50 %","-30,16 %","3 431,96 €","90,37 %","-26,95 %","2 134,16 €","90,74 %","-26,90 %",206,"90,74 %","-26,95 %",6,"500,00 %","200,00 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"3 521,55 €","104,54 %","1 061,08 %",260,"114,88 %","1 200,00 %","3 428,31 €","96,46 %","1 434,74 %","1 814,01 €","107,38 %","1 707,14 %",253,"107,38 %","1 707,14 %",3,"0,00 %","200,00 %"
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"2 917,21 €","129,27 %","858,66 %",919,"135,04 %","809,90 %","2 851,80 €","128,15 %","873,24 %","2 717,47 €","132,34 %","817,66 %",893,"131,95 %","811,22 %",15,"114,29 %","650,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"2 750,49 €","1,10 %","-59,81 %",183,"1,10 %","-62,96 %","2 735,46 €","0,55 %","-56,10 %","2 020,41 €","0,74 %","-58,96 %",182,"0,55 %","-59,38 %",9,"-10,00 %","-72,73 %"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"2 120,00 €","220,00 %","98,90 %",16,"220,00 %","100,00 %","2 252,50 €","325,00 %","141,52 %","1 604,97 €","325,00 %","142,86 %",17,"325,00 %","142,86 %",,"-100,00 %",
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"2 072,63 €","39,35 %","-18,40 %",94,"23,68 %","-40,51 %","1 932,70 €","28,22 %","-25,69 %","871,45 €","14,21 %","-45,99 %",87,"12,99 %","-45,96 %",2,,"-50,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"2 010,90 €","60,93 %","84,32 %",10,"66,67 %","100,00 %","1 811,73 €","44,99 %","66,07 %","1 790,51 €","49,68 %","57,06 %",9,"50,00 %","80,00 %",2,,
