Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/07/2024 - 31/07/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"4 490,64 €","-2,53 %","222,72 %","5 403,86 €","-2,53 %","250,00 %",77,"-2,53 %","250,00 %",16,"45,45 %","128,57 %"
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"3 124,16 €","220,94 %","564,60 %","2 230,47 €","220,94 %","564,60 %",751,"220,94 %","564,60 %",2,,
B01DF1YLXM,"Hama Ventilateur de table USB (Mini Ventilateur de bureau 10 cm (4""), Bouton ON/OFF, inclinable, idéal aussi pour Chambre, Voiture, Camping) Noir",Hama,"2 791,88 €","328,93 %","126,55 %","2 310,76 €","441,02 %","223,63 %",358,"426,47 %","219,64 %",6,,"-53,85 %"
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"1 547,06 €","-47,87 %","-8,53 %","675,70 €","-61,79 %","-21,83 %",290,"-61,79 %","-21,83 %",7,"0,00 %","-53,33 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"1 438,56 €","7 100,00 %","11,63 %","1 164,96 €","7 100,00 %","-10,50 %",144,"7 100,00 %","11,63 %",1,,
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 252,62 €","95,28 %",,"1 194,00 €","100,00 %",,6,"100,00 %",,,,
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"1 225,56 €","126,59 %","147,29 %","901,28 €","132,42 %","145,71 %",86,"132,43 %","145,71 %",,,"-100,00 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 130,29 €","-42,27 %","13,55 %","530,58 €","-49,66 %","13,85 %",74,"-49,66 %","13,85 %",3,,"50,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 121,13 €","-15,10 %","16,11 %","534,15 €","-35,57 %","-15,86 %",45,"-16,67 %","12,50 %",1,"-75,00 %","0,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"1 080,88 €","26,70 %","83,64 %","754,02 €","22,92 %","175,48 %",118,"22,92 %","174,42 %",,"-100,00 %",
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"927,50 €","40,00 %","-36,72 %","660,87 €","40,00 %","-36,36 %",7,"40,00 %","-36,36 %",,,
B0015IOV8S,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 40 cm avec bordure de 13 mm x 17 mm, pour une photo de 28 x 28 cm) Noir",Hama,"920,40 €","80,56 %",,"642,20 €","80,56 %",,65,"80,56 %",,1,"-75,00 %",
