Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/02/2025 - 28/02/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"1 787,56 €","821,71 %","216,14 %","1 307,75 €","928,11 %","276,22 %",355,"975,76 %","303,41 %",,"-100,00 %",
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"1 639,44 €","179,73 %",,"1 883,70 €","179,73 %",,207,"179,73 %",,,,
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 223,32 €","240,00 %","95,39 %","652,47 €","279,17 %","133,33 %",91,"279,17 %","133,33 %",1,"-75,00 %","0,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 119,61 €","-55,08 %","-15,46 %","522,28 €","-55,10 %","-40,16 %",44,"-55,10 %","-20,00 %",5,"66,67 %","66,67 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"995,85 €","25,00 %","-5,85 %","995,00 €","25,00 %","-12,72 %",5,"25,00 %","0,00 %",,"-100,00 %",
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"988,33 €","-55,22 %","2 108,07 %","599,40 €","-63,01 %","1 700,00 %",54,"-63,01 %","1 700,00 %",7,"-12,50 %","16,67 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"779,22 €","310,53 %","-63,72 %","631,02 €","310,53 %","-70,91 %",78,"310,53 %","-63,72 %",,,"-100,00 %"
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"715,10 €","16,37 %","-43,00 %","476,19 €","10,00 %","-45,00 %",33,"10,00 %","-45,00 %",,,"-100,00 %"
B00G3BMWQA,"Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent",xavax,"696,59 €","257,70 %","9 200,27 %","416,42 €","261,54 %","9 300,00 %",94,"261,54 %","9 300,00 %",1,,
B000N8UX88,"Hama Trépied Appareil Photo Star 20""",Hama,"684,81 €","29,93 %","666,95 %","411,74 €","23,96 %","981,82 %",119,"23,96 %","981,82 %",1,,
