Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/03/2024 - 31/03/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"6 422,92 €","130,38 %","229,96 %","3 386,04 €","135,36 %","455,09 %",812,"135,36 %","417,20 %",28,"366,67 %","100,00 %"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"2 391,20 €","-30,43 %",,"1 820,00 €","-32,69 %",,35,"-32,69 %",,3,"50,00 %",
B0026MT4CK,"Xavax Tuyau d'Arrivée d'Eau Froide 2.5m (Tuyau Universel pour Lave Vaisselle, Lave-Linge, Connexion 3/4""(1,91 cm) Droit/Coudé Angle 90°) Gris",xavax,"1 886,44 €","-27,65 %","-65,15 %","768,15 €","-39,17 %","-75,82 %",135,"-39,19 %","-76,15 %",27,"200,00 %","-3,57 %"
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"1 884,64 €","7,11 %","144,57 %","1 058,58 €","1,71 %","144,43 %",121,"2,54 %","124,07 %",12,"300,00 %","140,00 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"1 858,14 €","-13,49 %",,"1 876,74 €","-13,49 %",,186,"-13,49 %",,11,"1 000,00 %",
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"1 755,52 €","-26,35 %",,"1 282,88 €","-26,35 %",,422,"-26,35 %",,14,"250,00 %",
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"1 422,72 €","-8,06 %","8 450,00 %","1 015,37 €","-8,10 %","9 063,99 %",342,"-8,06 %","8 450,00 %",4,"0,00 %",
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"1 367,62 €","5,63 %","1 089,23 %","705,99 €","21,20 %","1 877,56 %",303,"21,20 %","1 682,35 %",9,"350,00 %","-40,00 %"
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"1 360,57 €","44,09 %","253,68 %","922,76 €","80,39 %","348,84 %",92,"80,39 %","338,10 %",12,"1 100,00 %","500,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 348,48 €","1,82 %","35,79 %","888,72 €","1,82 %","40,69 %",56,"1,82 %","33,33 %",6,"100,00 %","500,00 %"
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"1 306,96 €","86,55 %","144,55 %","927,52 €","86,55 %","153,60 %",1 054,"86,55 %","144,55 %",,,"-100,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"1 259,54 €","92,91 %","-5,48 %","792,36 €","158,33 %","13,18 %",124,"158,33 %","6,90 %",6,,"200,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 249,50 €","18,13 %",,"1 368,00 €","20,00 %",,6,"20,00 %",,,,
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"1 212,90 €","22,58 %","434,69 %","723,12 €","25,36 %","314,73 %",69,"25,45 %","305,88 %",5,"66,67 %",
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"1 178,89 €","-11,51 %","-24,63 %","803,00 €","-4,88 %","-1,76 %",120,"-4,76 %","-9,77 %",2,"100,00 %","-60,00 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 106,68 €","76,76 %","-11,44 %","458,88 €","64,10 %","-14,11 %",64,"64,10 %","-16,88 %",,"-100,00 %","-100,00 %"
B0015K9MTY,"Xavax Filtre à fibres longues pour hottes aspirantes (2 filtres universels pour extraction par extraction, sur mesure, 57 x 47 cm) Blanc",xavax,"974,42 €","-20,12 %","-33,86 %","396,09 €","-10,94 %","-30,43 %",113,"-9,60 %","-34,30 %",,"-100,00 %","-100,00 %"
B0026MT4CA,"Xavax Rallonge de tuyau d'arrivée d'eau froide (pour tuyau de lavage et lave-vaisselle, tuyau d'arrivée d'eau froide, 2,5 m, 1 pièce) Gris/Blanc",xavax,"952,67 €","29,22 %","-7,21 %","594,83 €","28,43 %","2,72 %",100,"29,87 %","-2,91 %",6,"500,00 %","-14,29 %"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"927,50 €","40,00 %","-41,99 %","660,87 €","40,00 %","-35,25 %",7,"40,00 %","-41,67 %",,,
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"877,04 €","9,96 %","-61,81 %","682,77 €","3,12 %","-57,90 %",33,"3,13 %","-62,07 %",7,"250,00 %","250,00 %"
B07RHGG3S7,"Hama Horloge murale radio-pilotée ""Extra"" (avec indicateur de date et température) Blanc et Argenté",Hama,"865,43 €","22,30 %",,"717,12 €","20,00 %",,24,"20,00 %",,,,
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"822,95 €",,"-58,87 %","912,34 €",,"-56,28 %",13,,"-60,61 %",,"-100,00 %","-100,00 %"
