Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/01/2024 - 31/01/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"11 471,66 €","-21,94 %","-22,22 %",392,"-22,22 %","-31,23 %","11 909,06 €","-15,79 %","-19,63 %","8 339,43 €","-15,63 %","-24,11 %",407,"-16,08 %","-28,85 %",73,"73,81 %","121,21 %"
B0000AI2SY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Noir",Hama,"7 671,08 €","-14,57 %","2 527,08 %",480,"-12,89 %","2 900,00 %","7 786,61 €","-9,68 %","2 744,42 %","4 541,75 €","-6,48 %","3 530,50 %",491,"-6,48 %","3 173,33 %",49,"172,22 %","122,73 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"5 731,04 €","-14,04 %","93,26 %",344,"-14,00 %","93,26 %","6 080,90 €","3,93 %","105,06 %","3 778,07 €","5,36 %","127,49 %",365,"3,99 %","105,06 %",10,"-9,09 %","100,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"5 612,43 €","-8,10 %","18,36 %",403,"-7,36 %","13,20 %","5 777,59 €","-2,13 %","18,51 %","4 381,09 €","-2,27 %","22,60 %",415,"-1,19 %","13,39 %",5,"-44,44 %","-73,68 %"
B0BL1SS1WK,"Hama MW-300 V2 Souris sans Fil - Technologie 2.4Ghz, Capteur 1600 dpi, Clics Silencieux, Ambidextre - Noire",Hama,"5 017,30 €","379,34 %",,766,"384,81 %",,"5 174,50 €","518,15 %",,"6 223,48 €","526,80 %",,790,"526,98 %",,5,"400,00 %",
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"4 211,64 €","-9,95 %","14,09 %",434,"-11,25 %","14,51 %","4 329,44 €","-4,27 %","16,81 %","2 246,97 €","-1,13 %","39,23 %",457,"-1,08 %","20,90 %",4,"-63,64 %","-69,23 %"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"3 926,88 €","111,13 %","221,91 %",59,"118,52 %","247,06 %","3 872,71 €","124,79 %","235,69 %","3 016,00 €","132,00 %","230,16 %",58,"132,00 %","262,50 %",3,"200,00 %",
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"3 575,64 €","25,96 %",,1 436,"25,96 %",,"3 642,87 €","36,47 %",,"3 321,01 €","36,47 %",,1 463,"36,47 %",,14,"133,33 %",
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"3 520,76 €","150,87 %","24,61 %",260,"147,62 %","31,31 %","3 414,20 €","129,80 %","28,33 %","2 222,64 €","127,03 %","49,05 %",252,"127,03 %","35,48 %",6,"0,00 %","100,00 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"3 114,24 €","-46,26 %","106,00 %",234,"-43,75 %","188,89 %","3 287,40 €","-42,66 %","120,18 %","1 770,99 €","-39,90 %","258,34 %",247,"-39,90 %","208,75 %",10,"100,00 %","400,00 %"
