Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/03/2024 - 31/03/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"8 883,65 €","-12,85 %","-12,44 %",315,"-9,22 %","-20,05 %","8 517,77 €","-16,44 %","-17,71 %","6 208,47 €","-12,68 %","-22,17 %",303,"-12,68 %","-24,63 %",44,"100,00 %","-21,43 %"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"6 952,89 €","99,98 %","233,79 %",879,"105,37 %","423,21 %","6 707,68 €","99,74 %","244,58 %","3 536,16 €","105,33 %","479,70 %",848,"105,33 %","440,13 %",31,"342,86 %","121,43 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"5 168,65 €","4,98 %","26,82 %",348,"3,57 %","32,82 %","5 064,21 €","1,51 %","24,29 %","3 741,80 €","4,65 %","38,25 %",341,"0,00 %","30,15 %",45,"181,25 %","150,00 %"
B0000AI2SY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Noir",Hama,"4 068,93 €","16,69 %","596,73 %",250,"30,21 %","681,25 %","4 026,05 €","4,80 %","611,63 %","2 284,75 €","15,96 %","783,71 %",247,"15,96 %","696,77 %",17,"-39,29 %","750,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"3 690,87 €","-5,15 %","-31,94 %",296,"-18,90 %","-55,42 %","3 685,31 €","-6,58 %","-32,83 %","1 456,32 €","-19,78 %","-54,53 %",296,"-19,78 %","-55,89 %",8,"60,00 %","33,33 %"
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"3 103,71 €","-17,90 %","24,03 %",197,"-21,83 %","13,22 %","3 118,68 €","-16,16 %","26,81 %","1 740,56 €","-20,74 %","23,16 %",199,"-20,08 %","15,70 %",18,"500,00 %","200,00 %"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"2 897,32 €","-33,68 %","78,37 %",42,"-36,36 %","82,61 %","2 736,13 €","-35,27 %","93,17 %","2 080,00 €","-37,64 %","71,31 %",40,"-37,50 %","100,00 %",3,"-25,00 %","200,00 %"
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 687,41 €","23,28 %","60,98 %",100,"19,05 %","81,82 %","2 631,67 €","15,41 %","71,80 %","1 742,91 €","10,59 %","115,23 %",98,"11,36 %","96,00 %",7,,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"2 559,58 €","57,23 %","12,68 %",174,"93,33 %","35,94 %","2 653,54 €","78,65 %","15,43 %","1 805,40 €","125,00 %","42,80 %",180,"125,00 %","39,53 %",17,"1 600,00 %","142,86 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"2 480,24 €","21,18 %","5,90 %",103,"21,18 %","4,04 %","2 335,76 €","12,79 %","-4,98 %","1 539,39 €","12,79 %","-4,56 %",97,"12,79 %","-6,73 %",6,"100,00 %","500,00 %"
