Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/07/2024 - 31/07/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"5 190,48 €","2,30 %","290,78 %",89,"2,30 %","323,81 %","4 490,64 €","-2,53 %","222,72 %","5 403,86 €","-2,53 %","250,00 %",77,"-2,53 %","250,00 %",16,"45,45 %","128,57 %"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"4 432,97 €","28,53 %","2,85 %",146,"15,87 %","-0,68 %","4 460,22 €","35,13 %","4,91 %","3 012,03 €","21,49 %","2,70 %",147,"21,49 %","1,38 %",20,"100,00 %","566,67 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"3 992,23 €","155,45 %","100,05 %",160,"150,00 %","92,77 %","4 016,38 €","156,85 %","103,84 %","2 171,07 €","119,82 %","66,84 %",161,"151,56 %","96,34 %",1,"-80,00 %","-50,00 %"
B01DF1YLXM,"Hama Ventilateur de table USB (Mini Ventilateur de bureau 10 cm (4""), Bouton ON/OFF, inclinable, idéal aussi pour Chambre, Voiture, Camping) Noir",Hama,"3 780,95 €","211,39 %","22,03 %",489,"279,07 %","72,79 %","2 943,07 €","142,99 %","21,70 %","2 430,74 €","194,70 %","77,93 %",377,"192,25 %","72,15 %",6,,"-57,14 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"2 801,21 €","14,08 %","-38,26 %",179,"28,78 %","-43,17 %","2 824,39 €","17,41 %","-37,52 %","1 990,10 €","32,06 %","-42,53 %",180,"32,35 %","-42,68 %",15,"36,36 %","400,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"2 577,65 €","-49,08 %","-22,02 %",248,"-62,65 %","-30,73 %","2 697,06 €","-47,18 %","-17,50 %","967,68 €","-62,43 %","-44,31 %",257,"-61,87 %","-27,81 %",3,"-57,14 %","-80,00 %"
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"2 325,98 €","-2,06 %","118,28 %",152,"-8,43 %","153,33 %","2 449,19 €","9,04 %","125,04 %","1 610,19 €","2,25 %","162,87 %",161,"2,55 %","163,93 %",6,"500,00 %","500,00 %"
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 212,23 €","-9,67 %","143,32 %",89,"-9,18 %","187,10 %","2 112,27 €","-16,31 %","217,15 %","1 524,90 €","-15,71 %","320,66 %",85,"-15,84 %","304,76 %",3,"-25,00 %",
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"2 087,70 €","144,18 %",,10,"150,00 %",,"2 087,70 €","144,18 %",,"1 990,00 €","149,65 %",,10,"150,00 %",,,,"-100,00 %"
B01K47CMCM,"Hama Album photo vierge ""La Fleur"" (album photo traditionnel 22,5 cm x 22,5 cm, 100 pages, pour l'insertion de 200 photos au format 10 cm x 15 cm, motif de feuilles, pochette CD) Blanc",Hama,"1 913,76 €","8,27 %","1 598,40 %",261,"4,40 %","2 510,00 %","2 005,67 €","16,67 %","1 679,97 %","1 686,90 €","12,83 %","2 645,61 %",274,"12,76 %","2 640,00 %",1,"0,00 %",
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 897,57 €","-60,21 %","17,77 %",120,"-66,48 %","17,65 %","1 940,85 €","-59,97 %","19,17 %","889,08 €","-65,93 %","20,39 %",124,"-65,93 %","20,39 %",10,"150,00 %","400,00 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"1 858,14 €","1 760,00 %","19,23 %",186,"1 760,00 %","19,23 %","1 898,10 €","9 400,00 %","21,79 %","1 537,10 €","9 400,00 %","-2,24 %",190,"9 400,00 %","21,79 %",1,,"-50,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"1 566,36 €","38,70 %","75,30 %",171,"35,71 %","163,08 %","1 566,36 €","33,65 %","78,11 %","1 090,05 €","30,34 %","180,64 %",171,"30,53 %","167,19 %",,"-100,00 %",
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"1 544,87 €","22,99 %","49,45 %",108,"24,14 %","47,95 %","1 565,40 €","27,50 %","53,54 %","1 153,14 €","29,84 %","53,04 %",110,"29,41 %","52,78 %",2,"-50,00 %","100,00 %"
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"1 517,64 €","-49,06 %","-12,42 %",280,"-63,25 %","-26,51 %","1 547,06 €","-47,87 %","-8,53 %","675,70 €","-61,79 %","-21,83 %",290,"-61,79 %","-21,83 %",7,"0,00 %","-53,33 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"1 501,30 €","-16,41 %","-51,02 %",92,"-34,75 %","-48,02 %","1 544,62 €","-11,87 %","-40,70 %","993,43 €","-32,40 %","-36,30 %",94,"-32,37 %","-36,91 %",,,
B0BRL62B16,"Hama Multiprise Etanche 2 Prises 16A avec Interrupteur (Multiprise Extérieur Rallonge 2m, Bloc 2 Prises étanches IP44 avec Couvercle, Type F Schuko, 3680W, Idéal Jardin Garage Atelier Chantier) Noir",Hama,"1 457,19 €","60,88 %","9 111,06 %",95,"63,79 %","9 400,00 %","1 473,01 €","65,52 %","9 211,06 %","1 084,80 €","68,42 %","9 500,00 %",96,"68,42 %","9 500,00 %",,,
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"1 285,51 €","-13,33 %","-53,38 %",75,"-26,47 %","-63,77 %","1 250,83 €","-14,44 %","-55,49 %","594,96 €","-27,59 %","-68,04 %",73,"-27,72 %","-65,40 %",1,"-50,00 %",
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"1 273,22 €","29,23 %","1 494,32 %",396,"27,74 %","2 100,00 %","1 282,35 €","33,30 %","1 505,75 %","1 211,47 €","31,52 %","2 280,10 %",398,"31,35 %","2 111,11 %",5,"400,00 %",
B00006JDEX,"Hama Plateau Universel Hama Rond (32 cm, Taille L, Poids supporté 80 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 252,57 €","-21,66 %","18,89 %",63,"-27,59 %","3,28 %","1 253,37 €","-22,22 %","26,83 %","576,58 €","-28,00 %","-17,65 %",63,"-28,41 %","10,53 %",7,"600,00 %",
B006L9T90G,"Ventilateur USB avec LEDs de couleur",Hama,"1 146,38 €","-26,54 %","75,50 %",136,"-27,27 %","76,62 %","1 104,78 €","-24,79 %","73,52 %","747,20 €","-26,68 %","71,96 %",131,"-25,57 %","74,67 %",4,"0,00 %",
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"1 064,32 €","-39,04 %","-56,27 %",104,"-40,57 %","-50,94 %","1 109,27 €","-38,14 %","-49,94 %","640,80 €","-37,85 %","-48,21 %",109,"-39,44 %","-42,02 %",2,"-60,00 %","-66,67 %"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"1 060,00 €","14,29 %","-43,18 %",8,"14,29 %","-42,86 %","1 060,00 €","0,00 %","-43,18 %","755,28 €","0,00 %","-42,86 %",8,"0,00 %","-42,86 %",,,
