Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/02/2024 - 29/02/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"10 193,70 €","-11,14 %","-13,00 %",347,"-11,48 %","-23,74 %","10 193,70 €","-14,40 %","-11,24 %","7 110,03 €","-14,74 %","-19,57 %",347,"-14,74 %","-22,20 %",22,"-69,86 %","-67,65 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"5 167,32 €","-9,84 %","41,63 %",300,"-12,79 %","36,99 %","5 164,06 €","-15,08 %","45,52 %","3 116,06 €","-17,52 %","56,80 %",301,"-17,53 %","41,31 %",37,"270,00 %","825,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"4 923,64 €","-12,27 %","27,90 %",336,"-16,63 %","23,08 %","4 988,83 €","-13,65 %","37,00 %","3 575,48 €","-18,39 %","42,31 %",341,"-17,83 %","31,15 %",16,"220,00 %","-38,46 %"
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"4 368,60 €","11,25 %","165,49 %",66,"11,86 %","186,96 %","4 226,76 €","9,14 %","211,04 %","3 335,63 €","10,60 %","188,27 %",64,"10,34 %","236,84 %",4,"33,33 %","300,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"3 891,09 €","-7,61 %","-26,12 %",365,"-15,90 %","-42,70 %","3 944,88 €","-8,88 %","-25,31 %","1 815,49 €","-19,20 %","-34,27 %",369,"-19,26 %","-41,98 %",5,"25,00 %","-58,33 %"
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"3 780,42 €","7,38 %","120,77 %",252,"-3,08 %","110,00 %","3 720,00 €","8,96 %","108,55 %","2 196,13 €","-1,19 %","118,88 %",249,"-1,19 %","99,20 %",3,"-50,00 %","-62,50 %"
B0000AI2SY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Noir",Hama,"3 486,93 €","-54,54 %","961,47 %",192,"-60,00 %","966,67 %","3 841,81 €","-50,66 %","1 007,95 %","1 970,25 €","-56,62 %","1 143,37 %",213,"-56,62 %","1 021,05 %",28,"-42,86 %","833,33 %"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"3 476,80 €","309,09 %","101,22 %",428,"350,53 %","205,71 %","3 358,15 €","292,24 %","114,35 %","1 722,21 €","334,74 %","260,66 %",413,"334,74 %","225,20 %",7,"250,00 %","-12,50 %"
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"2 412,80 €","40,78 %","48 252,71 %",580,"40,78 %","57 900,00 %","2 383,68 €","35,15 %","47 669,14 %","1 741,92 €","35,14 %","139 253,60 %",573,"35,14 %","57 200,00 %",6,"200,00 %",
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"2 397,60 €","19,70 %","2,64 %",240,"22,45 %","3,00 %","2 407,59 €","23,91 %","2,63 %","2 431,69 €","26,62 %","33,56 %",241,"26,84 %","2,99 %",4,"-33,33 %","-66,67 %"
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"2 213,61 €","-38,09 %",,889,"-38,09 %",,"2 338,11 €","-35,82 %",,"2 131,53 €","-35,82 %",,939,"-35,82 %",,13,"-7,14 %",
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 179,95 €","-13,05 %","68,03 %",84,"-11,58 %","95,35 %","2 280,23 €","-6,44 %","83,85 %","1 575,97 €","-4,51 %","137,86 %",88,"-4,35 %","114,63 %",,"-100,00 %","-100,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"2 136,56 €","63,60 %",,10,"66,67 %",,"1 928,31 €","47,65 %",,"2 057,76 €","50,42 %",,9,"50,00 %",,,,
B08SDR49RS,"Hama Radio Internet Dab/Dab+/FM, Bluetooth RX+TX DIR3510SCBTX (Radio numérique avec Lecteur CD, Compatible Spotify Connect, UNDOK App Control pr Smartphone ou Tablette, Télécommande, Réveil) Noir",Hama,"2 134,30 €","115,58 %",,10,"115,15 %",,"2 134,30 €","-65,26 %",,"3 017,60 €","-65,52 %",,10,"-65,52 %",,1,,
B08GSRV3PB,"Hama Tête Thermostatique Connectée et Intelligente WiFi (pour Kit de Chauffage Connecté 00176592 Compatible Alexa Google Home, Robinet Intelligent pour Radiateur à Eau Chaude) Blanc",Hama,"2 102,61 €","42,45 %","2 423,54 %",84,"100,00 %","4 100,00 %","2 102,61 €","42,45 %","1 582,36 %","2 798,40 €","100,09 %","3 009,33 %",84,"100,00 %","2 700,00 %",,,"-100,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"2 046,80 €","-17,48 %","10,01 %",85,"-17,48 %","8,97 %","2 070,88 €","-17,31 %","23,72 %","1 364,82 €","-17,34 %","26,99 %",86,"-17,31 %","22,86 %",3,"-40,00 %","50,00 %"
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"1 967,94 €","24,56 %","6,07 %",34,"25,93 %","-5,56 %","2 030,66 €","39,14 %","9,45 %","1 401,05 €","40,00 %","5,96 %",35,"40,00 %","-2,78 %",2,"100,00 %","-60,00 %"
B000EORX5W,"Hama 00033833 Pochette, Noir (pour 120 CD/DVD/Blu-ray, classeur de rangement, gain de place pour le bureau, le salon et la maison, étuis de transport)",Hama,"1 945,64 €","6,53 %","-43,71 %",111,"2,78 %","-55,95 %","1 998,68 €","7,15 %","-41,37 %","1 018,40 €","3,09 %","-48,62 %",114,"2,70 %","-54,22 %",2,"100,00 %","-71,43 %"
B08GRRDVN9,"Hama Destructeur de Documents Mini S6 (Broyeur Documents 6 Feuilles 80g, Destructeur Papier, Déchiqueteur sécurité P1, 72 DB, M/A Auto, Fonction Retour, s'adapte sur des Corbeilles à Papier) Noir",Hama,"1 816,29 €","-18,47 %",,87,"-18,69 %",,"1 832,16 €","-17,76 %",,"1 356,08 €","-17,76 %",,88,"-17,76 %",,1,"0,00 %",
B00005YVGK,"Pochettes pour 20 Diapositives encadrées de Format 5x5 cm, 25 pièces",Hama,"1 763,64 €","53,10 %","225,07 %",142,"51,06 %","330,30 %","1 776,06 €","61,12 %","227,36 %","1 534,97 €","58,65 %","346,71 %",143,"58,89 %","333,33 %",,,
B00006J4GV,"Hama Multiprise 3 Prises 16A avec Interrupteur (Rallonge multiprises 3m, Bloc 3 Prises Type F Schuko, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Blanc",Hama,"1 687,43 €","691,70 %","-27,72 %",234,"1 014,29 %","-17,61 %","1 517,04 €","611,76 %","-35,23 %","1 272,33 €","904,76 %","-14,75 %",211,"904,76 %","-26,48 %",,,"-100,00 %"
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"1 640,77 €","-29,35 %","210,98 %",158,"-33,33 %","243,48 %","1 718,45 €","-27,72 %","225,70 %","826,84 €","-31,46 %","292,48 %",167,"-31,28 %","263,04 %",,,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"1 627,88 €","-11,83 %","-24,85 %",90,"-10,00 %","-37,06 %","1 485,33 €","-24,85 %","-35,66 %","802,40 €","-25,23 %","-46,54 %",80,"-25,23 %","-48,05 %",1,"0,00 %","-85,71 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"1 573,13 €","-48,06 %","-49,49 %",93,"-54,63 %","-55,92 %","1 534,49 €","-49,75 %","-48,78 %","957,85 €","-56,04 %","-52,55 %",91,"-56,04 %","-55,39 %",5,"400,00 %","-16,67 %"
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"1 522,45 €","-15,52 %","-53,59 %",144,"1,41 %","-38,20 %","1 501,21 €","-17,70 %","-52,61 %","944,45 €","-2,11 %","-32,08 %",141,"-2,08 %","-37,33 %",2,"0,00 %","-71,43 %"
B00006JDEX,"Hama Plateau Universel Hama Rond (32 cm, Taille L, Poids supporté 80 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 418,00 €","-23,89 %","-16,54 %",80,"-23,08 %","-23,08 %","1 399,11 €","-25,60 %","-16,87 %","978,02 €","-24,70 %","-16,16 %",79,"-24,76 %","-23,30 %",2,,"0,00 %"
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"1 361,86 €","111,70 %","-24,35 %",54,"134,78 %","-23,94 %","1 336,18 €","84,21 %","-45,25 %","1 096,57 €","103,85 %","-41,75 %",53,"103,85 %","-47,52 %",2,,"-87,50 %"
