Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/05/2024 - 31/05/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0000AI2SY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Noir",Hama,"5 902,03 €","191,22 %","978,00 %",383,"230,17 %","1 176,67 %","5 824,98 €","172,39 %","1 000,61 %","3 496,50 €","209,84 %","1 345,67 %",378,"209,84 %","1 203,45 %",28,"0,00 %","833,33 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"4 725,96 €","23,69 %","158,97 %",355,"23,69 %","228,70 %","4 646,04 €","21,80 %","147,50 %","2 502,33 €","22,46 %","219,18 %",349,"22,46 %","214,41 %",9,"125,00 %","350,00 %"
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"3 499,20 €","-8,71 %","5 432,33 %",60,"-7,69 %","5 900,00 %","3 732,48 €","1,89 %",,"4 491,52 €","3,23 %",,64,"3,23 %",,11,"120,00 %","266,67 %"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"2 829,05 €","-54,23 %","-42,99 %",91,"-56,46 %","-52,11 %","2 953,82 €","-55,21 %","-43,13 %","1 946,55 €","-57,38 %","-51,05 %",95,"-57,40 %","-52,26 %",59,"321,43 %","40,48 %"
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"2 747,63 €","61,29 %","93,93 %",678,"64,56 %","130,61 %","2 742,06 €","58,26 %","97,67 %","1 575,08 €","61,34 %","162,87 %",676,"61,34 %","137,19 %",5,"66,67 %","25,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"2 715,62 €","-20,10 %","-29,78 %",228,"-22,45 %","-52,00 %","2 560,24 €","-26,43 %","-32,90 %","895,14 €","-33,33 %","-58,65 %",210,"-30,00 %","-55,13 %",8,"300,00 %","-20,00 %"
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 698,92 €","11,82 %","67,03 %",108,"12,50 %","107,69 %","2 748,90 €","16,02 %","68,65 %","1 970,65 €","17,98 %","130,60 %",110,"17,02 %","111,54 %",8,,"100,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"2 606,25 €","-29,74 %","-58,57 %",159,"-36,14 %","-63,53 %","2 617,69 €","-31,63 %","-51,14 %","1 743,71 €","-38,48 %","-52,95 %",160,"-37,74 %","-56,64 %",20,"185,71 %","11,11 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"2 265,76 €","116,94 %","-39,01 %",136,"134,48 %","-39,01 %","2 232,44 €","114,88 %","-38,81 %","1 388,24 €","135,09 %","-33,56 %",134,"135,09 %","-38,81 %",6,"500,00 %","500,00 %"
B000EORX5W,"Hama 00033833 Pochette, Noir (pour 120 CD/DVD/Blu-ray, classeur de rangement, gain de place pour le bureau, le salon et la maison, étuis de transport)",Hama,"2 164,75 €","-12,06 %","35,89 %",135,"-14,56 %","32,35 %","2 196,07 €","-14,07 %","33,55 %","1 221,76 €","-16,95 %","38,43 %",137,"-16,46 %","30,48 %",6,"100,00 %",
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"1 957,54 €","68,75 %","419,99 %",214,"71,20 %","590,32 %","1 948,38 €","69,30 %","402,96 %","1 058,61 €","71,70 %","541,54 %",213,"71,77 %","545,45 %",2,"100,00 %","-50,00 %"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"1 855,00 €","100,00 %","1 292,12 %",14,"100,00 %","1 300,00 %","1 722,50 €","85,71 %",,"1 227,33 €","93,66 %",,13,"85,71 %",,,"-100,00 %",
B01K47CMCM,"Hama Album photo vierge ""La Fleur"" (album photo traditionnel 22,5 cm x 22,5 cm, 100 pages, pour l'insertion de 200 photos au format 10 cm x 15 cm, motif de feuilles, pochette CD) Blanc",Hama,"1 847,79 €","-16,95 %","13 824,57 %",237,"-13,50 %","23 600,00 %","1 893,64 €","-12,98 %","7 116,62 %","1 486,91 €","-9,90 %","15 751,92 %",242,"-9,70 %","12 000,00 %",6,"50,00 %",
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 640,09 €","21,09 %",,66,"17,86 %",,"1 614,78 €","6,07 %","3 377,13 %","1 034,51 €","7,78 %","3 159,33 %",65,"3,17 %","3 150,00 %",1,"-88,89 %","-80,00 %"
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"1 581,00 €","33,93 %","205,02 %",1 275,"33,93 %","205,02 %","1 553,72 €","31,07 %","196,92 %","1 102,64 €","31,07 %","200,28 %",1 253,"31,07 %","196,92 %",30,"50,00 %","200,00 %"
B01MS2OU9J,"Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir",Hama,"1 566,86 €","34,19 %","2 142,86 %",314,"34,19 %","2 142,86 %","1 611,77 €","41,05 %","3 488,89 %","1 149,88 €","41,05 %","3 807,17 %",323,"41,05 %","3 488,89 %",4,"300,00 %",
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"1 523,93 €","-37,89 %","43,70 %",89,"-47,02 %","67,92 %","1 548,77 €","-38,06 %","58,25 %","902,70 €","-47,67 %","90,95 %",90,"-47,67 %","83,67 %",9,"800,00 %","28,57 %"
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"1 507,75 €","44,62 %","166,75 %",103,"56,06 %","194,29 %","1 536,07 €","55,80 %","163,93 %","1 098,84 €","69,00 %","193,76 %",105,"69,35 %","191,67 %",3,"50,00 %","200,00 %"
B00006JDEX,"Hama Plateau Universel Hama Rond (32 cm, Taille L, Poids supporté 80 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 505,26 €","-1,77 %","47,55 %",90,"5,88 %","52,54 %","1 471,94 €","-8,36 %","42,43 %","812,95 €","-17,40 %","20,78 %",88,"-1,12 %","46,67 %",16,"1 500,00 %","300,00 %"
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"1 504,34 €","105,31 %","-73,26 %",152,"123,53 %","-70,43 %","1 406,89 €","77,49 %","-65,20 %","860,65 €","91,02 %","-62,27 %",142,"91,89 %","-60,11 %",5,"400,00 %","25,00 %"
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"1 321,26 €","2,33 %","696,13 %",78,"-4,88 %","680,00 %","1 320,56 €","-7,69 %","619,30 %","659,88 €","-11,58 %","647,99 %",78,"-13,33 %","609,09 %",3,"0,00 %","50,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"1 239,52 €","-12,88 %","102,99 %",106,"-19,70 %","135,56 %","1 188,39 €","-20,11 %","94,78 %","630,02 €","-28,91 %","138,89 %",99,"-28,78 %","120,00 %",,,
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"1 202,28 €","408,54 %","181,36 %",56,"409,09 %","194,74 %","1 202,25 €","459,26 %","167,29 %","808,08 €","460,00 %","180,00 %",56,"460,00 %","180,00 %",1,"0,00 %","0,00 %"
B00006J4DM,"Hama Adaptateur d'antenne (DIN mâle - ISO Femelle) Argent",Hama,"1 163,00 €","138,68 %","70,21 %",444,"124,24 %","39,62 %","1 192,28 €","153,06 %","73,01 %","831,54 €","111,77 %","31,61 %",456,"142,55 %","44,30 %",4,,"-33,33 %"
B00UV84E4O,"Hama Album photo vierge ""Anzio"" (album photo traditionnel format 22,8 cm x 22,3 cm, pour 200 photos 10 cm x 15 cm, 100 pages, instax, minimax, idéal pour un mariage) Beige/Noir",Hama,"1 132,52 €","-4,89 %","190,84 %",92,"-12,38 %","206,67 %","1 170,19 €","-3,61 %","183,53 %","612,51 €","-10,28 %","301,99 %",96,"-10,28 %","200,00 %",8,"700,00 %",
B0015NS8JQ,"Hama Chemin de câble (en PVC, semi-circulaire, 100 x 7 x 2,1 cm) Noir",Hama,"1 095,60 €","1 000,00 %",,55,"1 000,00 %",,"398,40 €","900,00 %",,"170,60 €","900,00 %",,20,"900,00 %",,,,
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 057,53 €","1,56 %",,5,"0,00 %",,"1 057,53 €","-27,45 %",,"1 052,74 €","-31,55 %",,5,"-28,57 %",,1,"0,00 %",
B074HZZQN4,"Horloge murale ""Easy Learning"" (horloge d'apprentissage analogique, pour enfants, pour apprendre l'heure, cadran d'apprentissage de diamètre 30 cm, silencieu) Blanc",Hama,"1 050,78 €","257,08 %","10,65 %",59,"293,33 %","3,51 %","1 032,22 €","209,54 %","21,49 %","743,56 €","241,18 %","29,50 %",58,"241,18 %","13,73 %",,"-100,00 %","-100,00 %"
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"1 034,82 €","108,21 %","-1,61 %",44,"144,44 %","0,00 %","966,72 €","93,84 %","-10,18 %","512,50 €","127,78 %","-5,70 %",41,"127,78 %","-8,89 %",,,
B0BHZFGZ5Y,"Hama Casque Audio Shell (Casque Circum-Auriculaire Stéréo, 20 Hz-20 kHz, 32 ohms, 113 DB/MW, Jack 3.52mm mâle, Adaptateur Jack 6.35mm mâle Inclus, câble Extra Long 2 m) Noir",Hama,"1 011,69 €","15,71 %","1 520,00 %",81,"15,71 %","1 520,00 %","699,44 €","-20,00 %","1 020,00 %","587,44 €","-20,02 %","1 371,17 %",56,"-20,00 %","1 020,00 %",,"-100,00 %","-100,00 %"
B00006IVA9,"Hama CD de nettoyage (pour tête de lecture laser, pour éliminer la poussière dans les lecteurs de CD, CD de nettoyage au laser) Blanc/Bleu/Rouge",Hama,"1 004,77 €","-16,88 %","-8,80 %",90,"-25,62 %","-31,82 %","990,06 €","-18,09 %","-12,68 %","469,09 €","-26,54 %","-2,00 %",89,"-26,45 %","-34,56 %",6,"500,00 %","100,00 %"
B074WPJ7CV,"Hama Radio Internet DIR150BT (Radio Dab/Dab+/FM, Stéréo 90W, RMS, Bluetooth/USB/AUX, Spotify, Multiroom, UPnP, Ecran Couleur, Télécommande, App Gratuite, Radio-Réveil, Radio WiFi) Noir",Hama,"989,07 €","106,02 %",,4,"100,00 %",,"989,07 €","35,65 %",,"769,00 €","28,81 %",,4,"33,33 %",,,,
