Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/11/2024 - 30/11/2024],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"8 805,52 €","36,67 %","10,21 %",335,"58,77 %","22,26 %","8 496,26 €","31,25 %","3,73 %","6 577,29 €","51,42 %","15,91 %",321,"51,42 %","14,23 %",31,"19,23 %","34,78 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"4 514,96 €","6,19 %","258,83 %",332,"4,73 %","260,87 %","4 288,52 €","-1,30 %","281,19 %","2 258,55 €","-2,78 %","284,15 %",315,"-2,78 %","284,15 %",4,"-63,64 %",
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"4 076,21 €","30,90 %","-22,33 %",241,"30,27 %","-23,49 %","3 892,95 €","19,88 %","-21,59 %","2 363,23 €","18,19 %","-23,38 %",230,"19,17 %","-22,82 %",2,"-75,00 %","-60,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"3 457,72 €","4,02 %","-31,47 %",229,"4,57 %","-34,76 %","3 470,95 €","5,80 %","-31,85 %","2 548,30 €","6,49 %","-33,71 %",230,"6,48 %","-35,03 %",14,"40,00 %","-17,65 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"3 160,78 €","-24,21 %","-36,36 %",422,"-24,37 %","-13,70 %","3 070,90 €","-28,17 %","-38,69 %","1 535,56 €","-28,45 %","-37,19 %",410,"-28,32 %","-17,51 %",5,"-28,57 %","-68,75 %"
B00006J4IM,"Hama Préamplificateur phono stéréo ""PA 506"" (avec alimentation secteur 230V/50 Hz, pour platines, 3000mA, câble Cinch 0,9 m) Noir",Hama,"2 546,59 €","6 137,06 %","953,83 %",125,"12 400,00 %","1 983,33 %","2 546,59 €","3 983,04 %","1 167,59 %","4 168,99 €","5 979,02 %","2 331,61 %",125,"6 150,00 %","2 400,00 %",2,,
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"2 391,24 €","-35,26 %","-11,19 %",140,"-37,50 %","-8,50 %","2 371,67 €","-38,52 %","12,57 %","1 461,47 €","-40,61 %","18,35 %",139,"-40,60 %","18,80 %",7,"600,00 %",
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"2 357,64 €","65,42 %","136,00 %",177,"65,42 %","136,00 %","2 331,00 €","65,09 %","127,27 %","1 748,25 €","65,09 %","157,41 %",175,"65,09 %","127,27 %",5,,"150,00 %"
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 160,92 €","61,90 %","133,09 %",89,"71,15 %","217,86 %","2 085,95 €","55,91 %","194,31 %","1 542,84 €","65,38 %","309,52 %",86,"65,38 %","309,52 %",2,"-33,33 %",
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"2 129,50 €","703,58 %","703,58 %",16,"700,00 %","700,00 %","1 997,00 €","653,58 %","653,58 %","1 416,15 €","650,00 %","650,00 %",15,"650,00 %","650,00 %",1,,
