Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/09/2024 - 30/09/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"1 855,00 €","250,00 %","132,05 %","1 321,74 €","250,00 %","133,33 %",14,"250,00 %","133,33 %",,"-100,00 %",
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"1 717,47 €","103,47 %","705,04 %","1 650,72 €","109,65 %","633,78 %",543,"109,65 %","633,78 %",10,"66,67 %","400,00 %"
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"1 568,32 €","-58,62 %","430,99 %","1 119,69 €","-58,62 %","430,99 %",377,"-58,62 %","430,99 %",5,"-28,57 %","400,00 %"
B0043W42ZU,"Xavax Mousseur à lait ""Milchicopter"" (Batteur à lait en acier, moteur très puissant à 14 000 tours/minute, spirale spéciale, nettoyage facile, mousseur à lait, balai Matcha) Noir",xavax,"1 438,52 €","3 100,98 %","-72,67 %","652,80 €","3 100,00 %","-84,62 %",192,"3 100,00 %","-81,82 %",2,,"-92,59 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"1 386,97 €","17,83 %","-2,87 %","883,68 €","15,07 %","3,80 %",84,"15,07 %","3,70 %",3,"200,00 %",
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 226,46 €","25,90 %","978,30 %","652,47 €","37,88 %","1 200,00 %",91,"37,88 %","1 200,00 %",1,,
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 204,62 €","44,54 %","38,97 %","1 194,00 €","50,00 %","30,92 %",6,"50,00 %","50,00 %",2,,
B00006J4DM,"Hama Adaptateur d'antenne (DIN mâle - ISO Femelle) Argent",Hama,"1 015,17 €","2 355,07 %","1 021,36 %","637,05 €","3 636,36 %","574,84 %",411,"3 636,36 %","927,50 %",13,,"1 200,00 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"932,96 €",,"-63,87 %","580,16 €",,"-63,87 %",56,,"-63,87 %",,,
B0857M8J9G,"Xavax Kit de superposition universel pour lave-linge/sèche-linge, avec séchoir à linge",xavax,"862,24 €",,"307,49 %","1 145,70 €",,"533,33 %",19,,"533,33 %",,,"-100,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"771,86 €","99,37 %","-27,20 %","367,97 €","106,67 %","-47,30 %",31,"106,67 %","-29,55 %",2,,
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"757,12 €","-27,58 %","-56,94 %","736,19 €","-18,75 %","-58,54 %",91,"-18,75 %","-48,30 %",6,"20,00 %","50,00 %"
B0000AI2T9,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Blanc",Hama,"755,09 €","36,11 %","512,50 %","463,05 €","36,11 %","512,50 %",49,"36,11 %","512,50 %",4,"300,00 %",
B07RHGG3S7,"Hama Horloge murale radio-pilotée ""Extra"" (avec indicateur de date et température) Blanc et Argenté",Hama,"722,70 €","75,25 %","119,52 %","529,72 €","70,50 %","96,98 %",19,"72,73 %","111,11 %",1,"0,00 %",
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"716,39 €","37,27 %","21,70 %","402,98 €","20,91 %","107,81 %",133,"20,91 %","107,81 %",,,
B0015IOV8S,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 40 cm avec bordure de 13 mm x 17 mm, pour une photo de 28 x 28 cm) Noir",Hama,"679,68 €","-52,48 %",,"474,24 €","-52,48 %",,48,"-52,48 %",,4,"-33,33 %",
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"629,69 €","57,79 %","76,62 %","440,16 €","90,91 %","100,00 %",42,"90,91 %","100,00 %",4,,
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"625,16 €","-28,16 %","480,36 %","306,72 €","-49,47 %","506,29 %",48,"-49,47 %","500,00 %",,"-100,00 %",
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"624,75 €","135,59 %",,"364,00 €","133,33 %",,7,"133,33 %",,,"-100,00 %",
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"612,72 €","43,75 %",,"459,54 €","43,75 %",,46,"43,75 %",,3,,
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"591,49 €","-16,94 %","309,90 %","167,76 €","-32,71 %","323,53 %",72,"-32,71 %","323,53 %",2,"-50,00 %","-71,43 %"
B07N6HRNMP,"Hama Album photo ""Summerly"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Motifs Aléatoires",Hama,"565,73 €","41,07 %","700,41 %","333,38 €","35,26 %","640,35 %",422,"35,26 %","640,35 %",,"-100,00 %",
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"556,11 €","68,18 %","-88,81 %","410,70 €","68,18 %","-89,64 %",37,"68,18 %","-89,64 %",2,"0,00 %","-93,55 %"
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"500,36 €","12,16 %","32,36 %","204,51 €","12,92 %","32,42 %",44,"12,82 %","33,33 %",,"-100,00 %",
B0000AI2JY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 50 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 40 cm) Noir",Hama,"494,64 €","12,50 %","199,84 %","292,41 €","12,50 %","200,00 %",27,"12,50 %","200,00 %",4,"-42,86 %",
B00292AZN4,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 40 cm, Reflex) Blanc",Hama,"476,99 €","98,54 %","887,97 %","169,07 €","112,00 %","1 442,61 %",53,"112,00 %","1 225,00 %",9,"125,00 %",
B071VWLNZB,"Hama 00137234 Alimentation pour PC",Hama,"472,47 €","41,68 %","49,26 %","290,08 €","40,00 %","56,37 %",28,"40,00 %","47,37 %",3,,"200,00 %"
B08GSRV3PB,"Hama Tête Thermostatique Connectée et Intelligente WiFi (pour Kit de Chauffage Connecté 00176592 Compatible Alexa Google Home, Robinet Intelligent pour Radiateur à Eau Chaude) Blanc",Hama,"465,02 €","36,61 %",,"832,50 €","25,00 %",,25,"25,00 %",,6,,
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"461,48 €","-27,60 %","12,10 %","321,09 €","-27,60 %","12,10 %",139,"-27,60 %","12,10 %",8,,"700,00 %"
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"458,81 €","29,33 %","-63,06 %","188,70 €","39,78 %","-86,15 %",97,"29,33 %","-83,83 %",,,"-100,00 %"
B01MS2OU9J,"Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir",Hama,"425,59 €","752,89 %","184,30 %","288,36 €","710,00 %","170,00 %",81,"710,00 %","170,00 %",,,"-100,00 %"
B07HY9LK8J,"Rapoo Clavier multimédia USB Filaire ""N2400"" (filaire, clavier d'ordinateur AZERTY, design, idéal pour les maladroits) Noir",Rapoo,"421,36 €","411,11 %",,"441,60 €","411,11 %",,46,"411,11 %",,,,
B0C8SXXW86,"Rapoo Clavier Souris sans Fil Multi-Mode Rechargeable Blade 9700M (Pack Kit Clavier et Souris, Clavier Rechargeable 99 Touches AZERTY, Souris 5 Boutons autonomie 12 Mois, Idéal PC Laptop) Anthracite",Rapoo,"408,24 €",,,"341,25 €",,,7,,,,,
B001JTV1HW,"Hama Boîtier standard (pour DVD, convient également aux CD et aux Blu-ray, avec film pour l'insertion de la jaquette, lot de 5) Transparent",Hama,"406,73 €","34,16 %","-8,61 %","263,44 €","50,85 %","-24,78 %",89,"50,85 %","-25,21 %",4,,
B0000WXD16,"Hama Trépied Appareil Photo 160cm Star 62"" avec étui de Transport (Trépied Télescopique Aluminium, Tête 3 Voies 3D, Attache Rapide fournie, Niveaux à Bulles intégrés) Beige",Hama,"378,04 €","160,00 %",,"303,68 €","160,00 %",,13,"160,00 %",,,"-100,00 %",
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"369,24 €","-25,68 %","-81,88 %","170,51 €","-34,62 %","-86,72 %",17,"-34,62 %","-86,72 %",,,"-100,00 %"
B002IKBZWM,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -40 degrés, maximum 30 degrés, format stylo) Blanc, -40°C/+30°C",xavax,"359,49 €","31,63 %","88,34 %","181,83 €","21,28 %","128,00 %",57,"21,28 %","128,00 %",,,"-100,00 %"
B07TYWBSZN,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, animaux, élégant) Marron/Beige/Vert/Orange/Jaune",Hama,"358,08 €","10,76 %","155,92 %","163,49 €","5,50 %","101,67 %",19,"5,56 %","137,50 %",,,
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"353,66 €","-75,07 %","-19,39 %","177,50 €","-80,63 %","-44,52 %",46,"-81,15 %","-43,21 %",4,"-20,00 %","300,00 %"
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"352,65 €","-30,11 %","12,64 %","174,75 €","-28,57 %","20,18 %",25,"-28,57 %","19,05 %",1,"0,00 %","0,00 %"
B00BYCGMEG,"Hama Album photo vierge ""Livorno"" (album photo traditionnel format 22 cm x 22 cm, pour 200 photos 10 cm x 15 cm, 100 pages, emplacement CD) Bleu/Blanc/Jaune",Hama,"348,72 €","-26,86 %","123,17 %","217,62 €","-26,42 %","200,00 %",39,"-26,42 %","200,00 %",,,
B06X9NRXV9,"Hama Album photo vierge ""Lazise"" (album photo traditionnel 29 cm x 32 cm, 50 pages blanches, pour 250 photos 10 cm x 15 cm, format maximum 28 cm x 31 cm) Doré/Blanc",Hama,"348,18 €","-22,22 %","110,00 %","195,51 €","-22,24 %","110,00 %",21,"-22,22 %","110,00 %",1,"0,00 %","-50,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"333,83 €","-66,40 %","-72,94 %","138,75 €","-61,86 %","-77,73 %",37,"-61,86 %","-71,09 %",,"-100,00 %","-100,00 %"
B0BL1RD6VH,"Hama Testeur de piles Universel (Testeur de batterie Universel pour piles AA/AAA/C/D/N/E/CR123A/CR2/CR-V3/1,5V/3V/2CR5/CR P2, piles boutons, Afficheur LCD) Gris",Hama,"329,78 €","69,23 %",,"241,78 €","69,23 %",,22,"69,23 %",,1,,
B0002VFL1U,"Hama Pochettes pour CD-ROM/DVD-ROM (Pochettes CD Plastique, Pochette de Protection colorées, Lot de 100, Multicolore) Bleu/Orange/Violet/Rose/Vert",Hama,"324,74 €","-26,14 %","-41,97 %","243,99 €","-16,24 %","-70,02 %",26,"-23,53 %","-69,05 %",,,"-100,00 %"
B07MQFLKJQ,"Xavax Hama Xavax Roulette à pizza (en acier inoxydable, 22 cm) Noir/Argent",xavax,"321,64 €","126,32 %","8 500,00 %","195,22 €","126,32 %","8 500,00 %",86,"126,32 %","8 500,00 %",2,,"100,00 %"
B0CNRZ9GWN,"Hama Boîte pour câbles Maxi (Boite Rangement pour Cables chargeurs et multiprises, boitier Cache câbles 40x15,5x13,5cm, Pieds en Caoutchouc) Blanc",Hama,"307,32 €","146,01 %",,"210,15 €","150,00 %",,15,"150,00 %",,,,
B000BGFJI6,"Hama Carte mémoire Photo (SD pour Photo/Classe 4, 2 GB - 10 MB/s) Bleu",Hama,"300,61 €","1,18 %","9,68 %","158,40 €","5,88 %","12,50 %",36,"5,88 %","12,50 %",,,"-100,00 %"
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"299,04 €","-26,33 %","145,52 %","150,00 €","-29,41 %","140,00 %",12,"-29,41 %","140,00 %",,,
B000Y138NG,"Hama Boîtier CD Slim en polypropylène, Lot de 20, Transparent",Hama,"288,66 €","9,43 %","156,27 %","160,92 €","0,00 %","237,50 %",27,"0,00 %","237,50 %",,,
B08SFGZ9T3,"Hama Tuner Hi-FI Radio Internet,Dab/Dab+/FM, Bluetooth 'DIT2006BT' (Tuner HiFi Radio numérique WiFi, Spotify Connect, UNDOK App Control pour Smartphone ou Tablette, USB/AUX, Réveil) Noir",Hama,"286,30 €","-31,12 %","64,30 %","170,00 €","-46,88 %","6,69 %",2,"-33,33 %","100,00 %",,"-100,00 %",
B0002W5WE0,"Hama Boîtier Slim Double (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"285,46 €","-52,94 %","29,50 %","232,20 €","-49,99 %","75,11 %",21,"-50,00 %","75,00 %",,,
B0015KFAIQ,"Xavax Filtre combiné universel pour friteuses (2 filtres à graisse et à charbon actif pour friteuses, filtre combiné universel, coupe individuelle, 33 x 29,6 cm) Noir/Blanc/Gris",xavax,"285,27 €","23,40 %","-43,74 %","111,60 €","5,88 %","-64,06 %",36,"5,88 %","-52,00 %",,,"-100,00 %"
B0000AI3G4,"Hama Cadre en plastique Madrid (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"283,24 €","922,16 %","1 411,42 %","125,84 €","1 200,00 %","1 200,00 %",13,"1 200,00 %","1 200,00 %",,,"-100,00 %"
B08VW3DC4C,"Hama Album photo mémo ""Ayleen II"" (Album photo, 22x22.5 cm, 200 pochettes pour photos 10x15 cm, Zone Mémo, pochette carte SD, idéal photos souvenirs de vacances, anniversaire, bébé) Multicolore",Hama,"263,84 €","-55,96 %",,"102,78 €","-66,67 %",,18,"-66,67 %",,1,"-50,00 %",
B00005UPB7,"Hama Boîtier Standard (pour CD et disques Blu-Ray, Étui Protecteur pour CD, Paquet de 5) Transparent",Hama,"263,03 €","-38,11 %","-36,75 %","144,32 €","-52,69 %","-51,06 %",44,"-52,69 %","-51,65 %",,,"-100,00 %"
B0CKHWPSGT,"Xavax Lot de 2 dosettes permanentes (pour machines à café Philips Senseo et machines à café similaires, filtre à dosettes pour poudre de café, thé en vrac, dosettes rechargeables, filtres à café)",UNKNOWN,"262,08 €","-5,97 %",,"185,85 €","-5,97 %",,63,"-5,97 %",,,,
B00UYZ1O6K,"Hama Support Mural TV Spécial Mur mensardé (pour Diagonale d'écran de 48 cm à 117 cm (19"" - 46""), pour Un Maximum de 20 kg, VESA jusqu'à 200 x 200) Noir",Hama,"252,00 €","383,22 %",,"230,70 €","500,00 %",,6,"500,00 %",,,,
B07T4DM8JJ,"Hama Album photos enfant mémo ""Forest"" (livre photo 100 pages à pochettes, 200 photos 10x15 cm, album souvenirs 22,5 x 22 cm, Emplacement CD, Album Motif Renards) Marron/Beige/Vert/Orange/Blanc",Hama,"241,92 €","92,96 %","-19,96 %","112,12 €","103,85 %","-42,61 %",20,"100,00 %","-33,33 %",1,,
B0009V8VAQ,"Hama Etui pour Lecteur et CD (pour Lecteur CD, pour Discman, 3 CD, avec Sortie de câble et Boucle de Ceinture) Noir/Bleu",Hama,"241,60 €","10,80 %","33,04 %","163,52 €","10,34 %","62,24 %",32,"10,34 %","60,00 %",1,,
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"241,56 €","27,35 %","-78,42 %","193,16 €","37,50 %","-77,08 %",22,"37,50 %","-77,08 %",,"-100,00 %",
B084HZJ2TV,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 80 pages blanches, sans spirale) Vert Tilleul",Hama,"234,60 €","-15,48 %","223,94 %","139,05 €","-16,67 %","150,00 %",15,"-16,67 %","150,00 %",,"-100,00 %","-100,00 %"
B07PSPRGMT,"THOMSON Casque TV HQ HED4508 (câble Extra Long de 8 m, Casque stéréo pour TV, réglage du Volume séparé, Embout Filaire, Prise 3,5 mm avec Adaptateur de 6,35 mm) Noir",Thomson,"234,33 €","0,18 %",,"238,96 €","0,00 %",,8,"0,00 %",,3,,
B001K9LNA6,"Hama Support Télécommande TV Commander (porte-télécommande TV Chaine Hifi DVD Blue-Ray, 3 grands compartiments, Boite de Rangement organiseur lunettes, smartphones, contrôleurs) Noir",Hama,"230,84 €","6,67 %","2 033,46 %","210,32 €","10,00 %","2 100,00 %",22,"10,00 %","2 100,00 %",,,
B008JCRAGI,"Xavax Boîte de condensation pour sèche-linges à évacuation, Blanc, 28.5 x 23.5 x 23 cm",xavax,"224,91 €","28,57 %","0,00 %","179,55 €","28,57 %","0,00 %",9,"28,57 %","0,00 %",,"-100,00 %",
B000X9VFWK,"Xavax Réducteur de diamètre (pour hottes aspirantes de 150 mm sur 125 mm) Blanc",xavax,"223,42 €","72,95 %","-42,95 %","113,88 €","62,50 %","-35,00 %",26,"62,50 %","-35,00 %",,"-100,00 %","-100,00 %"
B07MPQTNXF,"Xavax Sangle d’arrimage de sécurité avec cliquet pour sèche-linge, Blanc/Gris",xavax,"221,54 €","90,00 %","-48,65 %","127,17 €","90,06 %","-48,66 %",19,"90,00 %","-48,65 %",,,"-100,00 %"
B00006JA17,"Hama Étuis à négatifs, Papier Cristal, 4 Bandes de 3 négatifs, 6X7 cm pour 3 negatif et jusqu'a 6 X 9 cm pour 2 negatif, 100 pièces",Hama,"215,04 €","27,94 %","-13,93 %","157,10 €","25,00 %","-15,97 %",10,"25,00 %","-16,67 %",,,
B09RC7QDPM,"Hama Album photo ""Skies II"" (Album Elégant et Intemporel, Idéal mariage, anniversaire, baptême, 22,5 x 22 cm, 100 pages avec pochettes pour 200 photos 10x15 cm, Zone Mémo et pochette carte SD) Gris",Hama,"213,00 €","-15,00 %","387,41 %","127,80 €","-35,71 %","260,00 %",18,"-35,71 %","260,00 %",,,
B0BNLNC6KX,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Argenté",Hama,"204,07 €",,,"204,00 €",,,1,,,2,,
B0002W5WBI,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 100) Noir/Transparent",Hama,"195,23 €","66,32 %","-69,31 %","133,40 €","66,67 %","-70,59 %",5,"66,67 %","-70,59 %",,,
B00005UPC8,"Hama Boîtier standard double (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Transparent",Hama,"189,81 €","-29,63 %","8,67 %","127,49 €","-29,63 %","46,15 %",19,"-29,63 %","46,15 %",2,,"-33,33 %"
B0026MT4AW,"Xavax Tuyau d'arrivée d'eau froide (pour lave-linge, lave-vaisselle, toutes les marques courantes Miele, Bosch, Beko, Siemens, Bauknecht, AEG, Gorenje, 3,5 mètres, 1 pièces) Gris/Blanc",xavax,"186,56 €","23,08 %","-70,56 %","108,80 €","23,08 %","-61,90 %",16,"23,08 %","-61,90 %",,"-100,00 %","-100,00 %"
B000K985GC,"Hama Boîtier Standard (pour DVD, Convient également aux CD et aux Blu-Ray, avec Film pour l'insertion de la Jaquette, Lot de 30) Noir",Hama,"186,55 €","19,90 %","-42,56 %","112,16 €","14,29 %","-46,67 %",8,"14,29 %","-46,67 %",,,"-100,00 %"
