Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/04/2024 - 30/04/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"3 828,44 €","-40,39 %","123,73 %","2 018,28 €","-40,39 %","270,93 %",484,"-40,39 %","250,72 %",26,"-7,14 %","136,36 %"
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"3 663,07 €","345,11 %","5 786,34 %","4 351,16 €","376,92 %","6 781,48 %",62,"376,92 %","6 100,00 %",5,,"66,67 %"
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"1 921,92 €","35,09 %","2 100,00 %","1 372,14 €","35,14 %","2 242,74 %",462,"35,09 %","2 100,00 %",1,"-75,00 %",
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"1 858,68 €","-22,27 %",,"1 352,00 €","-25,71 %",,26,"-25,71 %",,3,"0,00 %",
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"1 732,64 €","26,69 %","214,70 %","976,27 €","38,28 %","389,36 %",419,"38,28 %","341,05 %",3,"-66,67 %","200,00 %"
B0026MT4CK,"Xavax Tuyau d'Arrivée d'Eau Froide 2.5m (Tuyau Universel pour Lave Vaisselle, Lave-Linge, Connexion 3/4""(1,91 cm) Droit/Coudé Angle 90°) Gris",xavax,"1 585,54 €","-15,95 %","-67,82 %","653,88 €","-14,88 %","-76,46 %",115,"-14,81 %","-77,67 %",5,"-81,48 %","-73,68 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 503,29 €","35,84 %","81,13 %","803,04 €","75,00 %","125,87 %",112,"75,00 %","124,00 %",3,,"200,00 %"
B07RHGG3S7,"Hama Horloge murale radio-pilotée ""Extra"" (avec indicateur de date et température) Blanc et Argenté",Hama,"1 197,86 €","38,41 %",,"956,16 €","33,33 %",,32,"33,33 %",,1,,
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"1 185,44 €","-9,30 %","173,93 %","841,28 €","-9,30 %","178,94 %",956,"-9,30 %","173,93 %",20,,
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"1 108,89 €","-40,32 %",,"1 117,82 €","-40,44 %",,111,"-40,32 %",,2,"-81,82 %",
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"1 056,37 €","-16,13 %","91,97 %","645,39 €","-18,55 %","152,47 %",101,"-18,55 %","146,34 %",,"-100,00 %",
B01MS2OU9J,"Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir",Hama,"988,02 €","153,85 %",,"704,88 €","153,85 %",,198,"153,85 %",,1,,
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"954,64 €","139,38 %","-66,57 %","344,70 €","118,94 %","-77,78 %",81,"153,13 %","-76,59 %",,"-100,00 %","-100,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"941,08 €","-30,21 %","-6,60 %","578,93 €","-34,86 %","-10,48 %",39,"-30,36 %","-9,30 %",7,"16,67 %",
B0026MT4CA,"Xavax Rallonge de tuyau d'arrivée d'eau froide (pour tuyau de lavage et lave-vaisselle, tuyau d'arrivée d'eau froide, 2,5 m, 1 pièce) Gris/Blanc",xavax,"910,99 €","-4,38 %","-4,75 %","572,44 €","-3,76 %","7,14 %",97,"-3,00 %","3,19 %",1,"-83,33 %","-75,00 %"
B07MPQTNXF,"Xavax Sangle d’arrimage de sécurité avec cliquet pour sèche-linge, Blanc/Gris",xavax,"907,39 €","25,72 %","52,59 %","521,82 €","25,81 %","53,68 %",78,"25,81 %","52,94 %",,"-100,00 %","-100,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"833,00 €","-33,33 %",,"912,00 €","-33,33 %",,4,"-33,33 %",,1,,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"830,34 €","-38,97 %",,"571,71 €","-38,04 %",,57,"-38,04 %",,1,"-91,67 %",
B0043W42ZU,"Xavax Mousseur à lait ""Milchicopter"" (Batteur à lait en acier, moteur très puissant à 14 000 tours/minute, spirale spéciale, nettoyage facile, mousseur à lait, balai Matcha) Noir",xavax,"824,94 €","121,02 %","-93,12 %","493,87 €","162,00 %","-92,12 %",131,"162,00 %","-91,81 %",,"-100,00 %","-100,00 %"
B08GRRDVN9,"Hama Destructeur de Documents Mini S6 (Broyeur Documents 6 Feuilles 80g, Destructeur Papier, Déchiqueteur sécurité P1, 72 DB, M/A Auto, Fonction Retour, s'adapte sur des Corbeilles à Papier) Noir",Hama,"803,29 €","24,44 %",,"585,58 €","31,03 %",,38,"31,03 %",,1,"-90,00 %",
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"785,15 €","-35,27 %","153,32 %","524,00 €","-27,54 %","163,16 %",50,"-27,54 %","163,16 %",1,"-80,00 %","0,00 %"
B0BHZFGZ5Y,"Hama Casque Audio Shell (Casque Circum-Auriculaire Stéréo, 20 Hz-20 kHz, 32 ohms, 113 DB/MW, Jack 3.52mm mâle, Adaptateur Jack 6.35mm mâle Inclus, câble Extra Long 2 m) Noir",Hama,"761,89 €","84,85 %",,"639,89 €","84,75 %",,61,"84,85 %",,1,,
B07MQFLKJQ,"Xavax Hama Xavax Roulette à pizza (en acier inoxydable, 22 cm) Noir/Argent",xavax,"744,26 €","172,60 %","2 175,33 %","451,73 €","172,60 %","4 307,12 %",199,"172,60 %","3 880,00 %",3,"200,00 %",
B06X9NRXV9,"Hama Album photo vierge ""Lazise"" (album photo traditionnel 29 cm x 32 cm, 50 pages blanches, pour 250 photos 10 cm x 15 cm, format maximum 28 cm x 31 cm) Doré/Blanc",Hama,"735,27 €","15,74 %",,"484,12 €","8,33 %",,52,"8,33 %",,2,"-33,33 %",
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"651,36 €","72,00 %","9,69 %","348,45 €","219,33 %","-1,88 %",115,"219,44 %","-3,36 %",5,,
B08SFFNZ4D,"Rapoo Clavier et Souris sans Fil X 1800s"" (Pack Kit Clavier Souris sans Fil 2.4GHz, Dongle Nano USB, Autonomie 12mois, Souris Optique 1000DPI, Clavier AZERTY FR, Pavé Numérique, pour PC, Laptop) Noir",Rapoo,"646,12 €","33,73 %",,"527,06 €","31,03 %",,38,"31,03 %",,1,,
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"637,22 €","23,03 %","-18,34 %","520,39 €","44,44 %","8,98 %",13,"44,44 %","0,00 %",1,"0,00 %",
B0015K9MTY,"Xavax Filtre à fibres longues pour hottes aspirantes (2 filtres universels pour extraction par extraction, sur mesure, 57 x 47 cm) Blanc",xavax,"632,87 €","-35,05 %","-34,28 %","237,58 €","-40,02 %","-30,83 %",72,"-36,28 %","-29,41 %",,,"-100,00 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"626,67 €","-19,25 %",,"410,28 €","-7,14 %",,39,"-7,14 %",,,"-100,00 %","-100,00 %"
B01KFL3C26,"Hama Multiprise, ""6+1"" (commutable individuellement, avec protection anti-surtension, montage mural, pivotée à 90°, longueur de douille XL, protection enfant, longueur de câble de 1,4 m) Noir",Hama,"625,40 €","-0,69 %","2 535,48 %","388,32 €","-12,14 %","2 667,78 %",26,"-10,34 %","2 500,00 %",3,"200,00 %",
B0000AI3G4,"Hama Cadre en plastique Madrid (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"618,42 €","65,00 %",,"312,16 €","61,24 %",,33,"65,00 %",,10,"-23,08 %",
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"613,72 €","-67,44 %",,"307,62 €","-70,94 %",,37,"-69,42 %",,3,"-75,00 %","200,00 %"
B07SHMY2ZM,"Hama Horloge Murale PP-245 (Radio-pilotée DCF, Pendule sans tic tac, numérique, à LED, sans Fil, avec Piles, Format 24h, Calendrier, Jour, thermomètre 0°C à -50°C, Pause Murale ou Bureau) Noir",Hama,"582,81 €","60,98 %","931,52 %","455,28 €","61,54 %","1 054,95 %",21,"61,54 %","950,00 %",,"-100,00 %",
B00UV84E4O,"Hama Album photo vierge ""Anzio"" (album photo traditionnel format 22,8 cm x 22,3 cm, pour 200 photos 10 cm x 15 cm, 100 pages, instax, minimax, idéal pour un mariage) Beige/Noir",Hama,"576,21 €","-27,33 %",,"325,38 €","-25,00 %",,51,"-25,00 %",,,"-100,00 %",
B001E725JM,"Hama Blu-Ray de Nettoyage (pour tête de Lecture, pour éliminer la poussière dans Les lecteurs de Blu-Ray, Blu-Ray de Nettoyage) Blanc/Bleu/Rouge",Hama,"574,95 €","-10,33 %","3 351,08 %","490,62 €","-9,76 %","3 600,00 %",37,"-9,76 %","3 600,00 %",1,"-83,33 %",
B0000AI2JY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 50 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 40 cm) Noir",Hama,"567,92 €","-18,42 %",,"335,73 €","-18,40 %",,31,"-18,42 %",,10,"900,00 %",
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"531,07 €","-54,95 %","-47,49 %","313,00 €","-61,02 %","-38,36 %",50,"-58,33 %","-39,02 %",1,"-50,00 %","0,00 %"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"530,00 €","-42,86 %",,"377,64 €","-42,86 %",,4,"-42,86 %",,,,
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"522,12 €","53,63 %","288,51 %","283,29 €","78,13 %","375,00 %",57,"78,13 %","375,00 %",1,"0,00 %","-66,67 %"
B09FBSCB6Q,"Hama Album photo à spirale ""Craft"" (Album souvenirs mariage, anniversaire, baptême, 24x17 cm, 40 pages en papier Kraft chic à personnaliser et à coller, jusqu'à 40 photos de 10 x 15 cm) Marron",Hama,"522,09 €","10,09 %",,"372,00 €","5,26 %",,80,"5,26 %",,1,"-90,91 %",
B000Y138NG,"Hama Boîtier CD Slim en polypropylène, Lot de 20, Transparent",Hama,"520,90 €","117,48 %","90,21 %","325,10 €","187,09 %","198,42 %",55,"189,47 %","175,00 %",1,"0,00 %",
B071VWLNZB,"Hama 00137234 Alimentation pour PC",Hama,"516,46 €","44,25 %","63,16 %","319,10 €","47,37 %","71,06 %",31,"47,62 %","63,16 %",3,,"200,00 %"
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"513,04 €","-26,67 %","238,46 %","386,32 €","-26,67 %","251,97 %",44,"-26,67 %","238,46 %",,,"-100,00 %"
B0009V8VAQ,"Hama Etui pour Lecteur et CD (pour Lecteur CD, pour Discman, 3 CD, avec Sortie de câble et Boucle de Ceinture) Noir/Bleu",Hama,"496,26 €","-8,02 %","31,80 %","240,17 €","-17,41 %","15,72 %",47,"-17,54 %","11,90 %",3,,"50,00 %"
B000XA2YGK,"Xavax Hama Thermomètre analogique (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -35 degrés, maximum 40 degrés) Blanc",xavax,"492,35 €","148,40 %",,"247,68 €","146,15 %",,96,"146,15 %",,1,,
B01AT3K7NC,"Xavax Couvercle universel (anneau en silicone pour casseroles/poêles de diamètre 16, 18 ou 20 cm, trou de vapeur, design à bords gradués, verre, va lave-vaisselle, peu encombrant) Noir/Transparent",xavax,"454,80 €","117,90 %","712,58 %","268,99 €","105,56 %","868,98 %",37,"105,56 %","825,00 %",,"-100,00 %",
B07TYWBSZN,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, animaux, élégant) Marron/Beige/Vert/Orange/Jaune",Hama,"440,15 €","-8,89 %","2 416,58 %","268,95 €","-13,02 %","2 795,05 %",31,"0,00 %","3 000,00 %",1,"-50,00 %",
B0015IOV8S,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 40 cm avec bordure de 13 mm x 17 mm, pour une photo de 28 x 28 cm) Noir",Hama,"424,80 €","100,00 %",,"296,40 €","100,00 %",,30,"100,00 %",,,"-100,00 %",
B07PSPRGMT,"THOMSON Casque TV HQ HED4508 (câble Extra Long de 8 m, Casque stéréo pour TV, réglage du Volume séparé, Embout Filaire, Prise 3,5 mm avec Adaptateur de 6,35 mm) Noir",Thomson,"417,00 €","-21,86 %","1 260,52 %","418,18 €","-22,22 %","1 440,26 %",14,"-22,22 %","1 300,00 %",,,
B07T4DLJ4Y,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, renards, élégant) Marron/Beige/Vert/Orange/Blanc",Hama,"411,46 €","83,06 %",,"287,30 €","85,71 %",,26,"85,71 %",,,"-100,00 %",
B0002VFL1U,"Hama Pochettes pour CD-ROM/DVD-ROM (Pochettes CD Plastique, Pochette de Protection colorées, Lot de 100, Multicolore) Bleu/Orange/Violet/Rose/Vert",Hama,"410,32 €","111,29 %","52,12 %","269,73 €","73,97 %","-27,71 %",28,"75,00 %","-28,21 %",,"-100,00 %","-100,00 %"
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"410,07 €","-53,24 %","370,05 %","310,35 €","-54,55 %","454,99 %",15,"-54,55 %","400,00 %",,"-100,00 %","-100,00 %"
B0009V6OD2,"Hama Boîtier Slim Double (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"408,31 €","37,99 %","21,64 %","296,25 €","47,06 %","23,75 %",25,"47,06 %","13,64 %",,,"-100,00 %"
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"399,36 €","-77,25 %","1 900,80 %","291,84 €","-77,25 %","2 300,00 %",96,"-77,25 %","2 300,00 %",1,"-92,86 %",
B0015NLFGE,"Hama Chemin de câbles (Bande en PVC/Aluminium pour Montage Mural TV ou au Sol, Cache-câble Demi-Rond, 100 x 7 x 2,1 cm, entrée de câble jusqu'à 8 câbles) Gris",Hama,"397,29 €","22,48 %",,"275,00 €","17,65 %",,20,"17,65 %",,,,
B08HQH5PSV,"Hama Horloge Murale Numérique Jumbo (Radio-pilotée DCF, Très Grand Format d’Affichage, Affichage XL Heure-Date-température int.-humidité, à Suspendre ou Poser) Noir",Hama,"395,28 €","676,28 %","289,75 %","338,97 €","693,65 %","336,48 %",8,"700,00 %","300,00 %",,,
B00X5K84ZK,"Hama Album photo à pochettes ""New York City"" (pour 400 photos au format 10 cm x 15cm, taille de l'album de 25 cm x 34 cm, 100 pages, en cuir, protège les photos et les documents) Noir",Hama,"392,96 €","21,89 %","98,92 %","218,28 €","21,43 %","102,22 %",17,"21,43 %","88,89 %",,,"-100,00 %"
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"386,28 €","-44,87 %","1 350,00 %","301,31 €","-45,28 %","1 412,60 %",29,"-45,28 %","1 350,00 %",2,"-33,33 %",
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"380,82 €","-25,95 %",,"175,00 €","-26,32 %",,14,"-26,32 %",,,"-100,00 %",
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"379,55 €","-41,19 %","-28,62 %","142,08 €","-50,01 %","-45,15 %",27,"-41,30 %","-32,50 %",,"-100,00 %","-100,00 %"
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"378,48 €","-0,87 %","-6,56 %","263,34 €","-0,87 %","-3,83 %",114,"-0,87 %","-6,56 %",3,"0,00 %",
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"373,42 €","9,73 %","13,98 %","224,17 €","56,03 %","47,87 %",48,"54,84 %","41,18 %",,,"-100,00 %"
B003TQZQT2,"Hama Pochette Up To Fashion (pour 24 disques, CD/DVD/Blu-ray/livres audio, étui de rangement, gain de place pour la voiture, la maison, avec motif bambou) Vert",Hama,"372,96 €","276,80 %",,"255,92 €","300,00 %",,56,"300,00 %",,,,
B078T54CLX,"Hama Souris Optique à 3 Boutons MC-200, Filaire, Noire",Hama,"367,09 €","178,31 %","-40,98 %","234,50 €","272,22 %","-34,44 %",67,"272,22 %","-40,71 %",9,"800,00 %","800,00 %"
