Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/08/2024 - 31/08/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"3 789,76 €","21,30 %","472,96 %","2 705,67 €","21,30 %","472,96 %",911,"21,30 %","472,96 %",7,"250,00 %",
B01DF1YLXM,"Hama Ventilateur de table USB (Mini Ventilateur de bureau 10 cm (4""), Bouton ON/OFF, inclinable, idéal aussi pour Chambre, Voiture, Camping) Noir",Hama,"1 441,71 €","-48,36 %","259,08 %","1 230,41 €","-46,75 %","383,88 %",193,"-46,09 %","394,87 %",14,"133,33 %",
B0015IOV8S,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 40 cm avec bordure de 13 mm x 17 mm, pour une photo de 28 x 28 cm) Noir",Hama,"1 430,16 €","55,38 %",,"997,88 €","55,38 %",,101,"55,38 %",,6,"500,00 %",
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"1 418,62 €","119,95 %","498,32 %","916,55 €","116,58 %","700,13 %",244,"123,85 %","741,38 %",5,"400,00 %","400,00 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"1 177,13 €","290,23 %","276,14 %","767,96 €","284,21 %","384,21 %",73,"284,21 %","356,25 %",1,,"0,00 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"1 045,40 €","-27,33 %","-26,82 %","906,08 €","-22,22 %","-37,20 %",112,"-22,22 %","-21,68 %",5,"400,00 %","0,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"993,52 €","240,80 %","-18,81 %","363,75 €","274,00 %","-43,65 %",97,"288,00 %","-27,07 %",2,"0,00 %","100,00 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"974,12 €","-13,82 %","366,00 %","473,22 €","-10,81 %","450,00 %",66,"-10,81 %","450,00 %",,"-100,00 %","-100,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"870,20 €","-19,49 %","122,02 %","607,05 €","-19,49 %","228,53 %",95,"-19,49 %","227,59 %",1,,"0,00 %"
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"844,11 €","26,34 %","308,06 %","787,36 €","22,75 %","311,11 %",259,"22,75 %","311,11 %",6,"100,00 %",
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"833,43 €","-33,47 %","271,78 %","796,00 €","-33,33 %","249,12 %",4,"-33,33 %","300,00 %",,,
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"712,14 €","-53,97 %","-41,65 %","249,31 €","-63,10 %","-61,23 %",107,"-63,10 %","-61,23 %",4,"-42,86 %","-50,00 %"
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"637,44 €","-28,09 %","51,18 %","443,52 €","-28,09 %","51,18 %",192,"-28,09 %","51,18 %",,"-100,00 %","-100,00 %"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"609,07 €","250,00 %","-73,16 %","321,09 €","250,00 %","-68,83 %",77,"250,00 %","-68,83 %",6,,"-45,45 %"
B0002W5WE0,"Hama Boîtier Slim Double (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"606,60 €","-10,53 %","145,80 %","464,30 €","-6,63 %","223,22 %",42,"-6,67 %","223,08 %",,"-100,00 %",
B08VW3DC4C,"Hama Album photo mémo ""Ayleen II"" (Album photo, 22x22.5 cm, 200 pochettes pour photos 10x15 cm, Zone Mémo, pochette carte SD, idéal photos souvenirs de vacances, anniversaire, bébé) Multicolore",Hama,"599,13 €","-9,67 %",,"308,34 €","-12,90 %",,54,"-12,90 %",,2,,
B0000AI2T9,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Blanc",Hama,"554,76 €","0,00 %","1 100,00 %","340,20 €","0,00 %","1 100,00 %",36,"0,00 %","1 100,00 %",1,"-83,33 %","0,00 %"
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"530,00 €","-42,86 %","-33,49 %","377,64 €","-42,86 %","-33,33 %",4,"-42,86 %","-33,33 %",1,,"0,00 %"
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"521,90 €","3,49 %","28,52 %","333,30 €","15,79 %","107,48 %",110,"15,79 %","107,55 %",,"-100,00 %","-100,00 %"
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"519,61 €","8,03 %","-80,66 %","245,16 €","7,08 %","-86,03 %",30,"7,14 %","-84,92 %",,,"-100,00 %"
B0000AHICV,"Hama Boîtier CD/DVD Slim (lot de 10 boitiers standards vierges pour CD/DVD et disques Blu-ray, ultra plat) Noir/Transparent",Hama,"517,36 €","-27,62 %","7,82 %","194,30 €","-60,81 %","-44,76 %",58,"-60,81 %","-44,76 %",,"-100,00 %","-100,00 %"
B0015NLFGE,"Hama Chemin de câbles (Bande en PVC/Aluminium pour Montage Mural TV ou au Sol, Cache-câble Demi-Rond, 100 x 7 x 2,1 cm, entrée de câble jusqu'à 8 câbles) Gris",Hama,"517,26 €","106,25 %",,"330,00 €","50,00 %",,24,"50,00 %",,,"-100,00 %",
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"512,25 €","144,16 %","449,39 %","363,65 €","133,33 %","399,45 %",35,"133,33 %","400,00 %",1,,"0,00 %"
B0BRL62B16,"Hama Multiprise Etanche 2 Prises 16A avec Interrupteur (Multiprise Extérieur Rallonge 2m, Bloc 2 Prises étanches IP44 avec Couvercle, Type F Schuko, 3680W, Idéal Jardin Garage Atelier Chantier) Noir",Hama,"506,24 €","-38,62 %","3 100,00 %","361,60 €","-40,74 %","3 100,00 %",32,"-40,74 %","3 100,00 %",1,,
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"504,58 €","1,04 %","30,07 %","244,65 €","-12,50 %","36,17 %",35,"-12,50 %","34,62 %",1,"-50,00 %","0,00 %"
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"496,81 €","-10,78 %","-25,25 %","260,78 €","-23,53 %","-25,77 %",26,"-23,53 %","-25,71 %",,,"-100,00 %"
B00BYCGMEG,"Hama Album photo vierge ""Livorno"" (album photo traditionnel format 22 cm x 22 cm, pour 200 photos 10 cm x 15 cm, 100 pages, emplacement CD) Bleu/Blanc/Jaune",Hama,"476,80 €","39,23 %","38,73 %","295,74 €","43,24 %","47,22 %",53,"43,24 %","47,22 %",,,
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"455,61 €","-35,03 %","-62,39 %","173,40 €","-37,04 %","-69,51 %",34,"-37,04 %","-61,36 %",1,,
B06X9NRXV9,"Hama Album photo vierge ""Lazise"" (album photo traditionnel 29 cm x 32 cm, 50 pages blanches, pour 250 photos 10 cm x 15 cm, format maximum 28 cm x 31 cm) Doré/Blanc",Hama,"447,66 €","-6,89 %","-16,69 %","251,42 €","-6,87 %","-18,17 %",27,"-6,90 %","-18,18 %",1,"0,00 %",
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"446,13 €","-18,41 %","16,30 %","181,11 €","-46,69 %","16,57 %",39,"-46,58 %","14,71 %",1,"0,00 %",
B0000AI2JY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 50 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 40 cm) Noir",Hama,"439,68 €","14,29 %",,"259,92 €","14,24 %",,24,"14,29 %",,7,"250,00 %",
B0002VFL1U,"Hama Pochettes pour CD-ROM/DVD-ROM (Pochettes CD Plastique, Pochette de Protection colorées, Lot de 100, Multicolore) Bleu/Orange/Violet/Rose/Vert",Hama,"439,66 €","83,55 %","-32,12 %","291,30 €","78,39 %","-68,36 %",34,"88,89 %","-64,21 %",,,"-100,00 %"
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"426,24 €","52,38 %","700,00 %","319,68 €","52,38 %","612,93 %",32,"52,38 %","700,00 %",,,
