Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/10/2024 - 31/10/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"2 816,58 €","201,90 %","69,06 %","1 740,48 €","200,00 %","68,17 %",168,"200,00 %","68,00 %",2,,"-60,00 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 973,04 €","60,87 %","205,16 %","1 053,99 €","61,54 %","241,86 %",147,"61,54 %","241,86 %",6,"500,00 %","500,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"1 966,56 €","63,25 %","349,74 %","2 019,00 €","69,10 %","342,76 %",10,"66,67 %","400,00 %",4,"100,00 %",
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"1 764,99 €","2,77 %","2 115,10 %","1 738,88 €","5,34 %","2 283,33 %",572,"5,34 %","2 283,33 %",14,"40,00 %","1 300,00 %"
B07HY9LK8J,"Rapoo Clavier multimédia USB Filaire ""N2400"" (filaire, clavier d'ordinateur AZERTY, design, idéal pour les maladroits) Noir",Rapoo,"1 474,76 €","250,00 %",,"1 545,60 €","250,00 %",,161,"250,00 %",,6,,
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"1 428,43 €","156,86 %","-67,50 %","1 054,50 €","156,76 %","-68,75 %",95,"156,76 %","-68,75 %",4,"100,00 %","-81,82 %"
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"1 411,69 €","299,17 %","3 657,49 %","1 070,45 €","503,07 %","6 675,00 %",271,"489,13 %","6 675,00 %",,"-100,00 %",
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"1 363,48 €","-13,06 %","54,60 %","974,16 €","-13,00 %","54,72 %",328,"-13,00 %","54,72 %",3,"-40,00 %","-25,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"1 348,20 €","303,86 %","-47,12 %","675,00 €","386,49 %","-50,26 %",180,"386,49 %","-35,25 %",,,"-100,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 146,73 €","48,57 %","266,32 %","522,28 €","41,94 %","153,15 %",44,"41,94 %","238,46 %",1,"-50,00 %","0,00 %"
B00006J4DM,"Hama Adaptateur d'antenne (DIN mâle - ISO Femelle) Argent",Hama,"1 134,51 €","11,76 %","3 911,70 %","714,55 €","12,17 %","7 469,39 %",461,"12,17 %","11 425,00 %",1,"-92,31 %",
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"1 012,46 €","62,06 %",,"572,00 €","57,14 %",,11,"57,14 %",,,,
B0C8T31557,"Rapoo Clavier Souris sans Fil Multi-Mode Rechargeable Blade 9700M (Pack Kit Clavier et Souris, Clavier Rechargeable 99 Touches AZERTY, Souris 5 Boutons autonomie 12 Mois, Idéal PC Laptop) Blanc",Rapoo,"977,18 €","466,88 %",,"828,75 €","466,67 %",,17,"466,67 %",,,,
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"965,12 €","27,47 %","-43,17 %","938,44 €","27,47 %","-45,29 %",116,"27,47 %","-31,76 %",2,"-66,67 %","-80,00 %"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"901,74 €","570,59 %","-42,22 %","475,38 €","570,59 %","-35,23 %",114,"570,59 %","-35,23 %",2,"0,00 %","-81,82 %"
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"865,27 €","20,78 %","-2,60 %","487,83 €","21,06 %","56,31 %",161,"21,05 %","56,31 %",3,,"200,00 %"
B0000AI2T9,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Blanc",Hama,"832,14 €","10,20 %","145,45 %","510,30 €","10,20 %","145,45 %",54,"10,20 %","145,45 %",8,"100,00 %","700,00 %"
