Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Trimestre],Champ de vision.=[01/01/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"1 406,33 €","68,38 %","-28,88 %","987,05 €","72,73 %","-36,24 %",95,"72,73 %","-36,24 %",1,,"-80,00 %"
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"1 390,07 €","62,76 %","18,88 %","733,95 €","64,06 %","32,91 %",105,"64,06 %","32,91 %",3,,"50,00 %"
B00005YVIU,"Hama Distributeurs Coins photo (1000 coins, autocollants, distributeur pratique, sans acide, sans solvant, adapté albums, permet un archivage fiable, scrapbooking) Transparent",Hama,"1 371,16 €","1 005,95 %",,"1 197,70 €","1 695,65 %",,413,"1 695,65 %",,2,,
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"1 367,14 €","32,66 %","-20,67 %","712,50 €","23,91 %","-14,93 %",57,"23,91 %","-14,93 %",1,,"-50,00 %"
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"1 278,14 €","48,08 %","42,85 %","673,45 €","62,23 %","79,21 %",144,"61,80 %","77,78 %",8,"700,00 %",
B00G3BMWQA,"Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent",xavax,"1 277,61 €","-36,31 %","16 957,54 %","788,54 €","-33,83 %","17 700,00 %",178,"-33,83 %","17 700,00 %",1,"-85,71 %",
B07CKR6PKL,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron",Hama,"1 274,01 €","167,24 %","-53,88 %","779,58 €","269,70 %","-52,90 %",122,"269,70 %","-52,90 %",,"-100,00 %","-100,00 %"
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"1 245,49 €","191,97 %","-68,44 %","581,74 €","205,26 %","-75,00 %",58,"205,26 %","-75,00 %",,"-100,00 %","-100,00 %"
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"1 092,38 €","200,62 %","-52,15 %","760,20 €","174,76 %","-57,77 %",42,"180,00 %","-51,72 %",3,,"-66,67 %"
B0009V8VAQ,"Hama Etui pour Lecteur et CD (pour Lecteur CD, pour Discman, 3 CD, avec Sortie de câble et Boucle de Ceinture) Noir/Bleu",Hama,"1 072,75 €","-41,54 %","-15,42 %","567,21 €","-53,75 %","-17,50 %",111,"-53,75 %","-17,78 %",4,"300,00 %","0,00 %"
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"1 042,19 €","-65,03 %",,"729,27 €","-66,82 %",,73,"-66,82 %",,3,"200,00 %",
B09RC7QDPM,"Hama Album photo ""Skies II"" (Album Elégant et Intemporel, Idéal mariage, anniversaire, baptême, 22,5 x 22 cm, 100 pages avec pochettes pour 200 photos 10x15 cm, Zone Mémo et pochette carte SD) Gris",Hama,"1 032,79 €","47,33 %","-34,35 %","795,20 €","75,00 %","-37,78 %",112,"75,00 %","-37,78 %",,,"-100,00 %"
B00005UPC8,"Hama Boîtier standard double (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Transparent",Hama,"949,05 €","-15,18 %","13,65 %","637,44 €","-15,17 %","55,71 %",95,"-15,18 %","55,74 %",,"-100,00 %",
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"948,02 €","-83,17 %","-83,30 %","569,80 €","-83,48 %","-83,53 %",55,"-83,58 %","-83,53 %",3,"-57,14 %","-50,00 %"
B0002W5WBI,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 100) Noir/Transparent",Hama,"930,89 €","-9,68 %","-26,83 %","720,36 €","-12,90 %","-20,59 %",27,"-12,90 %","-20,59 %",3,,
B003LTLSFS,"Hama Chemin de câbles (Bande en Aluminium pour Montage Mural TV ou au Sol, Cache-câble Rectangle, 110 x 3,3 x 1,7 cm, entrée de câble jusqu'à 5 câbles, matériel de Montage Compris) Gris",Hama,"899,05 €","16,08 %","384,14 %","553,71 €","23,03 %","379,82 %",48,"23,08 %","380,00 %",1,,
