Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Trimestre],Champ de vision.=[01/01/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"4 189,68 €","26 350,00 %","26 722,54 %",529,"26 350,00 %","52 800,00 %","4 078,80 €",,"26 012,68 %","4 686,50 €",,"41 336,78 %",515,,"51 400,00 %",6,,
B08GRRDVN9,"Hama Destructeur de Documents Mini S6 (Broyeur Documents 6 Feuilles 80g, Destructeur Papier, Déchiqueteur sécurité P1, 72 DB, M/A Auto, Fonction Retour, s'adapte sur des Corbeilles à Papier) Noir",Hama,"4 172,77 €","62,72 %","-15,30 %",171,"69,31 %","-26,92 %","4 147,00 €","61,71 %","-15,48 %","2 622,88 €","68,56 %","-26,95 %",170,"68,32 %","-27,04 %",6,"50,00 %","-64,71 %"
B07BGLLS26,"Chiffons pour écrans, 100 pièces, dans un distributeur",Hama,"3 667,20 €","170,48 %",,567,"160,09 %",,"3 558,04 €","162,51 %",,"2 232,68 €","152,50 %",,550,"152,29 %",,2,"100,00 %",
B00005QFAY,"Hama Étuis à négatifs, Papier Cristal, 7 Bandes de 6 négatifs, 24x36cm, 100 pièces",Hama,"3 658,13 €","-10,50 %","42,14 %",147,"-14,53 %","27,83 %","3 574,99 €","-14,34 %","38,02 %","2 253,68 €","-18,85 %","26,23 %",143,"-18,29 %","23,28 %",5,,"400,00 %"
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"3 594,28 €","-15,46 %","7,47 %",360,"0,00 %","26,32 %","3 585,08 €","-15,68 %","9,31 %","2 288,11 €","-0,57 %","32,22 %",358,"-0,56 %","28,78 %",2,"-71,43 %","-75,00 %"
B00006IVA9,"Hama CD de nettoyage (pour tête de lecture laser, pour éliminer la poussière dans les lecteurs de CD, CD de nettoyage au laser) Blanc/Bleu/Rouge",Hama,"3 577,96 €","-2,64 %","-18,19 %",385,"-3,99 %","-10,05 %","3 613,85 €","-1,17 %","-19,19 %","2 049,90 €","-2,62 %","-11,40 %",389,"-2,51 %","-11,19 %",3,"0,00 %","-82,35 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"3 558,52 €","-63,84 %","-69,83 %",475,"-63,88 %","-56,62 %","3 805,69 €","-61,12 %","-68,18 %","1 910,86 €","-61,11 %","-65,38 %",508,"-61,16 %","-54,72 %",2,"-84,62 %","-88,24 %"
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"3 553,44 €","-49,80 %","-34,54 %",216,"-48,69 %","-37,03 %","3 489,80 €","-51,94 %","-36,18 %","2 230,24 €","-50,90 %","-38,78 %",212,"-50,93 %","-38,73 %",5,"-37,50 %","-58,33 %"
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"3 516,21 €","-20,55 %","-66,21 %",210,"-25,53 %","-70,38 %","3 563,03 €","-19,57 %","-65,25 %","1 726,28 €","-24,67 %","-71,97 %",213,"-24,47 %","-69,57 %",4,"-69,23 %","-85,19 %"
B00006JAMU,"Hama Étuis à négatifs, polypropylène, 7 bandes de 6 négatifs, 24x36cm, 25 pièces",Hama,"3 341,48 €","41,75 %","46,71 %",236,"63,89 %","48,43 %","3 368,12 €","44,52 %","49,18 %","2 439,12 €","67,80 %","50,40 %",238,"67,61 %","50,63 %",2,"-33,33 %","-50,00 %"
B00CRB69MI,"Hama Support de télécommande Major (pour 4 télécommandes au maximum, également pour rangement de lunettes, smartphones, contrôleurs, clés USB, porte-télécommande) Noir",Hama,"3 304,10 €","-53,95 %","-10,04 %",224,"-57,97 %","-17,65 %","3 360,74 €","-52,88 %","-9,67 %","2 277,72 €","-56,98 %","-25,94 %",228,"-56,98 %","-17,09 %",6,"20,00 %","50,00 %"
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"3 163,71 €","-7,86 %","61,93 %",499,"-7,76 %","158,55 %","3 119,21 €","-9,85 %","54,21 %","1 483,99 €","-10,19 %","144,11 %",489,"-10,28 %","144,50 %",4,"-20,00 %",
B00005YVGK,"Pochettes pour 20 Diapositives encadrées de Format 5x5 cm, 25 pièces",Hama,"3 128,75 €","18,39 %","-27,02 %",177,"-12,81 %","-48,99 %","3 128,75 €","15,67 %","-24,62 %","1 373,03 €","-14,86 %","-61,26 %",177,"-14,90 %","-47,32 %",2,"-50,00 %",
