Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Semaine],Champ de vision.=[02/02/2025 - 08/02/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Unités commandées","Chiffre d’affaires basé sur les expéditions","COGS expédié","Unités expédiées","Retours client"
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"224,77 €",13,"259,35 €","155,85 €",15,1
B0BXPLLW89,"Hama Classeur à négatifs (4 anneaux, niveau de remplissage 39 mm, feuilles rectangulaires, album à négatifs d'une pellicule photo, housse de protection) Noir",Hama,"224,64 €",27,"183,04 €","135,30 €",22,
B0949HMZB1,"Hama Chiffon Antistatique Antipoussière (Chiffon de Nettoyage pour Lunettes ou Appareil Photo, Objectif, Filtre, écrans PC Smartphone ou Tablette, négatifs, Diapositives, Jumelles, 23 x 25 cm) Orange",Hama,"220,02 €",27,"220,02 €","115,29 €",27,
B0009V8WNW,"Hama Pochettes de Protection (en Papier pour CD/DVD/Blu-Ray, verrouillables, Lot de 100) Blanc/Transparent",Hama,"219,34 €",22,"194,43 €","63,63 €",21,
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"205,40 €",2,"205,40 €","104,00 €",2,
B00005QFB0,"Hama Étuis à négatifs, papier cristal, 7 bandes de 6 négatifs, 24x36cm, 25 pièces",Hama,"203,45 €",18,"163,16 €","69,03 €",13,1
B00006JAMU,"Hama Étuis à négatifs, polypropylène, 7 bandes de 6 négatifs, 24x36cm, 25 pièces",Hama,"201,76 €",13,"217,28 €","143,55 €",14,
B0CYNHDSJ3,"Hama Ergo Tapis de Souris - Tapis de Bureau 2 en 1 avec Repose Poignet Intégré, Dessous Anti-Dérapant - Noir",Hama,"199,80 €",15,"106,56 €","92,48 €",8,
B001F536FK,"THOMSON Casque Audio Filaire (Casque Stéréo Filaire Jack, Réglable, Supra-aural, Ultra-léger, 54g, Coussinets 27mm, 95dB, Cable 1.3m, idéal PC Smartphone Mac Tablette Ordinateur) Noir",Thomson,"199,77 €",22,"199,77 €","114,40 €",22,2
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"198,24 €",3,"132,41 €","80,06 €",2,
B00G3BMWQA,"Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent",xavax,"194,74 €",26,"202,23 €","155,61 €",27,1
B00006IVA9,"Hama CD de nettoyage (pour tête de lecture laser, pour éliminer la poussière dans les lecteurs de CD, CD de nettoyage au laser) Blanc/Bleu/Rouge",Hama,"191,64 €",20,"169,67 €","94,90 €",18,
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"183,33 €",7,"210,00 €","94,96 €",8,1
B0C5JQPC2P,"Classeur avec mécanisme à 4 anneaux, larg. 70 mm, avec étui, noir/gris",Hama,"183,20 €",10,"146,56 €","94,40 €",8,
B0C5JPTNCK,"Classeur avec mécanisme à 4 anneaux, largeur 70 mm, avec étui, blanc",Hama,"183,20 €",10,"183,20 €","129,90 €",10,
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"182,76 €",38,"153,78 €","57,60 €",32,
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"170,93 €",13,"154,73 €","61,39 €",12,1
B079PN72PJ,"Hama Souris Optique sans Fil Riano (Souris Gauche sans Fil, avec récepteur Nano USB, Vertical, 800-1600 dpi, Interrupteur de Marche/arrêt, 3 Boutons, 2,4 GHz) Noir",Hama,"167,07 €",11,"136,70 €","90,85 €",9,
B0002W5WBI,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 100) Noir/Transparent",Hama,"165,78 €",5,"202,51 €","160,08 €",6,
B00T7MB37Q,"Hama Album photo à pochettes ""New York City"" (pour 300 photos au format 10 cm x 15cm, taille de l'album de 19 cm x 34,5 cm, 100 pages, en cuir, protège les photos et les documents) Noir",Hama,"160,31 €",9,"160,31 €","86,16 €",9,
B000V8QPQ4,"hama hama Câble d'antenne, prise coaxiale 75 db - prise coaxiale 10,0 m",Hama,"157,32 €",18,"122,36 €","56,84 €",14,2
B003LTSUN6,"Hama Chemin de câbles (bande en aluminium pour montage mural TV ou au sol, cache-câble rectangle, 110 x 3,3 x 1,7 cm, entrée de câble jusqu'à 5 câbles, matériel de montage compris) Noir",Hama,"155,43 €",9,"155,43 €","100,44 €",9,
B093WSK4SC,"Hama Radio Internet Dab/Dab+ 'DR200BT' (Radio numérique FM/Dab/Dab+ Portable, Haut Parleur Bluetooth Rechargeable USB-C, Ecran Couleur, Entrée AUX, Minuteur, 30 Présélections, 8h d'écoute) Noir",Hama,"153,00 €",4,"38,25 €","34,50 €",1,
B0009V6OD2,"Hama Boîtier Slim Double (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"149,94 €",9,"83,30 €","59,25 €",5,
B08SDTHMQB,"Hama Album Photo bébé ""Our Baby"" personnalisable Scrapbooking (Album photo naissance, baptême, Cadeau d'anniversaire enfant, Style Mémo, 22,5 x 22 cm, 100 Pages, Max. 200 Photos 10x15 cm) Multicolore",Hama,"148,58 €",17,"192,28 €","121,02 €",22,
B004LQ1PLW,"Hama Sacoche de Rangement Sportsline (Sacoche de projecteur, Ordinateur et disques durs, Taille L, 27 x 39 x 15 cm, rembourré, pour Acer, BenQ, Epson, LG, Optoma BeamerL) Noir",Hama,"146,28 €",4,,,,
B0000WXD16,"Hama Trépied Appareil Photo 160cm Star 62"" avec étui de Transport (Trépied Télescopique Aluminium, Tête 3 Voies 3D, Attache Rapide fournie, Niveaux à Bulles intégrés) Beige",Hama,"145,40 €",5,"145,40 €","116,61 €",5,
B00005YVGK,"Pochettes pour 20 Diapositives encadrées de Format 5x5 cm, 25 pièces",Hama,"139,60 €",8,"174,22 €","77,33 €",10,
B0BRL62B16,"Hama Multiprise Etanche 2 Prises 16A avec Interrupteur (Multiprise Extérieur Rallonge 2m, Bloc 2 Prises étanches IP44 avec Couvercle, Type F Schuko, 3680W, Idéal Jardin Garage Atelier Chantier) Noir",Hama,"139,52 €",8,"121,83 €","79,10 €",7,
B001E725JM,"Hama Blu-Ray de Nettoyage (pour tête de Lecture, pour éliminer la poussière dans Les lecteurs de Blu-Ray, Blu-Ray de Nettoyage) Blanc/Bleu/Rouge",Hama,"137,28 €",8,"102,96 €","79,56 €",6,
B000TSO2AM,"Hama Pochette (pour 104 CD/DVD/Blu-Ray, classeur de Rangement, Gain de Place pour Le Bureau, Le Salon et la Maison, étuis de Transport) Noir",Hama,"134,49 €",9,"119,07 €","59,02 €",8,
B00006J6HP,"Hama Casier de rangement Spirit II (système de classement sur socle pour CD, pour 44 boîtiers CD, porte-CD pour le rangement, organisateur antidérapant) Noir",Hama,"133,35 €",7,"133,35 €","57,19 €",7,
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"133,24 €",9,"177,48 €","83,88 €",12,1
B096YFPTBR,"Hama Kit de Nettoyage d'Appareil Photo 4 en 1 ""Optic Dry (Kit de Nettoyage à Sec avec Stylo Lenspen + Chiffon Microfibre + Poire, pour Objectif Photo, Filtre, APN, Caméra Reflex, Jumelle, écran)",Hama,"132,00 €",8,"132,00 €","151,28 €",8,
B000VRFBM4,"Hama Album Photo ""Fine Art"" (format 36 x 32 cm, 50 pages noires, à spirale) Noir",Hama,"131,33 €",8,"98,09 €","48,99 €",6,2
B0000AI3G4,"Hama Cadre en plastique ""Madrid"" (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"131,18 €",7,"149,92 €","77,44 €",8,1
B00RLNCZ52,"Hama Album photo ""Moni"" (pour 200 photos au format 10 x 15 cm, album photo bébé de 100 pages blanches, ciel, élégant, pour filles, enfants, bébés) Rose, petit album de taille 22,5 x 22,5 cm",Hama,"129,90 €",10,"117,57 €","55,26 €",9,
B00006JA17,"Hama Étuis à négatifs, Papier Cristal, 4 Bandes de 3 négatifs, 6X7 cm pour 3 negatif et jusqu'a 6 X 9 cm pour 2 negatif, 100 pièces",Hama,"129,48 €",6,"64,74 €","47,27 €",3,1
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"128,76 €",6,"193,14 €","129,87 €",9,
B000EBFN70,"Hama Trépied Appareil Photo Vidéo 106.5cm Star 5"" avec Sac de Transport (Trépied Télescopique Aluminium 4 éléments, Tête 3 Voies 3D, Niveaux à Bulles intégrés, Attache Rapide) Beige",Hama,"124,02 €",9,"109,94 €","86,82 €",8,1
B0CLD4V1MR,"Hama Support Mural TV Garantie 10ans (TV 37"" à 120"", VESA jusqu'à 1100 x 600, jusqu'à 100 kg, écran de 94 à 305 cm, Support Plat, Distance au Mur 2.8cm, avec Chevilles Fischer) Noir",Hama,"122,80 €",2,"122,80 €","88,02 €",2,
B07HY9LK8J,"Rapoo Clavier multimédia USB Filaire ""N2400"" (filaire, clavier d'ordinateur AZERTY, design, idéal pour les maladroits) Noir",Rapoo,"119,08 €",13,"109,92 €","115,20 €",12,
B07PSPRGMT,"THOMSON Casque TV HQ HED4508 (câble Extra Long de 8 m, Casque stéréo pour TV, réglage du Volume séparé, Embout Filaire, Prise 3,5 mm avec Adaptateur de 6,35 mm) Noir",Thomson,"118,48 €",4,"118,48 €","119,48 €",4,
B00006JAQ7,"Hama 007103 - Ruban photo transparent, Blanc, 1000 pièces (2 paquets de 500 pièces)",Hama,"118,00 €",23,"128,77 €","69,59 €",24,
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"109,56 €",33,"86,32 €","60,06 €",26,
B07ZDMHYMS,"Hama Clé USB C-Laeta (USB3.1/USB3.0 Type-C, 256GB, Double clé USB, pour Ordinateur Portable, téléphone Mobile, Tablette, OTG, 70 Mo/s, boîtier en métal, USB Type-C, clé de téléphone Portable) Argent",Hama,"105,39 €",3,"35,13 €","19,40 €",1,
B0032DAL6U,"Hama Album photo ''Catania'' (taille 22 x 22 cm pour 200 photos au format 10 x 15 cm, 100 pages, papier stratifié, thématique mariage/vacances, emplacement pour CD, personnalisable) Gris",Hama,"103,40 €",8,"66,14 €","24,85 €",5,
B01BBTCVKA,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages blanches, sans spirale) Malibu",Hama,"101,16 €",7,"100,68 €","61,74 €",7,
B0C8SXMV3R,"Rapoo Clavier Souris sans Fil Multi-Mode Rechargeable Blade 9600M (Pack Kit Clavier+ Souris, Clavier Rechargeable AZERTY, Souris 3 Boutons, Bluetooth+ WiFi, Idéal PC, Laptop, Mac) Anthracite",Rapoo,"99,98 €",2,"99,98 €","81,90 €",2,
B07BZVN4MB,"Hama Radio numérique ""DR350"", FM/DAB/DAB+ (pour réception FM / DAB / DAB +,radio de cuisine sous comptoir, écran couleur, fonction d'alarme, fonctionnement sur secteur) Blanc",Hama,"98,90 €",1,"98,90 €","42,00 €",1,1
B000BGFJI6,"Hama Carte mémoire Photo (SD pour Photo/Classe 4, 2 GB - 10 MB/s) Bleu",Hama,"97,80 €",11,"85,93 €","49,00 €",10,
B00QKRKJCQ,"Hama Support De Télécommande Major (pour 4 Télécommandes Au Maximum, Ã‰galement Pour Rangement De Lunettes, Smartphones, Contrôleurs, Clés USB, Porte-télécommande) Blanc",Hama,"93,86 €",6,"109,29 €","71,61 €",7,
B00006JABA,"Hama Adhésif Cinekett (pour films Super 8, 100 pièces, S8, 1 piste audio libre) Blanc/Rouge",Hama,"92,96 €",5,"36,98 €","23,96 €",2,
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"92,00 €",16,"92,00 €","14,08 €",16,2
B0186D2GQS,"Hama Album Photo ""Fine Art"" (format 29 x 32 cm, 50 pages blanches, sans spirale) Gris",Hama,"90,93 €",6,"60,96 €","40,67 €",4,1
B0C5JRX9HV,"Hama Multiprise avec Interrupteur 1.4m (6 Prises typeE, Norme NF, interrupteurs général + indiv. éclairés, Protection Surtensions, Montage Mural, Sécurité Enfants, 3680W/16A) Noir",Hama,"86,64 €",4,"86,64 €","67,52 €",4,
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"86,21 €",5,"86,21 €","52,60 €",5,
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"83,80 €",5,"83,80 €","43,91 €",5,
