Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Semaine],Champ de vision.=[02/02/2025 - 08/02/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","COGS expédié","Unités expédiées","Retours client"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"512,96 €","310,80 €",28,3
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"419,76 €","482,30 €",53,
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"349,86 €","217,56 €",21,
B0BNLNC6KX,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Argenté",Hama,"239,90 €","204,00 €",1,
B000N8UX88,"Hama Trépied Appareil Photo Star 20""",Hama,"215,52 €","134,94 €",39,
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"205,40 €","104,00 €",2,
B00005UPC8,"Hama Boîtier standard double (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Transparent",Hama,"199,80 €","134,20 €",20,
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"199,80 €","107,55 €",15,
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"193,14 €","129,87 €",9,
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"172,90 €","103,90 €",10,
B07ZJSSVG8,"Xavax Support Organiseur Pour Aspirateurs sans fil (Station Accueil au sol, avec Porte-Accessoires pour DYSON DC30 DC31 DC34 DC35 DC58 DC59 DC62 DC74, V11, XIAOMI V10, 29.5x22x128cm) Argent/Noir",xavax,"162,48 €","112,50 €",3,
B0949HMZB1,"Hama Chiffon Antistatique Antipoussière (Chiffon de Nettoyage pour Lunettes ou Appareil Photo, Objectif, Filtre, écrans PC Smartphone ou Tablette, négatifs, Diapositives, Jumelles, 23 x 25 cm) Orange",Hama,"161,97 €","85,40 €",20,
B0BXPLLW89,"Hama Classeur à négatifs (4 anneaux, niveau de remplissage 39 mm, feuilles rectangulaires, album à négatifs d'une pellicule photo, housse de protection) Noir",Hama,"158,08 €","116,85 €",19,
B00G3BMWQA,"Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent",xavax,"157,29 €","93,03 €",21,1
B003LTSUN6,"Hama Chemin de câbles (bande en aluminium pour montage mural TV ou au sol, cache-câble rectangle, 110 x 3,3 x 1,7 cm, entrée de câble jusqu'à 5 câbles, matériel de montage compris) Noir",Hama,"155,43 €","100,44 €",9,
B0000AI3G4,"Hama Cadre en plastique ""Madrid"" (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"149,92 €","77,44 €",8,1
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"144,62 €","60,18 €",6,
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"139,86 €","113,26 €",14,
